epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4609091145163369,1.0061,63.44,0.928,0.599,1.479,52.79,0.82,0.451
1,1.247922690645341,0.7105,73.78,0.957,0.731,0.8846,68.25,0.944,0.648
2,0.7902451634513862,0.4799,83.01,0.984,0.829,0.4597,82.85,0.98,0.79
3,0.4719374682153425,0.3151,88.94,0.993,0.889,0.4408,82.0,0.982,0.77
4,0.4107685513714308,0.3496,87.93,0.992,0.881,0.4618,83.12,0.983,0.767
5,0.30163866131963696,0.3268,89.93,0.992,0.888,0.598,81.27,0.979,0.786
6,0.2570795188107157,0.1799,94.21,0.997,0.942,0.2952,89.22,0.992,0.858
7,0.25017271736990593,0.1411,95.47,0.998,0.954,0.2961,89.55,0.991,0.855
8,0.218173315234509,0.1329,95.76,0.998,0.957,0.3004,89.14,0.991,0.848
9,0.20439038523155728,0.1855,93.83,0.998,0.938,0.4183,85.9,0.985,0.811
10,0.18819554726923665,0.1309,95.66,0.998,0.956,0.3603,88.73,0.988,0.832
11,0.1804286995068139,0.1676,94.5,0.998,0.946,0.4766,85.16,0.984,0.793
12,0.1725666369561867,0.1134,96.3,0.999,0.962,0.2211,91.13,0.995,0.881
13,0.17073179834178484,0.1216,96.15,0.999,0.961,0.2916,89.34,0.991,0.851
14,0.15893494428592772,0.0968,97.04,0.999,0.97,0.4799,84.0,0.984,0.782
15,0.1550880883449829,0.1009,96.85,0.999,0.968,0.3047,90.13,0.991,0.866
16,0.151387564811228,0.1569,95.03,0.999,0.949,0.3465,88.3,0.991,0.816
17,0.14340565798263397,0.0878,97.09,0.999,0.97,0.3239,88.19,0.99,0.846
18,0.1409548637273598,0.0811,97.19,0.999,0.971,0.2392,91.49,0.994,0.884
19,0.13586795778017105,0.0932,96.97,0.999,0.969,0.2743,92.72,0.991,0.902
20,0.13241535276975683,0.0871,97.24,0.999,0.972,0.3041,90.48,0.989,0.876
21,0.12663126885089823,0.0974,96.8,0.999,0.968,0.3944,89.8,0.99,0.863
22,0.12284660851415981,0.0848,97.24,0.999,0.972,0.3343,89.09,0.991,0.852
23,0.1183795510694438,0.0797,97.44,0.999,0.974,0.336,88.66,0.99,0.845
24,0.11407626986062976,0.0795,97.34,0.999,0.973,0.2382,92.45,0.994,0.891
25,0.11148191149944045,0.0858,97.28,0.999,0.972,0.3256,89.47,0.991,0.876
26,0.10510107979352008,0.0716,97.69,0.999,0.976,0.3524,89.34,0.988,0.874
27,0.10211166950763874,0.0685,97.87,1.0,0.978,0.3545,90.53,0.988,0.87
28,0.09551073527330779,0.0918,96.91,0.999,0.969,0.2976,92.12,0.992,0.894
29,0.09227325738905044,0.0612,97.99,1.0,0.979,0.4655,88.93,0.987,0.874
30,0.0904191942838785,0.0584,98.1,1.0,0.981,0.2697,93.26,0.993,0.904
31,0.08542341076665455,0.0645,98.07,1.0,0.98,0.3354,91.09,0.99,0.879
32,0.0807561235582476,0.0505,98.39,1.0,0.984,0.2668,92.01,0.991,0.893
33,0.07681857187327625,0.0526,98.32,1.0,0.983,0.2944,92.09,0.992,0.907
34,0.07323710965393211,0.0426,98.65,1.0,0.986,0.2305,93.81,0.993,0.915
35,0.06987119744628614,0.0424,98.66,1.0,0.986,0.262,93.15,0.992,0.907
36,0.06591762999393126,0.041,98.69,1.0,0.987,0.2601,93.12,0.993,0.907
37,0.0628221009333875,0.0409,98.64,1.0,0.986,0.2381,92.96,0.994,0.908
38,0.058203708348749036,0.0411,98.65,1.0,0.986,0.2299,93.1,0.994,0.905
39,0.053652575543303854,0.0392,98.72,1.0,0.987,0.3004,92.14,0.991,0.894
40,0.05209985217012759,0.0331,98.84,1.0,0.988,0.2401,93.16,0.995,0.908
41,0.04837968505878923,0.0331,98.89,1.0,0.989,0.3088,92.58,0.991,0.899
42,0.04539418634107356,0.031,99.02,1.0,0.99,0.24,93.49,0.994,0.913
43,0.04297220179857853,0.0308,99.03,1.0,0.99,0.3067,92.36,0.992,0.897
44,0.04134537883463406,0.0309,98.99,1.0,0.99,0.2525,93.3,0.993,0.909
45,0.04209763436214364,0.0295,99.07,1.0,0.991,0.2813,93.08,0.992,0.906
46,0.039239387259915416,0.029,99.03,1.0,0.99,0.2895,93.02,0.992,0.906
47,0.03917028318329524,0.0288,99.07,1.0,0.991,0.2733,93.02,0.993,0.907
48,0.03827052365648009,0.0286,99.08,1.0,0.991,0.2732,93.15,0.992,0.91
49,0.03772853999181674,0.0285,99.09,1.0,0.991,0.281,92.85,0.992,0.906
