epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7608240733864486,1.5543,39.78,0.812,0.333,1.5223,42.18,0.788,0.361
1,1.746210378344341,2.2681,35.3,0.71,0.316,1.6272,49.33,0.827,0.353
2,1.144835583518483,0.6592,75.46,0.967,0.73,0.6374,77.47,0.967,0.725
3,0.7657889137879067,0.5653,80.42,0.977,0.806,0.4507,83.29,0.98,0.788
4,0.5950236004313261,0.4008,85.86,0.987,0.86,0.444,82.28,0.981,0.764
5,0.5083899407724326,0.4122,85.14,0.986,0.84,0.4675,81.35,0.979,0.756
6,0.4572572934050714,0.3031,89.71,0.991,0.895,0.2934,88.58,0.989,0.848
7,0.41974663253753414,0.2952,89.89,0.992,0.902,0.3726,85.55,0.985,0.823
8,0.3931341029997368,0.2954,89.24,0.993,0.89,0.3244,87.53,0.99,0.832
9,0.36906612189119437,0.3061,90.05,0.992,0.9,0.3926,85.66,0.984,0.812
10,0.35050333168451075,0.2129,92.69,0.995,0.923,0.3286,87.95,0.988,0.844
11,0.33585210844180063,0.2127,92.7,0.995,0.926,0.2651,89.5,0.99,0.859
12,0.3264164129892985,0.2788,90.62,0.993,0.903,0.4912,82.54,0.982,0.787
13,0.3111276663839817,0.1963,93.37,0.996,0.933,0.2926,88.17,0.992,0.846
14,0.2975765802767328,0.1977,93.4,0.996,0.934,0.2795,89.69,0.99,0.861
15,0.2860621112569045,0.2018,93.11,0.997,0.931,0.5964,80.47,0.975,0.764
16,0.27443138254959953,0.2,93.56,0.996,0.934,0.3978,85.28,0.986,0.819
17,0.26826259353628723,0.1743,94.19,0.997,0.94,0.4087,84.89,0.986,0.811
18,0.25939644070669315,0.1548,95.01,0.998,0.95,0.2628,90.12,0.991,0.873
19,0.25394562993692665,0.1626,94.67,0.997,0.947,0.3471,87.53,0.987,0.837
20,0.24421949898256623,0.1547,94.89,0.997,0.948,0.2208,92.06,0.994,0.899
21,0.2386975413902686,0.1495,94.82,0.998,0.949,0.3933,87.15,0.987,0.846
22,0.22992666597114242,0.1247,96.0,0.998,0.96,0.3129,89.14,0.99,0.854
23,0.22677067685939079,0.1286,95.8,0.998,0.958,0.2967,89.2,0.989,0.863
24,0.21666455016501487,0.1215,95.92,0.998,0.959,0.3192,88.96,0.991,0.864
25,0.2113049737307974,0.1309,95.75,0.998,0.957,0.2989,89.72,0.991,0.871
26,0.20376012089752382,0.1403,95.31,0.998,0.952,0.2711,90.12,0.993,0.875
27,0.19480059821973136,0.1356,95.51,0.998,0.952,0.249,90.89,0.993,0.879
28,0.19185616866448446,0.1353,95.34,0.998,0.953,0.2743,90.81,0.992,0.885
29,0.1838657782883734,0.1155,95.98,0.999,0.96,0.3986,88.52,0.987,0.856
30,0.17651018743339833,0.1066,96.47,0.999,0.964,0.3892,87.83,0.987,0.841
31,0.16815537769734645,0.093,96.98,0.999,0.97,0.4197,87.51,0.987,0.854
32,0.16714383606334954,0.1049,96.63,0.999,0.967,0.3588,89.4,0.988,0.857
33,0.16055457631800338,0.0912,97.02,0.999,0.97,0.2456,91.93,0.993,0.893
34,0.15513096664327874,0.0801,97.37,0.999,0.974,0.2239,91.71,0.994,0.891
35,0.14783506851816905,0.1036,96.7,0.999,0.967,0.3133,90.48,0.991,0.864
36,0.1408176867284655,0.0942,96.84,0.999,0.969,0.339,90.75,0.989,0.875
37,0.13334274021608214,0.0794,97.39,0.999,0.974,0.289,90.05,0.991,0.866
38,0.131957678731838,0.0734,97.67,0.999,0.977,0.3019,90.38,0.99,0.873
39,0.12253763188865023,0.0958,96.94,0.999,0.969,0.3149,90.48,0.99,0.877
40,0.12136015322686951,0.0691,97.77,0.999,0.978,0.2974,90.95,0.991,0.885
41,0.11483473056346498,0.0692,97.77,0.999,0.978,0.2565,91.3,0.992,0.889
42,0.10872597105494003,0.0775,97.41,0.999,0.974,0.3461,89.47,0.989,0.869
43,0.10797209622451909,0.0728,97.58,0.999,0.976,0.3041,91.41,0.99,0.884
44,0.10455755556275981,0.0625,97.9,1.0,0.979,0.2779,91.76,0.992,0.893
45,0.0983897336027635,0.0611,98.04,1.0,0.98,0.2663,91.99,0.992,0.895
46,0.09794558510918665,0.0603,98.06,1.0,0.981,0.281,91.99,0.991,0.894
47,0.09627766447228557,0.0608,97.98,1.0,0.98,0.2835,91.69,0.991,0.892
48,0.09527682370129024,0.0622,97.9,1.0,0.979,0.2818,91.57,0.991,0.891
49,0.09642574016845995,0.0614,97.94,1.0,0.979,0.2847,91.54,0.991,0.89
