epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7501172093884463,1.2905,49.83,0.849,0.457,1.2785,50.68,0.835,0.409
1,1.4897452993768272,0.7778,71.18,0.954,0.698,0.9657,64.2,0.93,0.606
2,0.8878310070054902,0.6308,75.72,0.972,0.755,0.7655,69.15,0.963,0.651
3,0.6823090947164833,0.3887,85.76,0.988,0.856,0.3741,85.32,0.983,0.805
4,0.5343214950535933,0.3926,85.1,0.988,0.846,0.4758,83.7,0.979,0.766
5,0.4655085000507733,0.5695,80.02,0.979,0.805,0.7008,75.93,0.964,0.695
6,0.4212762088063365,0.2622,91.29,0.994,0.912,0.4457,83.95,0.984,0.802
7,0.3906803017278903,0.2189,92.88,0.995,0.928,0.5296,84.21,0.972,0.796
8,0.3624229422089026,0.4055,85.45,0.992,0.853,0.7656,77.25,0.969,0.723
9,0.3465006726532375,0.2175,93.0,0.996,0.929,0.3771,86.18,0.983,0.815
10,0.3226233471538172,0.2308,92.15,0.995,0.922,0.3556,87.17,0.983,0.833
11,0.3140350047878801,0.1823,93.92,0.997,0.939,0.4316,84.62,0.986,0.815
12,0.30150687238717977,0.1772,94.18,0.997,0.942,0.5277,82.46,0.977,0.794
13,0.28971382570394677,0.2219,92.69,0.996,0.927,0.506,82.35,0.983,0.797
14,0.2851833750448841,0.1467,95.22,0.998,0.951,0.3296,87.58,0.989,0.843
15,0.27027065804051587,0.1531,95.34,0.998,0.952,0.4214,86.76,0.986,0.824
16,0.2619460755042825,0.1601,95.05,0.998,0.95,0.2866,90.42,0.991,0.866
17,0.2508401936170027,0.1419,95.65,0.998,0.956,0.4394,84.47,0.987,0.81
18,0.24600578533995343,0.1264,96.02,0.998,0.961,0.4726,85.55,0.985,0.815
19,0.2347872419705971,0.13,95.88,0.998,0.958,0.3256,89.09,0.99,0.85
20,0.22823840740914847,0.1173,96.22,0.999,0.961,0.5039,82.69,0.982,0.8
21,0.2276220042025254,0.1041,96.79,0.999,0.967,0.3551,88.89,0.989,0.858
22,0.2143462586594822,0.1808,93.56,0.998,0.933,0.3362,89.09,0.992,0.875
23,0.21214885921725646,0.1084,96.36,0.999,0.964,0.389,88.51,0.984,0.851
24,0.20596666190246776,0.1067,96.56,0.999,0.965,0.3935,86.96,0.985,0.826
25,0.19936427819894123,0.1099,96.38,0.999,0.964,0.2775,89.77,0.993,0.859
26,0.19322853284839653,0.1156,96.45,0.999,0.964,0.3213,88.73,0.99,0.849
27,0.18633627557663884,0.0961,96.8,0.999,0.968,0.3532,89.01,0.988,0.855
28,0.1819751431535736,0.1087,96.31,0.999,0.962,0.4162,86.71,0.988,0.834
29,0.17648040196043646,0.1076,96.27,0.999,0.962,0.3462,87.44,0.99,0.848
30,0.16893508365920917,0.0735,97.63,0.999,0.976,0.2779,91.66,0.992,0.888
31,0.16298778973559788,0.0717,97.77,0.999,0.977,0.3441,88.75,0.989,0.856
32,0.15623554502062378,0.0644,98.07,0.999,0.98,0.2867,90.68,0.991,0.881
33,0.1527494001260597,0.0797,97.44,0.999,0.974,0.28,90.05,0.992,0.88
34,0.14541069574800713,0.0809,97.33,0.999,0.973,0.3116,89.17,0.991,0.855
35,0.13720146068813335,0.0674,97.9,1.0,0.978,0.36,88.7,0.99,0.858
36,0.13253171944554248,0.0653,98.0,0.999,0.98,0.3052,91.2,0.991,0.883
37,0.12695962641128275,0.0608,98.03,1.0,0.98,0.2687,90.31,0.993,0.88
38,0.12268459704273076,0.0526,98.4,1.0,0.984,0.2781,90.64,0.992,0.884
39,0.11705530606783353,0.0522,98.37,1.0,0.983,0.2398,92.31,0.993,0.902
40,0.1125217136828652,0.0509,98.31,1.0,0.983,0.2761,91.2,0.992,0.889
41,0.11008557234432595,0.049,98.51,1.0,0.985,0.2722,91.11,0.992,0.889
42,0.10239067928922198,0.047,98.48,1.0,0.985,0.2392,92.42,0.993,0.901
43,0.09968550021431953,0.0463,98.53,1.0,0.985,0.27,91.33,0.992,0.89
44,0.09680943189718642,0.0447,98.58,1.0,0.985,0.2896,91.42,0.991,0.888
45,0.09442150275421217,0.0442,98.61,1.0,0.986,0.263,91.36,0.992,0.889
46,0.09340489267543198,0.0449,98.65,1.0,0.986,0.252,91.8,0.993,0.894
47,0.09102928292252829,0.0432,98.65,1.0,0.986,0.2583,91.65,0.993,0.892
48,0.08968458674874737,0.0434,98.7,1.0,0.987,0.2676,91.54,0.992,0.891
49,0.09058002782369129,0.0429,98.71,1.0,0.987,0.2695,91.5,0.992,0.891
