epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3649056918091245,1.1186,59.38,0.9,0.576,1.8252,40.53,0.758,0.381
1,1.1452710669100499,1.1203,63.53,0.946,0.609,1.6261,47.92,0.894,0.429
2,0.7120451448104714,0.526,80.07,0.98,0.786,0.8528,70.0,0.952,0.65
3,0.5737558908787252,0.4017,86.69,0.988,0.867,0.5254,79.55,0.977,0.729
4,0.3526026843696512,0.2903,90.1,0.995,0.903,0.4927,84.57,0.979,0.791
5,0.263354453241526,0.1882,93.83,0.997,0.938,0.2665,88.66,0.993,0.847
6,0.22511396270018325,0.2759,90.53,0.995,0.904,0.5161,83.21,0.987,0.775
7,0.2016541941431902,0.1375,95.46,0.998,0.954,0.2856,90.59,0.991,0.876
8,0.1831277543511976,0.1193,96.14,0.998,0.96,0.2746,90.24,0.991,0.878
9,0.17149296679991335,0.1292,96.03,0.998,0.961,0.3068,88.92,0.991,0.865
10,0.1599476992229407,0.1464,94.94,0.998,0.948,0.398,86.59,0.99,0.813
11,0.15056057980677987,0.1193,96.33,0.999,0.962,0.3472,88.68,0.993,0.856
12,0.1448998507446072,0.1008,96.73,0.999,0.967,0.2081,92.39,0.995,0.898
13,0.13730540409630773,0.095,97.03,0.999,0.97,0.2751,89.29,0.992,0.851
14,0.1307641289674253,0.0897,97.14,0.999,0.971,0.2504,90.84,0.993,0.868
15,0.12728286760869206,0.1138,96.47,0.999,0.964,0.4753,85.71,0.99,0.808
16,0.12318035762249675,0.1464,94.84,0.998,0.948,0.2749,91.19,0.994,0.876
17,0.11695071684002983,0.0838,97.25,0.999,0.972,0.5997,85.19,0.981,0.788
18,0.11270035306612651,0.0962,96.86,0.999,0.968,0.307,89.25,0.993,0.857
19,0.10681632662852926,0.1187,96.03,0.999,0.959,0.3456,88.14,0.991,0.846
20,0.10855594649243312,0.1105,96.37,0.999,0.964,0.3438,88.06,0.99,0.838
21,0.10122965581341242,0.0665,97.85,0.999,0.978,0.2324,92.52,0.992,0.894
22,0.0982052995472826,0.0726,97.7,0.999,0.977,0.2186,92.07,0.995,0.891
23,0.09486615630767999,0.0798,97.49,0.999,0.975,0.2787,91.02,0.993,0.875
24,0.08847933759792678,0.0695,97.75,0.999,0.977,0.2689,90.4,0.993,0.864
25,0.08779469469735753,0.0914,97.07,0.999,0.971,0.2565,91.43,0.992,0.887
26,0.0831813331473098,0.0884,97.07,0.999,0.97,0.5079,84.62,0.987,0.811
27,0.07888133858921387,0.0622,98.03,1.0,0.98,0.2732,90.86,0.993,0.875
28,0.07532266265375533,0.0649,97.84,1.0,0.977,0.3221,88.87,0.993,0.865
29,0.07239691367019034,0.0667,97.82,0.999,0.978,0.2999,91.3,0.989,0.885
30,0.0678277771609525,0.053,98.23,1.0,0.982,0.3085,89.89,0.993,0.858
31,0.06404707471983621,0.0559,98.07,1.0,0.981,0.2737,92.18,0.992,0.895
32,0.06114100270293733,0.0457,98.48,1.0,0.985,0.2512,91.84,0.994,0.889
33,0.056961873160695196,0.0413,98.74,1.0,0.987,0.2552,91.82,0.994,0.888
34,0.053192672842118795,0.0415,98.72,1.0,0.987,0.2145,92.82,0.995,0.9
35,0.050427026853072175,0.04,98.73,1.0,0.987,0.3159,90.64,0.993,0.872
36,0.048408669229316456,0.038,98.8,1.0,0.988,0.3546,89.93,0.993,0.856
37,0.04257208371274574,0.0337,98.92,1.0,0.989,0.2123,93.26,0.994,0.911
38,0.04018488670715989,0.0326,99.02,1.0,0.99,0.2449,92.36,0.994,0.906
39,0.038311164660920057,0.0329,98.97,1.0,0.989,0.2354,92.34,0.994,0.895
40,0.034329584848109,0.0294,99.04,1.0,0.99,0.2271,92.91,0.995,0.903
41,0.03209405012702483,0.0277,99.08,1.0,0.991,0.2571,92.23,0.993,0.896
42,0.031192144794609918,0.0285,99.13,1.0,0.991,0.2438,93.26,0.993,0.908
43,0.029742403037672508,0.0273,99.13,1.0,0.991,0.2588,92.94,0.992,0.907
44,0.027323852820608993,0.0274,99.13,1.0,0.991,0.2344,93.24,0.994,0.909
45,0.026881985227814393,0.0265,99.14,1.0,0.991,0.2417,92.89,0.994,0.903
46,0.025506820379486008,0.0256,99.23,1.0,0.992,0.2417,92.93,0.994,0.906
47,0.025895552945032877,0.0245,99.18,1.0,0.992,0.2408,92.93,0.994,0.904
48,0.02436328453669411,0.0245,99.23,1.0,0.992,0.2358,93.15,0.994,0.907
49,0.02435604857754857,0.0244,99.19,1.0,0.992,0.2399,93.07,0.994,0.906
