epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.680532177289327,1.6907,37.64,0.814,0.301,1.627,44.12,0.825,0.382
1,1.297555429427,0.9468,65.94,0.939,0.659,1.1515,60.26,0.929,0.557
2,0.7248697111576689,0.5457,79.7,0.978,0.793,0.7314,74.99,0.961,0.691
3,0.5157661128482084,0.4185,85.58,0.987,0.857,0.5442,81.56,0.968,0.765
4,0.4079886359499774,0.3873,86.95,0.989,0.869,0.7575,74.62,0.966,0.707
5,0.3408223533181734,0.3173,89.58,0.993,0.891,0.6241,80.26,0.977,0.769
6,0.3054393181397069,0.2423,91.15,0.996,0.915,0.3955,86.33,0.985,0.833
7,0.27837788628741406,0.2178,92.71,0.996,0.927,0.3565,87.27,0.984,0.832
8,0.26043558875132206,0.1986,93.36,0.996,0.933,0.4015,85.68,0.983,0.826
9,0.24600373646478071,0.1941,93.54,0.996,0.935,0.4188,85.77,0.979,0.828
10,0.23299394048563468,0.274,90.41,0.996,0.897,0.4306,83.81,0.986,0.786
11,0.22236813522047466,0.259,91.16,0.996,0.913,0.4167,85.33,0.979,0.823
12,0.21292542412503218,0.2458,91.61,0.996,0.913,0.4478,85.33,0.981,0.808
13,0.20490320888097568,0.2003,93.55,0.997,0.933,0.4911,83.47,0.98,0.799
14,0.19838832381538593,0.1526,95.25,0.998,0.952,0.4096,86.4,0.983,0.832
15,0.19410984218120575,0.2048,93.25,0.997,0.933,0.5277,83.44,0.984,0.779
16,0.18621019276666811,0.1626,94.62,0.998,0.946,0.264,90.84,0.992,0.867
17,0.1766486797868992,0.1414,95.52,0.998,0.954,0.3473,88.25,0.987,0.852
18,0.17068463048520482,0.1389,95.48,0.998,0.954,0.2563,90.12,0.992,0.871
19,0.16872383120025786,0.1952,93.14,0.997,0.931,0.3461,88.79,0.986,0.846
20,0.1614916540922657,0.1175,96.09,0.999,0.96,0.281,89.4,0.989,0.865
21,0.15827000947622416,0.1327,95.79,0.998,0.958,0.2331,91.76,0.991,0.884
22,0.15244689331420005,0.1181,96.03,0.999,0.96,0.244,91.88,0.99,0.886
23,0.146496658049871,0.1123,96.4,0.999,0.964,0.3719,86.99,0.985,0.833
24,0.1408256356767963,0.0944,96.89,0.999,0.969,0.266,90.76,0.989,0.873
25,0.13387947421400778,0.1087,96.54,0.999,0.965,0.2706,91.74,0.989,0.885
26,0.13220839238455218,0.1214,95.98,0.999,0.96,0.3132,88.8,0.989,0.865
27,0.12589957456247994,0.113,96.27,0.999,0.962,0.3285,87.87,0.986,0.826
28,0.12015268182228436,0.0978,96.62,0.999,0.966,0.2239,92.06,0.994,0.892
29,0.11284605377624111,0.1028,96.65,0.999,0.966,0.3051,90.54,0.988,0.88
30,0.11126525793892188,0.0875,97.07,0.999,0.97,0.3098,90.83,0.988,0.877
31,0.1061751205143669,0.0934,96.94,0.999,0.969,0.3474,88.92,0.988,0.839
32,0.10066540562631195,0.0979,96.73,0.999,0.966,0.3349,88.71,0.987,0.853
33,0.09174771483413421,0.0778,97.55,0.999,0.975,0.1742,93.49,0.995,0.914
34,0.0884798822029891,0.0798,97.29,0.999,0.973,0.2151,92.14,0.993,0.893
35,0.08762584057699982,0.0765,97.47,0.999,0.975,0.2579,91.27,0.991,0.876
36,0.08159346647366988,0.0764,97.61,0.999,0.975,0.3002,89.34,0.991,0.862
37,0.07615881721158663,0.0633,97.9,1.0,0.979,0.2503,91.85,0.992,0.89
38,0.0721906104281972,0.0627,97.96,1.0,0.979,0.2376,92.15,0.992,0.894
39,0.0697027655572073,0.0643,97.86,1.0,0.978,0.2692,91.19,0.991,0.884
40,0.06462515838858154,0.0556,98.22,1.0,0.982,0.2487,92.85,0.993,0.898
41,0.062264157689466915,0.0566,98.19,1.0,0.982,0.2416,91.76,0.993,0.89
42,0.05995499595872871,0.0486,98.4,1.0,0.984,0.2229,92.91,0.993,0.903
43,0.0555027339417207,0.0482,98.45,1.0,0.984,0.2084,93.18,0.994,0.907
44,0.05376881821161156,0.0482,98.36,1.0,0.984,0.2275,92.66,0.993,0.901
45,0.053887501751209564,0.0468,98.51,1.0,0.985,0.2286,92.69,0.993,0.901
46,0.052079678955404454,0.0451,98.57,1.0,0.986,0.2211,92.77,0.993,0.901
47,0.050126565944096306,0.0451,98.54,1.0,0.985,0.2194,92.75,0.993,0.901
48,0.04749218440250791,0.0449,98.6,1.0,0.986,0.2265,92.78,0.993,0.9
49,0.04736837262694981,0.0443,98.59,1.0,0.986,0.2274,92.78,0.993,0.9
