epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7605070514490955,1.5399,40.35,0.804,0.357,1.4194,44.95,0.824,0.36
1,1.41457563777551,0.8898,66.87,0.946,0.657,0.7852,71.66,0.951,0.625
2,0.792745483658647,0.5291,79.64,0.978,0.786,0.6333,76.52,0.97,0.711
3,0.5884545790465502,0.5874,78.56,0.979,0.791,0.563,78.21,0.979,0.741
4,0.4510059072018524,0.3484,88.47,0.991,0.885,0.3259,88.24,0.987,0.84
5,0.38405430891073733,0.3227,88.88,0.991,0.891,0.4827,81.27,0.977,0.765
6,0.34164533238043493,0.3241,89.23,0.994,0.892,0.5519,81.95,0.981,0.759
7,0.3127163543923354,0.2278,92.35,0.995,0.923,0.3716,87.0,0.986,0.82
8,0.29757984043983576,0.2634,90.98,0.994,0.911,0.3925,85.93,0.986,0.816
9,0.2805640197569324,0.1929,93.68,0.996,0.937,0.3395,87.95,0.987,0.848
10,0.2656431320427139,0.2289,91.94,0.996,0.916,0.3169,88.58,0.989,0.842
11,0.25471776713179856,0.2563,91.33,0.995,0.913,0.3427,87.23,0.985,0.839
12,0.24538723929488104,0.2095,93.13,0.996,0.931,0.3286,88.17,0.987,0.842
13,0.2355871775644868,0.2018,92.83,0.996,0.928,0.3356,88.3,0.984,0.841
14,0.23114244715981586,0.165,94.58,0.997,0.945,0.4557,84.15,0.98,0.798
15,0.220846838341178,0.2394,91.41,0.997,0.914,0.6707,79.14,0.979,0.731
16,0.2128774995338105,0.1686,94.27,0.998,0.944,0.2768,90.4,0.99,0.873
17,0.21049323360232042,0.15,95.09,0.998,0.95,0.3576,87.3,0.986,0.842
18,0.20193601259461014,0.137,95.56,0.998,0.954,0.3361,88.02,0.986,0.849
19,0.19719198822814932,0.1617,94.99,0.998,0.949,0.372,87.27,0.985,0.828
20,0.1900506684670098,0.1814,93.8,0.998,0.938,0.3107,89.09,0.988,0.85
21,0.186764854583956,0.1376,95.48,0.998,0.955,0.3837,87.34,0.984,0.822
22,0.17588309188603715,0.1887,93.38,0.998,0.934,0.4233,85.93,0.989,0.792
23,0.17412936603350024,0.12,95.95,0.998,0.959,0.3424,87.98,0.987,0.853
24,0.16663220997459144,0.1099,96.42,0.999,0.964,0.2762,90.65,0.99,0.877
25,0.16299376198120655,0.1346,95.7,0.998,0.956,0.3103,89.1,0.988,0.851
26,0.1567658733336195,0.1028,96.5,0.999,0.965,0.2919,90.26,0.99,0.876
27,0.151635994941103,0.1015,96.72,0.999,0.967,0.3082,89.61,0.989,0.853
28,0.14386281969299453,0.103,96.43,0.999,0.963,0.2769,89.97,0.99,0.865
29,0.13759203023514227,0.0972,96.87,0.999,0.968,0.3038,89.96,0.989,0.87
30,0.13177310117256685,0.1153,96.27,0.999,0.963,0.3164,89.34,0.988,0.858
31,0.1312252402933161,0.0888,97.04,0.999,0.97,0.3336,89.4,0.985,0.864
32,0.12239368731242782,0.1242,95.71,0.999,0.956,0.3151,89.53,0.989,0.858
33,0.11708986236443443,0.0827,97.28,0.999,0.973,0.2596,90.83,0.992,0.876
34,0.11398881473194634,0.0752,97.65,0.999,0.976,0.313,89.99,0.99,0.864
35,0.10875705180282448,0.078,97.54,0.999,0.975,0.2988,90.38,0.99,0.868
36,0.10011591266433452,0.0731,97.76,0.999,0.977,0.3642,88.54,0.988,0.849
37,0.09627650711872351,0.0663,97.83,0.999,0.978,0.3121,89.7,0.99,0.869
38,0.09360908996981425,0.0704,97.79,0.999,0.978,0.275,90.79,0.992,0.876
39,0.08760392909208613,0.0681,97.81,0.999,0.978,0.319,89.03,0.99,0.86
40,0.08495852089483678,0.0575,98.15,1.0,0.981,0.2392,93.32,0.993,0.907
41,0.0806893285474069,0.0545,98.26,1.0,0.982,0.2762,91.08,0.99,0.883
42,0.07525202173966661,0.0554,98.34,1.0,0.983,0.2831,91.66,0.99,0.891
43,0.07411771016462462,0.0558,98.17,1.0,0.982,0.238,92.52,0.993,0.9
44,0.07046002089496582,0.0566,98.17,1.0,0.982,0.2455,92.03,0.992,0.891
45,0.06777853364505435,0.0522,98.3,1.0,0.983,0.2746,91.63,0.991,0.89
46,0.06787950337754302,0.053,98.27,1.0,0.982,0.2769,91.52,0.991,0.888
47,0.06724100546764483,0.0515,98.3,1.0,0.983,0.2622,91.96,0.991,0.892
48,0.06432315783648615,0.0507,98.33,1.0,0.983,0.2656,91.92,0.991,0.892
49,0.06420769193960775,0.0503,98.33,1.0,0.983,0.2646,91.82,0.991,0.891
