epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.6962716442709755,1.3005,48.25,0.849,0.454,1.162,54.48,0.864,0.47
1,1.4849026119837196,1.2428,56.34,0.929,0.566,1.2195,57.51,0.928,0.562
2,0.7634959250795371,0.5104,80.31,0.979,0.789,0.4998,80.56,0.981,0.741
3,0.5146236419143643,0.4528,83.63,0.984,0.838,0.6683,75.43,0.966,0.703
4,0.39527838191144354,0.2967,89.49,0.993,0.893,0.4764,83.4,0.981,0.78
5,0.3340224854140726,0.2383,92.18,0.995,0.92,0.3207,87.54,0.988,0.847
6,0.29686834310652105,0.2403,91.81,0.994,0.917,0.3563,87.13,0.986,0.812
7,0.27402109959860427,0.2379,92.05,0.995,0.918,0.3919,87.73,0.984,0.829
8,0.2540969416419024,0.2177,92.55,0.996,0.925,0.3545,87.43,0.984,0.831
9,0.2387492632006018,0.1705,94.82,0.997,0.948,0.3673,87.3,0.985,0.83
10,0.22720635158934474,0.3083,89.01,0.997,0.882,0.3752,88.79,0.991,0.818
11,0.21536865783688416,0.2933,90.2,0.995,0.901,0.7266,78.41,0.97,0.728
12,0.20841310727393328,0.2344,91.84,0.997,0.913,0.3422,89.63,0.988,0.844
13,0.19740702931545542,0.1246,96.17,0.998,0.961,0.2761,90.48,0.991,0.876
14,0.19552853375032384,0.1819,93.91,0.998,0.938,0.3025,89.45,0.99,0.854
15,0.1831743309147469,0.1553,94.84,0.998,0.947,0.4443,85.25,0.982,0.808
16,0.17806282038650206,0.1748,93.95,0.998,0.938,0.3642,88.9,0.991,0.82
17,0.17041675529466094,0.1358,95.48,0.998,0.955,0.4601,84.78,0.986,0.808
18,0.16367684144486663,0.2055,93.41,0.997,0.928,0.5665,81.41,0.983,0.784
19,0.16313772151867548,0.1857,94.17,0.997,0.943,0.4439,86.74,0.978,0.809
20,0.1555705343783703,0.1169,96.18,0.998,0.962,0.3202,89.5,0.987,0.859
21,0.14836646034966447,0.0886,97.17,0.999,0.971,0.2395,92.12,0.991,0.889
22,0.14457801118573194,0.1057,96.53,0.999,0.965,0.2958,89.66,0.991,0.854
23,0.13989866275914467,0.1031,96.61,0.999,0.966,0.2779,89.83,0.99,0.871
24,0.1350876460432686,0.0899,97.03,0.999,0.97,0.2528,90.87,0.991,0.873
25,0.13120736808292435,0.0859,97.24,0.999,0.972,0.2634,91.47,0.992,0.878
26,0.12586004742985343,0.0967,96.84,0.999,0.968,0.357,88.57,0.989,0.861
27,0.12077944068485157,0.0963,96.91,0.999,0.969,0.3223,89.18,0.989,0.853
28,0.11486676170100127,0.0833,97.17,0.999,0.971,0.294,89.61,0.991,0.865
29,0.10642648857140306,0.0837,97.38,0.999,0.974,0.352,90.48,0.989,0.87
30,0.10721860906129242,0.085,97.22,0.999,0.972,0.3075,89.89,0.99,0.863
31,0.10288834433642126,0.0612,98.06,1.0,0.98,0.3081,91.16,0.99,0.885
32,0.09772778429945524,0.0648,97.9,1.0,0.979,0.2607,91.22,0.992,0.885
33,0.09084461128679655,0.0561,98.13,1.0,0.981,0.2207,93.0,0.993,0.901
34,0.08681399993244625,0.0745,97.49,1.0,0.975,0.2101,92.93,0.995,0.906
35,0.0827227099765239,0.0626,97.93,1.0,0.979,0.2593,92.48,0.991,0.899
36,0.07823642869029314,0.055,98.33,1.0,0.983,0.3247,92.15,0.99,0.891
37,0.07333132436692608,0.0536,98.38,1.0,0.984,0.2827,91.6,0.992,0.891
38,0.06988536924003594,0.0512,98.32,1.0,0.983,0.2714,92.22,0.993,0.899
39,0.06687113837469169,0.0507,98.32,1.0,0.983,0.2311,92.99,0.993,0.902
40,0.06349030237037381,0.0456,98.55,1.0,0.985,0.2067,93.57,0.995,0.915
41,0.057854318054973757,0.0398,98.69,1.0,0.987,0.2275,93.07,0.993,0.906
42,0.05531476813912605,0.0392,98.77,1.0,0.988,0.2313,93.46,0.994,0.911
43,0.05464984617599931,0.0391,98.81,1.0,0.988,0.277,92.23,0.992,0.899
44,0.052401455439707284,0.0394,98.7,1.0,0.987,0.247,92.77,0.993,0.905
45,0.049486572875918344,0.0394,98.71,1.0,0.987,0.2158,93.4,0.994,0.912
46,0.048833942117576745,0.036,98.8,1.0,0.988,0.2447,92.82,0.993,0.904
47,0.04798070910990933,0.0365,98.85,1.0,0.988,0.2354,92.99,0.994,0.906
48,0.046607016999688416,0.0363,98.83,1.0,0.988,0.234,93.24,0.994,0.91
49,0.04753854289136854,0.0362,98.81,1.0,0.988,0.2408,93.08,0.994,0.907
