epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.520260516460651,1.2215,52.88,0.936,0.438,1.5415,53.18,0.825,0.434
1,1.3558854727762146,0.8236,70.82,0.949,0.687,1.2369,59.4,0.882,0.545
2,0.7612469464433663,0.4053,85.16,0.988,0.849,0.5324,78.95,0.979,0.73
3,0.48560145780390734,0.3091,89.21,0.993,0.889,0.4884,80.89,0.981,0.761
4,0.43257457955229667,0.3899,87.63,0.991,0.876,0.6126,79.52,0.972,0.738
5,0.30860924063831247,0.1919,93.8,0.997,0.938,0.36,87.4,0.987,0.84
6,0.2696560897654103,0.1742,94.45,0.997,0.943,0.3015,89.18,0.991,0.857
7,0.24641119122612007,0.1401,95.51,0.998,0.955,0.297,89.26,0.989,0.841
8,0.22718683989404778,0.1449,95.18,0.998,0.95,0.3036,89.34,0.99,0.847
9,0.21473266671688754,0.1704,94.37,0.998,0.94,0.4546,84.79,0.986,0.818
10,0.20409818052391,0.1589,94.56,0.998,0.945,0.2261,91.93,0.995,0.883
11,0.1921850114286373,0.1598,94.73,0.998,0.947,0.3991,86.63,0.983,0.808
12,0.18649119829031302,0.1317,95.86,0.998,0.958,0.2551,90.75,0.993,0.879
13,0.17904849262327277,0.1022,96.91,0.999,0.969,0.2442,90.87,0.992,0.88
14,0.17272033588460056,0.1142,96.19,0.999,0.962,0.2834,89.78,0.991,0.854
15,0.16474660712304295,0.1184,96.32,0.999,0.962,0.4913,85.8,0.985,0.81
16,0.15980996523973762,0.0919,97.06,0.999,0.97,0.2756,89.74,0.992,0.847
17,0.151377563601807,0.1124,96.34,0.999,0.963,0.2446,91.36,0.994,0.878
18,0.14939242414462522,0.1099,96.51,0.999,0.965,0.343,87.81,0.99,0.828
19,0.14447094284425285,0.1176,96.15,0.999,0.958,0.3517,87.34,0.99,0.852
20,0.139001840945854,0.1223,96.08,0.999,0.961,0.3198,88.57,0.987,0.837
21,0.13320196067453713,0.089,97.33,0.999,0.972,0.2313,92.09,0.993,0.887
22,0.1289626235629709,0.1005,96.67,0.999,0.967,0.278,91.11,0.992,0.859
23,0.12419171847643391,0.0789,97.44,0.999,0.974,0.2906,91.5,0.992,0.89
24,0.11773911295091487,0.0901,96.84,0.999,0.968,0.2111,92.83,0.994,0.889
25,0.1162677153437582,0.0923,97.03,0.999,0.969,0.1962,93.27,0.995,0.908
26,0.1135439982864752,0.0649,97.94,1.0,0.979,0.2638,91.62,0.992,0.89
27,0.10530484645997965,0.0647,98.01,1.0,0.98,0.2996,89.91,0.991,0.849
28,0.1024964168520918,0.0634,97.89,1.0,0.979,0.2764,91.13,0.993,0.881
29,0.10034573219022229,0.0698,97.84,1.0,0.978,0.3402,89.5,0.989,0.861
30,0.09297135582454102,0.067,97.84,0.999,0.978,0.2766,91.74,0.994,0.881
31,0.09030125969954128,0.0613,98.01,1.0,0.98,0.3962,88.82,0.985,0.858
32,0.08613428712311771,0.0472,98.57,1.0,0.985,0.2846,89.94,0.992,0.868
33,0.08100621104674367,0.049,98.48,1.0,0.985,0.2713,91.38,0.992,0.878
34,0.07731207810829671,0.0481,98.52,1.0,0.985,0.3054,89.93,0.991,0.868
35,0.07309694817676926,0.0497,98.52,1.0,0.985,0.3721,89.56,0.988,0.845
36,0.06950386125914833,0.0422,98.75,1.0,0.987,0.2764,91.73,0.992,0.881
37,0.06361054117360743,0.0424,98.65,1.0,0.986,0.2426,92.14,0.994,0.888
38,0.060142584832712315,0.0389,98.84,1.0,0.988,0.2981,90.98,0.991,0.88
39,0.05677919929319706,0.0423,98.67,1.0,0.986,0.2611,92.03,0.993,0.888
40,0.052373566666424384,0.0335,98.95,1.0,0.989,0.2183,93.1,0.995,0.905
41,0.052911808383801294,0.0346,99.0,1.0,0.99,0.2669,92.44,0.992,0.895
42,0.046172594272708485,0.0332,99.03,1.0,0.99,0.2819,92.63,0.991,0.897
43,0.046665858938008224,0.034,98.97,1.0,0.989,0.2998,91.77,0.991,0.886
44,0.04497625127828623,0.0328,99.03,1.0,0.99,0.236,92.7,0.993,0.898
45,0.043297909155127504,0.0314,99.06,1.0,0.99,0.2826,92.17,0.992,0.892
46,0.04245222193325826,0.031,99.09,1.0,0.991,0.2891,92.14,0.991,0.889
47,0.04060926090585448,0.0305,99.08,1.0,0.991,0.2901,92.15,0.991,0.891
48,0.04145448724321994,0.0302,99.08,1.0,0.991,0.2768,92.36,0.992,0.894
49,0.03930898053291183,0.03,99.09,1.0,0.991,0.2783,92.4,0.992,0.894
