epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9132074764979783,2.1609,21.56,0.726,0.112,2.3032,17.53,0.686,0.106
1,1.8749364165849582,1.356,42.36,0.843,0.37,1.3334,47.5,0.839,0.355
2,1.4473112321669055,1.2142,56.36,0.894,0.555,1.3104,53.56,0.875,0.449
3,1.0635549497647097,0.6338,75.8,0.969,0.742,0.5697,78.37,0.968,0.717
4,0.7820321831011003,0.5019,81.26,0.976,0.812,0.5846,78.84,0.969,0.739
5,0.6528562094789252,0.4277,84.81,0.985,0.847,0.5527,79.31,0.975,0.762
6,0.5841412878591955,0.4144,84.67,0.985,0.849,0.3859,85.35,0.983,0.823
7,0.5436302634443434,0.3225,88.86,0.99,0.888,0.3855,85.85,0.984,0.823
8,0.5065387744309654,0.3838,86.08,0.989,0.858,0.5212,81.05,0.974,0.751
9,0.47841345371952193,0.3107,89.16,0.992,0.888,0.3858,85.74,0.983,0.793
10,0.4546612642144644,0.298,89.45,0.994,0.89,0.3669,86.37,0.986,0.805
11,0.4336368604746771,0.3492,87.85,0.991,0.878,0.5011,81.45,0.976,0.774
12,0.4244464342632601,0.3329,88.48,0.99,0.885,0.5188,81.65,0.975,0.787
13,0.4068080944720135,0.1993,93.47,0.996,0.934,0.4096,86.75,0.985,0.827
14,0.3909866419423866,0.2981,89.86,0.993,0.899,0.5103,82.69,0.978,0.766
15,0.37921437231229627,0.2078,93.02,0.996,0.93,0.4567,83.28,0.985,0.798
16,0.3664410665471067,0.2476,91.18,0.995,0.909,0.3449,87.49,0.989,0.823
17,0.3571981543868673,0.2567,91.39,0.994,0.913,0.4161,85.32,0.983,0.819
18,0.34603754238736245,0.1897,93.58,0.996,0.935,0.2983,88.49,0.987,0.847
19,0.33839292810916044,0.2011,93.25,0.996,0.929,0.3302,88.06,0.987,0.839
20,0.326504427605846,0.1732,94.24,0.997,0.941,0.4195,84.0,0.984,0.789
21,0.32179192245327015,0.1491,94.94,0.998,0.949,0.2615,90.75,0.99,0.87
22,0.313599853399193,0.1565,94.79,0.997,0.948,0.2534,90.3,0.991,0.867
23,0.3092199932503444,0.143,95.14,0.998,0.951,0.3174,89.4,0.988,0.859
24,0.2956832396300463,0.1512,95.04,0.998,0.95,0.4612,86.01,0.982,0.827
25,0.2889227370154046,0.1844,93.53,0.997,0.934,0.3293,88.44,0.985,0.832
26,0.281038139642994,0.1579,94.71,0.998,0.947,0.33,88.58,0.988,0.848
27,0.27171586213573334,0.1238,95.87,0.998,0.959,0.3041,88.96,0.989,0.848
28,0.2608929259375432,0.1548,94.63,0.998,0.945,0.3296,88.85,0.988,0.847
29,0.25635777805067306,0.1548,94.71,0.998,0.946,0.4077,87.13,0.986,0.819
30,0.2522557127059147,0.121,95.94,0.998,0.959,0.4588,85.76,0.986,0.817
31,0.2419985899815209,0.1173,96.03,0.999,0.959,0.3646,88.73,0.985,0.856
32,0.23551974625837419,0.1041,96.61,0.999,0.966,0.3046,90.1,0.99,0.863
33,0.22720885825573758,0.1087,96.56,0.999,0.965,0.2595,90.98,0.991,0.872
34,0.21851114618281522,0.0949,96.81,0.999,0.968,0.3262,88.99,0.991,0.846
35,0.2162004165271277,0.0885,97.12,0.999,0.971,0.2894,90.45,0.991,0.87
36,0.20603341450347268,0.0796,97.54,0.999,0.975,0.3402,89.12,0.989,0.848
37,0.19958654210291882,0.0859,97.29,0.999,0.972,0.2585,91.38,0.992,0.882
38,0.19085036784303658,0.082,97.33,0.999,0.973,0.3345,90.23,0.989,0.865
39,0.18720253260545833,0.074,97.66,0.999,0.976,0.2939,90.65,0.99,0.874
40,0.1810571969850623,0.0697,97.75,0.999,0.977,0.2762,91.35,0.991,0.878
41,0.17504990747111673,0.0768,97.48,0.999,0.974,0.34,89.28,0.989,0.856
42,0.17060931798698228,0.0692,97.79,0.999,0.977,0.3324,90.12,0.989,0.865
43,0.16613385202797082,0.0711,97.63,0.999,0.976,0.302,90.68,0.99,0.871
44,0.16381141885874734,0.0697,97.75,0.999,0.977,0.306,90.57,0.99,0.871
45,0.15731326007955176,0.067,97.86,0.999,0.978,0.3167,90.4,0.99,0.867
46,0.15442521676527984,0.0656,97.87,0.999,0.978,0.2932,91.02,0.991,0.874
47,0.1545478089388767,0.0639,97.99,1.0,0.98,0.302,90.95,0.99,0.875
48,0.14771039406752287,0.0634,97.95,0.999,0.979,0.3021,90.89,0.99,0.874
49,0.1519246931892142,0.0631,98.03,1.0,0.98,0.3096,90.65,0.99,0.871
