epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7838216667534204,1.5584,38.43,0.794,0.336,1.5761,40.22,0.747,0.311
1,1.7406034653332072,1.7188,42.36,0.796,0.396,1.4887,49.71,0.816,0.417
2,1.1752006184029322,0.8028,70.94,0.952,0.695,0.9363,66.98,0.934,0.627
3,0.8336745239927777,0.4763,82.07,0.979,0.82,0.5286,79.01,0.972,0.739
4,0.6229568975159772,0.4302,85.03,0.985,0.85,0.5279,80.01,0.98,0.765
5,0.5300254998027637,0.3199,88.64,0.992,0.882,0.3888,84.6,0.987,0.81
6,0.47111718722462226,0.3588,87.29,0.99,0.873,0.3637,86.75,0.985,0.817
7,0.43998369136591536,0.2651,90.65,0.993,0.907,0.287,88.87,0.989,0.851
8,0.4118679446772435,0.3215,89.08,0.992,0.891,0.4227,83.96,0.983,0.806
9,0.38597462182083436,0.2545,91.31,0.994,0.913,0.3057,87.48,0.989,0.842
10,0.3637097899845424,0.1894,93.89,0.996,0.939,0.3321,87.97,0.987,0.839
11,0.3511595535075365,0.2342,91.81,0.996,0.918,0.3396,87.49,0.987,0.827
12,0.3411017639769448,0.2357,91.85,0.995,0.917,0.2851,89.63,0.989,0.853
13,0.3287540734561968,0.1655,94.67,0.997,0.947,0.2999,89.04,0.989,0.857
14,0.3166732300727171,0.2212,92.52,0.997,0.922,0.3584,87.48,0.988,0.82
15,0.30045928944930383,0.1705,94.26,0.997,0.941,0.4791,83.37,0.981,0.801
16,0.29249518300576877,0.1857,93.76,0.997,0.937,0.2481,90.68,0.992,0.87
17,0.2823061329916814,0.1439,95.19,0.998,0.952,0.3132,89.5,0.988,0.864
18,0.2722258821236617,0.1633,94.49,0.997,0.944,0.2691,90.81,0.99,0.866
19,0.2651952981788625,0.1343,95.71,0.998,0.957,0.269,89.91,0.991,0.864
20,0.2557119909660577,0.1473,94.97,0.998,0.949,0.352,87.89,0.988,0.837
21,0.2506637949109291,0.1335,95.61,0.998,0.956,0.3206,89.69,0.988,0.858
22,0.24476791695294414,0.1532,95.14,0.998,0.951,0.2834,90.12,0.989,0.862
23,0.23953401202529562,0.1745,94.41,0.998,0.944,0.5326,85.14,0.986,0.799
24,0.22733668817414177,0.1107,96.26,0.999,0.962,0.3227,89.72,0.988,0.865
25,0.2239348010750868,0.1309,95.64,0.998,0.955,0.3734,86.74,0.987,0.843
26,0.2182956562047043,0.1564,94.64,0.998,0.946,0.3954,86.99,0.985,0.849
27,0.2100826118234879,0.1061,96.58,0.999,0.966,0.2727,90.13,0.991,0.861
28,0.2014574001820284,0.1091,96.22,0.999,0.962,0.2766,90.18,0.991,0.864
29,0.19520121703331617,0.1184,96.11,0.999,0.96,0.5108,85.46,0.985,0.826
30,0.18865494986188241,0.1312,95.67,0.999,0.956,0.3956,86.63,0.989,0.826
31,0.18225522791986826,0.0914,97.2,0.999,0.971,0.3471,89.47,0.987,0.862
32,0.1805015150390859,0.075,97.58,0.999,0.976,0.2478,92.22,0.992,0.892
33,0.1708316450878497,0.0795,97.41,0.999,0.974,0.2711,90.75,0.991,0.876
34,0.16405986819589866,0.099,96.57,0.999,0.966,0.3722,86.86,0.989,0.841
35,0.15994702660108126,0.0734,97.68,0.999,0.977,0.2943,91.69,0.99,0.887
36,0.15412312244001683,0.0706,97.82,0.999,0.978,0.2878,91.43,0.99,0.885
37,0.14417076938014517,0.0698,97.81,0.999,0.978,0.3064,90.83,0.99,0.884
38,0.14181490574285763,0.0692,97.75,0.999,0.977,0.3406,90.56,0.988,0.876
39,0.13605848546924343,0.0611,98.08,1.0,0.981,0.2831,90.23,0.991,0.876
40,0.13128501296337147,0.0625,98.07,1.0,0.981,0.2373,92.1,0.993,0.891
41,0.12666477122107073,0.0622,98.06,1.0,0.98,0.272,91.22,0.992,0.878
42,0.12287971989241658,0.0554,98.19,1.0,0.982,0.2773,91.74,0.99,0.887
43,0.11732107718678786,0.0594,98.09,1.0,0.981,0.2597,92.07,0.992,0.894
44,0.11641565844496732,0.0584,98.03,1.0,0.98,0.2595,92.07,0.991,0.895
45,0.11158307804642613,0.053,98.34,1.0,0.983,0.2838,91.69,0.991,0.89
46,0.11036750930778709,0.0518,98.45,1.0,0.984,0.2701,92.12,0.991,0.893
47,0.10827790114254186,0.0511,98.43,1.0,0.984,0.2692,92.15,0.991,0.893
48,0.10577219878874158,0.051,98.42,1.0,0.984,0.2744,91.99,0.991,0.893
49,0.1054235905756019,0.0509,98.41,1.0,0.984,0.2762,91.98,0.991,0.892
