epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7457484667019179,1.4843,43.06,0.816,0.387,1.519,43.83,0.791,0.356
1,1.6340480690361352,1.2501,52.21,0.878,0.491,1.453,53.99,0.849,0.477
2,1.0251406839244255,0.6245,76.66,0.972,0.754,0.6717,77.01,0.97,0.734
3,0.6458615145802925,0.6711,75.93,0.975,0.76,0.5773,77.93,0.979,0.739
4,0.48717292999067613,0.3868,86.36,0.987,0.864,0.4796,81.38,0.979,0.778
5,0.41310288588846883,0.3026,89.5,0.992,0.893,0.5574,78.87,0.978,0.756
6,0.36752062317611495,0.238,91.99,0.995,0.919,0.2999,88.33,0.989,0.841
7,0.33944337937887425,0.2122,92.87,0.995,0.928,0.3147,88.58,0.987,0.849
8,0.31430657111829324,0.222,92.74,0.995,0.928,0.3503,87.9,0.988,0.836
9,0.30267783572169615,0.2308,92.12,0.995,0.921,0.4923,81.92,0.976,0.764
10,0.28755855129023605,0.2683,89.97,0.995,0.895,0.3571,87.08,0.987,0.82
11,0.2737777598709616,0.1859,93.92,0.997,0.938,0.3628,88.05,0.984,0.841
12,0.26506947138510295,0.2282,91.97,0.996,0.918,0.3909,86.45,0.985,0.823
13,0.25438605768332345,0.2107,92.68,0.996,0.926,0.3857,85.98,0.984,0.833
14,0.24676075201201184,0.159,94.86,0.997,0.948,0.3302,88.76,0.987,0.844
15,0.24120206327100807,0.175,94.12,0.997,0.941,0.4881,83.09,0.98,0.785
16,0.2314851328356719,0.2371,91.36,0.996,0.91,0.3193,87.98,0.991,0.836
17,0.22235414108067858,0.17,94.29,0.997,0.942,0.5001,84.02,0.974,0.788
18,0.21181872130561902,0.1901,93.51,0.997,0.935,0.4344,84.51,0.985,0.796
19,0.20950472356224145,0.2635,91.5,0.996,0.916,0.5165,83.78,0.979,0.768
20,0.20296342516030888,0.1869,93.44,0.997,0.933,0.4699,84.64,0.98,0.789
21,0.19797903986974857,0.1059,96.59,0.999,0.965,0.3628,88.33,0.985,0.843
22,0.1908313734557039,0.1397,95.4,0.998,0.954,0.3056,88.77,0.988,0.843
23,0.1849511581669999,0.1088,96.35,0.999,0.963,0.2893,90.34,0.989,0.874
24,0.17719916845788666,0.101,96.68,0.999,0.966,0.4052,87.7,0.985,0.834
25,0.17328755614951946,0.1181,95.93,0.999,0.958,0.2725,89.67,0.991,0.855
26,0.1620616659682284,0.1084,96.46,0.999,0.964,0.3919,88.28,0.986,0.853
27,0.1601820888204707,0.0919,97.19,0.999,0.971,0.3177,90.38,0.988,0.87
28,0.15578065703766533,0.0853,97.21,0.999,0.972,0.3081,89.29,0.991,0.852
29,0.15043029456155702,0.1165,96.29,0.999,0.963,0.4054,89.23,0.988,0.849
30,0.14666145334293978,0.0896,97.13,0.999,0.971,0.3544,88.65,0.987,0.841
31,0.13885186439693828,0.0772,97.48,0.999,0.974,0.3433,89.26,0.986,0.845
32,0.1316393694997261,0.0748,97.55,0.999,0.975,0.3296,89.4,0.988,0.856
33,0.12606376259984936,0.0719,97.69,0.999,0.977,0.272,91.17,0.992,0.88
34,0.12394033729576082,0.0625,98.04,1.0,0.98,0.2815,90.89,0.992,0.881
35,0.11717083388572312,0.0692,97.71,0.999,0.977,0.2645,91.73,0.992,0.888
36,0.11091719000803901,0.0639,97.98,0.999,0.98,0.3437,89.96,0.987,0.867
37,0.10380400887500214,0.0623,98.03,1.0,0.98,0.279,90.62,0.991,0.871
38,0.10232149115279585,0.0627,97.96,1.0,0.979,0.3375,89.55,0.989,0.866
39,0.09479898807849722,0.0564,98.22,1.0,0.982,0.2401,91.19,0.993,0.88
40,0.09199115420995434,0.0533,98.28,1.0,0.983,0.2725,91.54,0.992,0.885
41,0.08727666512665783,0.0527,98.35,1.0,0.983,0.3155,90.7,0.99,0.881
42,0.0861277326934814,0.0506,98.44,1.0,0.984,0.2722,91.28,0.991,0.885
43,0.08211522239283742,0.0498,98.47,1.0,0.984,0.3007,90.84,0.991,0.88
44,0.0783801231763616,0.0489,98.47,1.0,0.985,0.2823,91.46,0.991,0.888
45,0.07473392293731745,0.0484,98.45,1.0,0.984,0.2916,91.2,0.991,0.883
46,0.07674810875167129,0.0453,98.61,1.0,0.986,0.2792,91.9,0.991,0.891
47,0.07089781211722496,0.0446,98.66,1.0,0.986,0.2758,91.92,0.991,0.89
48,0.07301026416148015,0.0449,98.65,1.0,0.986,0.2737,91.88,0.991,0.891
49,0.07135250286356042,0.0448,98.65,1.0,0.986,0.2743,91.79,0.992,0.89
