epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.6933183191497694,1.3295,45.87,0.846,0.413,1.4344,48.41,0.827,0.387
1,1.5288254732940358,1.1542,58.21,0.912,0.552,1.2263,58.77,0.894,0.533
2,0.84972941143752,0.4917,81.95,0.981,0.817,0.6574,76.33,0.966,0.719
3,0.5550516099538855,0.5419,79.82,0.982,0.797,0.6422,75.48,0.973,0.721
4,0.41686074780200116,0.2579,91.56,0.993,0.916,0.4812,81.15,0.979,0.778
5,0.3504513936871696,0.3566,87.72,0.991,0.879,0.7057,73.74,0.968,0.675
6,0.3171045912102559,0.2414,91.88,0.995,0.919,0.3802,85.47,0.986,0.803
7,0.2859080140896168,0.1836,93.98,0.997,0.94,0.3859,87.19,0.984,0.843
8,0.2665226260553979,0.216,92.86,0.996,0.928,0.3768,86.72,0.986,0.83
9,0.25433999935572293,0.256,91.73,0.995,0.914,0.4526,84.89,0.98,0.796
10,0.243656564089987,0.3196,89.53,0.995,0.89,0.3761,88.38,0.988,0.811
11,0.23290425469584788,0.166,94.33,0.997,0.944,0.3723,88.76,0.985,0.843
12,0.22186850803139815,0.2044,92.97,0.996,0.929,0.4271,85.54,0.982,0.815
13,0.2147017052083353,0.1754,94.08,0.997,0.939,0.3454,87.18,0.986,0.842
14,0.2066277736217104,0.1375,95.37,0.998,0.954,0.3235,89.45,0.989,0.86
15,0.20197227573202503,0.1538,94.76,0.998,0.948,0.361,86.86,0.984,0.819
16,0.19563663159380248,0.1781,93.53,0.998,0.934,0.2374,90.53,0.992,0.868
17,0.18447929201480737,0.1248,96.05,0.998,0.96,0.4868,85.35,0.978,0.807
18,0.1785805927970076,0.158,95.06,0.998,0.95,0.4142,86.15,0.988,0.824
19,0.17785261110753142,0.1859,94.1,0.997,0.941,0.3742,86.89,0.985,0.828
20,0.16883127494818634,0.1337,95.52,0.998,0.954,0.3257,89.39,0.986,0.853
21,0.16351785753790196,0.1097,96.48,0.999,0.964,0.403,87.21,0.985,0.828
22,0.15673204848549485,0.1047,96.57,0.999,0.965,0.2922,90.32,0.989,0.866
23,0.15274597503458515,0.1084,96.57,0.999,0.965,0.4112,86.99,0.985,0.837
24,0.14455364008958194,0.1058,96.49,0.999,0.965,0.3584,88.02,0.988,0.838
25,0.14221389251877972,0.0959,96.93,0.999,0.968,0.2842,90.64,0.99,0.87
26,0.13702205509801918,0.1035,96.65,0.999,0.965,0.3325,89.56,0.99,0.868
27,0.13087878670663602,0.0847,97.51,0.999,0.975,0.3207,89.48,0.989,0.859
28,0.1268139960291031,0.0984,96.69,0.999,0.966,0.3656,87.9,0.988,0.829
29,0.12517467349113423,0.0973,96.76,0.999,0.967,0.4224,86.82,0.985,0.835
30,0.11620236751640142,0.0704,97.72,0.999,0.977,0.3215,89.5,0.988,0.858
31,0.11220459851659968,0.0821,97.28,0.999,0.973,0.3751,88.95,0.986,0.836
32,0.10600328471137738,0.0644,97.99,1.0,0.979,0.3206,90.65,0.99,0.871
33,0.10154469435413678,0.0679,97.8,1.0,0.978,0.2401,92.1,0.992,0.888
34,0.09681120492504595,0.0745,97.49,0.999,0.975,0.2571,91.44,0.993,0.884
35,0.09360887648330794,0.0549,98.34,1.0,0.983,0.2658,91.87,0.991,0.893
36,0.08667558054923744,0.0565,98.33,1.0,0.983,0.3442,91.27,0.989,0.885
37,0.08160473050476189,0.0579,98.21,1.0,0.982,0.2463,92.03,0.992,0.886
38,0.07887179375622809,0.0599,98.12,1.0,0.981,0.3442,90.15,0.988,0.873
39,0.07316750631998142,0.0635,97.89,1.0,0.979,0.2699,91.08,0.992,0.882
40,0.07083155079260736,0.0459,98.48,1.0,0.985,0.2955,91.0,0.991,0.875
41,0.0652008022692415,0.0478,98.53,1.0,0.985,0.2822,91.0,0.992,0.881
42,0.06541230272348156,0.0483,98.57,1.0,0.985,0.2988,91.69,0.99,0.888
43,0.062072319058721424,0.0442,98.63,1.0,0.986,0.2879,91.35,0.992,0.884
44,0.05888588229815165,0.0431,98.71,1.0,0.987,0.2934,91.22,0.991,0.885
45,0.055399659969326526,0.0437,98.68,1.0,0.987,0.29,91.25,0.991,0.885
46,0.057355835696675656,0.0412,98.71,1.0,0.987,0.3004,91.6,0.991,0.889
47,0.054226532530066256,0.0408,98.7,1.0,0.987,0.2978,91.73,0.991,0.89
48,0.05298206190441779,0.0406,98.73,1.0,0.987,0.294,91.8,0.991,0.891
49,0.053542517110585205,0.0406,98.71,1.0,0.987,0.2927,91.77,0.991,0.89
