epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4093195186080043,0.872,71.4,0.942,0.699,1.3357,53.2,0.844,0.474
1,1.0418085028086939,0.6335,77.28,0.969,0.769,0.8307,70.03,0.951,0.662
2,0.6301590110772827,0.2985,89.1,0.992,0.888,0.3773,86.45,0.984,0.811
3,0.41168260568999904,0.8202,74.83,0.964,0.742,0.9103,73.99,0.959,0.672
4,0.4149890306228805,0.2829,90.29,0.993,0.904,0.4206,83.63,0.982,0.805
5,0.27442443151841456,0.2141,92.64,0.996,0.927,0.3672,86.14,0.987,0.815
6,0.22689612932156064,0.171,94.3,0.998,0.943,0.3453,87.92,0.991,0.839
7,0.20314570642527072,0.1534,94.95,0.998,0.949,0.3202,89.88,0.988,0.849
8,0.18643431505689056,0.1421,95.29,0.998,0.952,0.3386,87.83,0.989,0.843
9,0.1759290713082505,0.1121,96.46,0.999,0.965,0.2642,90.65,0.993,0.869
10,0.16341900989066102,0.2088,92.43,0.998,0.921,0.4098,87.16,0.99,0.807
11,0.15406489410307458,0.1042,96.61,0.999,0.966,0.3126,90.15,0.988,0.87
12,0.14987879897397693,0.0957,96.89,0.999,0.968,0.2481,91.6,0.991,0.887
13,0.14223851346974944,0.1088,96.66,0.999,0.966,0.2067,92.39,0.994,0.894
14,0.13864395286767714,0.0836,97.28,0.999,0.973,0.3087,89.5,0.99,0.85
15,0.1345009345387686,0.1004,96.65,0.999,0.966,0.346,88.43,0.991,0.844
16,0.1300990111778714,0.1489,95.07,0.999,0.95,0.278,90.75,0.993,0.851
17,0.12363073992873391,0.0971,96.89,0.999,0.969,0.2659,90.78,0.992,0.879
18,0.12154919472873531,0.0915,97.1,0.999,0.97,0.2775,90.3,0.991,0.875
19,0.11601825435662569,0.0893,97.15,0.999,0.97,0.3617,87.86,0.989,0.841
20,0.11382822336221789,0.0925,97.01,0.999,0.97,0.2854,88.79,0.99,0.834
21,0.10853542589105158,0.0758,97.52,0.999,0.975,0.3807,87.89,0.989,0.846
22,0.10476430595475232,0.0795,97.42,0.999,0.974,0.2687,91.13,0.993,0.873
23,0.10249177340458157,0.0761,97.52,0.999,0.975,0.388,88.46,0.988,0.84
24,0.09890143793096305,0.0638,97.83,1.0,0.978,0.2033,93.32,0.994,0.91
25,0.09426632595305268,0.0663,97.94,1.0,0.979,0.1801,94.19,0.994,0.919
26,0.08964725795258704,0.0754,97.67,0.999,0.976,0.2437,91.84,0.993,0.895
27,0.08662403799179527,0.0663,97.96,1.0,0.979,0.2519,91.66,0.993,0.879
28,0.08370065368464931,0.0587,98.12,1.0,0.981,0.2525,91.73,0.992,0.89
29,0.07780834861386794,0.0676,97.85,1.0,0.978,0.3437,89.91,0.988,0.873
30,0.07480539100271345,0.0611,97.94,1.0,0.979,0.3413,89.64,0.991,0.851
31,0.07235174065148692,0.0555,98.26,1.0,0.982,0.2862,91.77,0.99,0.894
32,0.06939911695304044,0.0422,98.65,1.0,0.986,0.2952,91.41,0.991,0.885
33,0.06392621587441173,0.0534,98.31,1.0,0.982,0.2123,93.6,0.994,0.91
34,0.06150401180182787,0.0451,98.57,1.0,0.985,0.2076,93.45,0.995,0.911
35,0.057712877481361335,0.0481,98.5,1.0,0.985,0.1808,93.89,0.996,0.916
36,0.05359809182410706,0.0439,98.67,1.0,0.986,0.2526,91.57,0.994,0.884
37,0.05020210990602131,0.0367,98.88,1.0,0.989,0.1928,94.11,0.995,0.918
38,0.045954516125796194,0.0349,98.8,1.0,0.988,0.1883,94.14,0.995,0.917
39,0.044218386932339614,0.0392,98.7,1.0,0.987,0.2214,93.49,0.994,0.909
40,0.04216724054514027,0.0327,98.93,1.0,0.989,0.1812,94.46,0.996,0.921
41,0.03941992677140674,0.0305,99.03,1.0,0.99,0.2097,93.72,0.995,0.916
42,0.036533999633992016,0.032,98.92,1.0,0.989,0.1993,94.14,0.995,0.919
43,0.035282387665229245,0.0314,98.94,1.0,0.989,0.1903,94.08,0.996,0.919
44,0.032488350656324175,0.0301,99.08,1.0,0.991,0.1932,94.32,0.995,0.921
45,0.03176493506785148,0.0284,99.04,1.0,0.99,0.1965,94.46,0.995,0.923
46,0.03074069294117151,0.0283,99.11,1.0,0.991,0.2,94.36,0.995,0.923
47,0.03138043125757554,0.0281,99.12,1.0,0.991,0.1905,94.5,0.995,0.924
48,0.029360823057872312,0.028,99.09,1.0,0.991,0.1935,94.55,0.995,0.924
49,0.02852375568541628,0.0281,99.11,1.0,0.991,0.1942,94.6,0.995,0.925
