epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.0400765838375228,0.6861,74.53,0.962,0.74,2.7042,37.58,0.704,0.351
1,1.2057855230719385,1.848,53.34,0.831,0.484,2.1299,26.43,0.754,0.279
2,0.9940388369837969,0.4893,81.77,0.978,0.811,1.9042,48.7,0.791,0.466
3,0.7305712155116502,0.5573,79.39,0.978,0.784,1.2255,47.86,0.89,0.458
4,0.5183642820378358,0.2566,91.76,0.994,0.916,0.803,78.19,0.923,0.719
5,0.39742218204990937,0.3486,88.62,0.99,0.888,0.6263,77.44,0.965,0.696
6,0.32533133288972266,0.234,92.07,0.995,0.919,0.6113,84.87,0.951,0.769
7,0.294746630040655,0.2205,92.61,0.995,0.926,0.3934,85.36,0.981,0.789
8,0.2594147551484326,0.2822,90.26,0.994,0.9,0.5273,82.73,0.975,0.771
9,0.2526885602609872,0.2957,90.56,0.995,0.904,0.6337,77.47,0.978,0.772
10,0.23523966988087983,0.2267,91.85,0.997,0.918,0.4659,84.62,0.984,0.789
11,0.2280196173310173,0.1882,93.77,0.996,0.938,0.4045,84.54,0.983,0.797
12,0.22302690014830626,0.1846,94.16,0.997,0.941,0.5244,83.39,0.981,0.78
13,0.20950902321486062,0.1463,95.27,0.998,0.952,0.2969,89.2,0.991,0.857
14,0.20773101019869997,0.1242,95.92,0.998,0.96,0.2652,90.49,0.992,0.862
15,0.19777709946009633,0.1156,96.27,0.999,0.962,0.309,89.99,0.99,0.866
16,0.19045498687773943,0.1538,94.54,0.998,0.946,0.3844,86.91,0.989,0.824
17,0.18903274814127594,0.145,95.06,0.998,0.95,0.2867,89.99,0.991,0.85
18,0.18338452370363326,0.1123,96.21,0.999,0.962,0.3374,88.85,0.99,0.854
19,0.17775888633530412,0.1175,96.24,0.998,0.962,0.3018,90.1,0.99,0.871
20,0.16762035988324644,0.1129,96.12,0.999,0.961,0.2388,92.12,0.992,0.894
21,0.16227452714650434,0.1317,95.73,0.998,0.957,0.2904,89.64,0.991,0.864
22,0.15535506656173095,0.0931,96.92,0.999,0.969,0.2188,92.7,0.994,0.905
23,0.15173066024231227,0.1365,95.23,0.998,0.953,0.2956,89.82,0.991,0.869
24,0.14608521570575067,0.093,96.99,0.999,0.969,0.2379,91.41,0.994,0.885
25,0.13761429831812885,0.1123,96.42,0.999,0.964,0.2665,90.42,0.994,0.875
26,0.13192962840413108,0.1302,95.72,0.999,0.954,0.3967,88.24,0.99,0.854
27,0.12780703514093353,0.0872,97.06,0.999,0.97,0.2583,90.97,0.993,0.87
28,0.12153788367586751,0.0747,97.7,0.999,0.977,0.2884,90.48,0.991,0.868
29,0.11613437151836772,0.0784,97.49,0.999,0.974,0.1989,93.07,0.995,0.91
30,0.10898521888039765,0.0662,97.93,0.999,0.979,0.2155,92.94,0.994,0.908
31,0.10223949551382051,0.0771,97.56,0.999,0.975,0.2161,92.78,0.994,0.9
32,0.0958162388867802,0.0568,98.32,1.0,0.983,0.2525,92.03,0.994,0.898
33,0.0886169132529541,0.063,98.04,1.0,0.98,0.2395,92.88,0.994,0.907
34,0.08590839331215214,0.0458,98.59,1.0,0.986,0.2041,93.27,0.995,0.907
35,0.08272709757570297,0.0495,98.45,1.0,0.984,0.2016,93.97,0.995,0.919
36,0.07662730997154577,0.0461,98.61,1.0,0.986,0.2521,92.78,0.993,0.903
37,0.0680840947885587,0.0411,98.75,1.0,0.987,0.1967,93.84,0.995,0.921
38,0.06112009196752502,0.0396,98.71,1.0,0.987,0.2097,93.83,0.994,0.922
39,0.05760421396957503,0.0385,98.75,1.0,0.987,0.2767,91.87,0.992,0.897
40,0.05325734989857802,0.0356,98.86,1.0,0.988,0.2403,93.04,0.993,0.909
41,0.047523736124224024,0.0348,98.92,1.0,0.989,0.2257,93.46,0.995,0.915
42,0.04276718841164663,0.0319,99.02,1.0,0.99,0.2549,93.19,0.992,0.909
43,0.03996588101470342,0.0324,99.05,1.0,0.99,0.2121,93.68,0.994,0.916
44,0.034299974615174915,0.03,99.1,1.0,0.991,0.213,93.64,0.995,0.916
45,0.03128869943220609,0.0281,99.15,1.0,0.991,0.2096,93.56,0.995,0.915
46,0.028056602050486858,0.0275,99.16,1.0,0.991,0.2269,93.49,0.994,0.914
47,0.025393839573360794,0.0273,99.2,1.0,0.992,0.2284,93.35,0.994,0.913
48,0.023080074528772986,0.0268,99.19,1.0,0.992,0.2351,93.04,0.994,0.909
49,0.019523572510502244,0.0269,99.22,1.0,0.992,0.2362,93.19,0.994,0.91
