epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7858017170301048,1.3323,47.84,0.847,0.431,1.2464,51.57,0.841,0.404
1,1.6294014295796766,1.1774,57.45,0.886,0.555,1.1099,64.0,0.908,0.598
2,1.0207185717466485,0.9976,66.51,0.942,0.655,1.1948,55.9,0.951,0.53
3,0.7424173736444084,0.694,76.86,0.977,0.761,0.5394,79.47,0.978,0.745
4,0.5886202921363188,0.4672,82.96,0.988,0.829,0.5523,78.19,0.982,0.707
5,0.5047086017426624,0.5235,83.16,0.982,0.83,0.82,72.05,0.967,0.666
6,0.46133002155463754,0.3439,88.22,0.992,0.884,0.3921,85.16,0.986,0.802
7,0.4289072512458729,0.3143,88.57,0.991,0.881,0.4384,83.56,0.985,0.776
8,0.40279383439316974,0.2788,90.22,0.993,0.904,0.3849,85.88,0.984,0.815
9,0.3842678371830226,0.245,91.71,0.995,0.917,0.3044,88.65,0.988,0.845
10,0.36042045906025877,0.4016,85.63,0.993,0.841,0.5056,83.14,0.985,0.748
11,0.34998998318308144,0.2892,89.99,0.994,0.9,0.3894,87.16,0.984,0.822
12,0.33820033249675585,0.2479,91.43,0.995,0.912,0.34,87.57,0.986,0.823
13,0.3294071385296442,0.1859,93.93,0.997,0.94,0.3063,87.78,0.989,0.831
14,0.32019834607625947,0.1914,93.86,0.996,0.939,0.3607,87.27,0.984,0.838
15,0.3067738424759612,0.1967,93.42,0.996,0.934,0.3954,85.99,0.987,0.82
16,0.30119430432663596,0.238,91.57,0.996,0.913,0.2779,89.42,0.991,0.849
17,0.29279580613511436,0.1665,94.64,0.997,0.946,0.3772,86.01,0.985,0.824
18,0.2818637344331938,0.1906,93.95,0.997,0.939,0.4227,85.5,0.981,0.827
19,0.2754747279549158,0.2544,91.84,0.996,0.913,0.6457,79.38,0.981,0.763
20,0.26780935670633044,0.1416,95.29,0.998,0.953,0.3814,87.23,0.982,0.836
21,0.2615883502989046,0.1402,95.17,0.998,0.952,0.3779,86.82,0.986,0.845
22,0.2540518268542264,0.1517,94.95,0.998,0.95,0.3152,89.5,0.988,0.859
23,0.2497670889087689,0.1171,96.18,0.998,0.962,0.3276,88.3,0.988,0.845
24,0.2382523758757499,0.1475,95.24,0.998,0.952,0.2916,89.18,0.988,0.86
25,0.23127063461262265,0.1361,95.52,0.998,0.954,0.2906,89.77,0.989,0.865
26,0.2264090859761802,0.1544,94.67,0.998,0.945,0.3268,88.22,0.988,0.852
27,0.21569098780552545,0.1271,95.83,0.998,0.958,0.421,86.04,0.984,0.832
28,0.21293938222698414,0.1233,95.86,0.998,0.959,0.3072,89.18,0.99,0.862
29,0.20462719815713104,0.1001,96.79,0.999,0.968,0.3133,90.05,0.99,0.863
30,0.2004783556105629,0.1475,95.08,0.998,0.95,0.3713,86.48,0.988,0.845
31,0.19014544176158085,0.0991,96.62,0.999,0.966,0.2423,91.88,0.991,0.891
32,0.18429124982874026,0.104,96.56,0.999,0.966,0.3798,90.05,0.984,0.867
33,0.17820463115916885,0.0989,96.66,0.999,0.966,0.3249,88.32,0.988,0.844
34,0.17203118951864355,0.0897,97.13,0.999,0.97,0.2672,90.72,0.992,0.88
35,0.16528466560186877,0.0788,97.47,0.999,0.974,0.2641,91.57,0.991,0.884
36,0.15471798089402977,0.0741,97.59,0.999,0.976,0.2852,90.92,0.99,0.878
37,0.15322512886937587,0.0745,97.58,0.999,0.976,0.2574,91.41,0.991,0.883
38,0.1472024667146866,0.0874,97.07,0.999,0.97,0.3211,88.66,0.991,0.845
39,0.14231107728455655,0.0679,97.8,0.999,0.978,0.3344,89.18,0.989,0.863
40,0.13663251097163848,0.0682,97.81,0.999,0.978,0.2863,91.36,0.99,0.885
41,0.12958628137172015,0.0651,97.95,0.999,0.979,0.3069,90.89,0.989,0.882
42,0.12237394345410195,0.0602,97.99,1.0,0.98,0.2664,91.5,0.991,0.888
43,0.12317108585896458,0.0581,98.16,1.0,0.981,0.2716,91.69,0.991,0.888
44,0.11941524306278822,0.0584,98.09,1.0,0.981,0.2687,91.55,0.991,0.89
45,0.11751949083473948,0.0595,98.11,1.0,0.981,0.2865,90.89,0.991,0.882
46,0.11337193615040257,0.0579,98.1,1.0,0.981,0.2909,90.6,0.99,0.877
47,0.1121877290602226,0.0562,98.21,1.0,0.982,0.274,91.25,0.991,0.885
48,0.10951844781076395,0.0554,98.24,1.0,0.982,0.2684,91.63,0.991,0.889
49,0.10990380278811873,0.0555,98.18,1.0,0.982,0.2697,91.35,0.991,0.885
