epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7762526656137145,1.6373,32.6,0.777,0.272,1.6966,40.06,0.774,0.313
1,1.6006623929546726,1.0696,60.78,0.913,0.586,1.2066,58.08,0.908,0.525
2,0.9737907102244729,0.5794,78.95,0.973,0.782,0.5361,78.46,0.975,0.729
3,0.6970219977974464,0.4572,84.07,0.982,0.833,0.4672,81.83,0.981,0.78
4,0.5584757061521639,0.464,83.37,0.986,0.832,0.5241,79.41,0.982,0.768
5,0.48445550189436976,0.4348,84.59,0.987,0.846,0.6266,75.04,0.973,0.725
6,0.4352891945069836,0.3464,87.54,0.992,0.87,0.3702,85.28,0.985,0.8
7,0.40594323842008484,0.3006,89.62,0.993,0.895,0.569,79.01,0.977,0.752
8,0.37958911619412855,0.3237,88.84,0.99,0.887,0.4381,83.66,0.98,0.786
9,0.3574408157645161,0.2958,89.6,0.994,0.898,0.4533,83.99,0.98,0.796
10,0.34609287496536006,0.287,89.29,0.994,0.889,0.3437,87.15,0.985,0.82
11,0.3320888052010194,0.2475,91.59,0.995,0.915,0.3383,87.19,0.987,0.836
12,0.3204561881320451,0.2598,91.03,0.995,0.908,0.358,86.75,0.987,0.805
13,0.30634031094957853,0.2149,93.08,0.996,0.929,0.3816,85.06,0.986,0.818
14,0.2976534297175732,0.2039,92.91,0.996,0.929,0.339,86.59,0.986,0.82
15,0.287362304532827,0.1844,94.02,0.997,0.94,0.4216,85.27,0.982,0.813
16,0.27986503969277104,0.2355,91.58,0.995,0.913,0.2686,89.74,0.991,0.861
17,0.27045530711023613,0.1462,95.17,0.998,0.951,0.3484,88.0,0.985,0.844
18,0.26032109593298275,0.1514,94.92,0.998,0.949,0.3571,86.23,0.99,0.824
19,0.25489645989404786,0.2204,92.86,0.997,0.926,0.365,86.17,0.988,0.833
20,0.24773393672854244,0.1742,94.19,0.997,0.941,0.3442,87.24,0.986,0.839
21,0.2409235456003724,0.1512,94.89,0.998,0.948,0.2607,89.72,0.992,0.865
22,0.23403266941507658,0.1436,95.14,0.998,0.951,0.3626,87.27,0.986,0.848
23,0.22743962411384855,0.1598,94.68,0.998,0.945,0.4984,83.23,0.984,0.789
24,0.2210300169671522,0.1418,95.37,0.998,0.954,0.4133,85.5,0.987,0.822
25,0.21036395609485634,0.1296,95.79,0.998,0.958,0.2833,89.69,0.99,0.855
26,0.2060396166044324,0.1205,95.99,0.998,0.959,0.304,89.01,0.99,0.857
27,0.1986473900496319,0.1299,95.72,0.998,0.958,0.2865,89.42,0.989,0.858
28,0.19209966155630287,0.1365,95.35,0.998,0.953,0.3062,89.01,0.989,0.863
29,0.18829200070978921,0.1689,94.44,0.998,0.943,0.4241,85.71,0.983,0.837
30,0.18308348812189582,0.1057,96.47,0.999,0.964,0.3009,88.9,0.989,0.852
31,0.17291980379638278,0.0969,96.76,0.999,0.967,0.2914,89.72,0.989,0.871
32,0.1653266368787669,0.0894,97.03,0.999,0.97,0.3748,87.6,0.989,0.834
33,0.16081571295910838,0.0983,96.73,0.999,0.967,0.2823,89.85,0.992,0.882
34,0.15588373316311707,0.0788,97.48,0.999,0.975,0.2416,92.53,0.992,0.899
35,0.15153152706588896,0.0746,97.53,0.999,0.975,0.2993,89.5,0.991,0.858
36,0.14214021161759413,0.0758,97.64,0.999,0.976,0.3061,91.05,0.99,0.881
37,0.13785455065468946,0.0818,97.42,0.999,0.974,0.2823,90.13,0.99,0.866
38,0.13040269324789658,0.0831,97.28,0.999,0.972,0.3466,89.25,0.989,0.852
39,0.12632885739527722,0.0827,97.16,0.999,0.972,0.2611,90.95,0.991,0.88
40,0.118571747421524,0.066,97.88,0.999,0.979,0.3034,90.56,0.989,0.877
41,0.11494400271792031,0.0617,98.04,1.0,0.98,0.3075,91.06,0.989,0.88
42,0.10944388465334971,0.0575,98.2,1.0,0.982,0.2741,91.32,0.991,0.883
43,0.11023962776106531,0.0586,98.08,1.0,0.98,0.2888,91.27,0.99,0.885
44,0.10547109725000503,0.0573,98.15,1.0,0.981,0.2797,91.71,0.99,0.888
45,0.10323200666589336,0.0597,98.0,1.0,0.98,0.2989,90.65,0.99,0.879
46,0.09861082387053305,0.0577,98.12,1.0,0.981,0.2705,91.76,0.991,0.891
47,0.09828807735034535,0.0542,98.2,1.0,0.982,0.2836,91.2,0.99,0.882
48,0.09607842999200027,0.0548,98.22,1.0,0.982,0.2777,91.73,0.99,0.89
49,0.0951374808166136,0.0539,98.24,1.0,0.982,0.2791,91.69,0.991,0.889
