epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7413410901168769,1.6153,35.69,0.778,0.315,1.6361,44.62,0.779,0.362
1,1.5293337927069715,1.2346,55.82,0.898,0.541,1.2627,61.35,0.902,0.583
2,0.876266130516606,0.6028,78.05,0.976,0.758,0.6461,77.07,0.977,0.716
3,0.6160468543515838,0.7472,74.77,0.969,0.745,0.9373,68.5,0.956,0.678
4,0.4744783176850247,0.3217,89.26,0.99,0.893,0.5118,81.53,0.976,0.772
5,0.40544889359918546,0.3994,85.85,0.989,0.859,0.7105,76.3,0.97,0.721
6,0.3618367309264812,0.337,88.02,0.993,0.881,0.5068,82.25,0.98,0.763
7,0.3351142163985946,0.2738,91.01,0.994,0.911,0.4829,83.93,0.979,0.814
8,0.3168825916812411,0.2311,92.28,0.995,0.92,0.336,87.73,0.987,0.842
9,0.29871357483355376,0.236,92.13,0.995,0.92,0.4852,83.18,0.979,0.799
10,0.2805850961809731,0.3316,88.12,0.993,0.878,0.4834,82.88,0.98,0.794
11,0.2675159314921039,0.1878,94.0,0.996,0.939,0.3959,86.67,0.981,0.83
12,0.2589546261508832,0.1826,93.82,0.996,0.937,0.3809,86.28,0.985,0.818
13,0.24868211612158778,0.1766,93.89,0.997,0.938,0.3499,87.59,0.987,0.841
14,0.2403414927449705,0.1621,94.71,0.997,0.947,0.3097,89.4,0.989,0.857
15,0.23361875066086382,0.2058,93.13,0.997,0.93,0.642,81.78,0.976,0.778
16,0.22389829678187234,0.1453,95.0,0.998,0.95,0.313,88.39,0.988,0.843
17,0.21706851160547638,0.1628,94.63,0.997,0.946,0.3823,86.03,0.982,0.834
18,0.20622040472898004,0.1665,94.32,0.998,0.943,0.3238,88.08,0.987,0.832
19,0.20253862668910333,0.1684,94.52,0.998,0.945,0.3919,87.07,0.986,0.825
20,0.19969355897130078,0.1199,96.11,0.998,0.961,0.2923,89.45,0.989,0.86
21,0.19054356946419643,0.1652,94.19,0.998,0.942,0.4789,84.83,0.975,0.778
22,0.18277871246886937,0.1232,96.06,0.999,0.96,0.3095,89.56,0.989,0.864
23,0.1787352835138639,0.1404,95.36,0.998,0.953,0.3702,87.38,0.987,0.819
24,0.17263166675858174,0.1135,96.18,0.999,0.962,0.3127,88.85,0.987,0.852
25,0.16616723317933338,0.185,93.92,0.998,0.935,0.4291,83.93,0.984,0.804
26,0.1658784611264117,0.1289,95.75,0.999,0.956,0.3658,87.48,0.986,0.832
27,0.1545651499782839,0.1278,95.74,0.999,0.957,0.3555,88.82,0.986,0.844
28,0.14737644916447046,0.098,96.91,0.999,0.969,0.2687,91.08,0.991,0.878
29,0.14710712605105933,0.107,96.49,0.999,0.964,0.3774,87.1,0.986,0.835
30,0.14155976363461079,0.1144,96.2,0.999,0.962,0.3174,90.4,0.987,0.859
31,0.1355969322491504,0.0924,97.1,0.999,0.971,0.2971,89.83,0.988,0.864
32,0.12825864751065505,0.1001,96.79,0.999,0.967,0.3428,88.27,0.987,0.844
33,0.1225017485238852,0.0899,96.99,0.999,0.97,0.2302,92.14,0.992,0.892
34,0.11644845445870712,0.08,97.29,0.999,0.972,0.3666,88.46,0.988,0.86
35,0.11289037290065947,0.0799,97.39,0.999,0.974,0.2696,91.35,0.99,0.886
36,0.10663728841236629,0.066,98.05,0.999,0.98,0.2883,91.05,0.99,0.881
37,0.10058387339542416,0.071,97.74,0.999,0.977,0.2788,90.48,0.991,0.87
38,0.09511917978725447,0.0698,97.82,0.999,0.978,0.2788,91.2,0.991,0.878
39,0.09169359412044287,0.0698,97.81,0.999,0.978,0.3236,89.29,0.989,0.865
40,0.08899078496788565,0.0631,97.94,1.0,0.979,0.2779,91.52,0.99,0.884
41,0.08335870361843524,0.0601,98.1,1.0,0.981,0.3273,89.33,0.988,0.857
42,0.0809316405188626,0.0549,98.36,1.0,0.984,0.3024,91.28,0.99,0.882
43,0.07790690483224968,0.058,98.21,1.0,0.982,0.2979,90.49,0.99,0.868
44,0.0748641730059192,0.0557,98.23,1.0,0.982,0.291,91.16,0.989,0.878
45,0.07316078100266689,0.0546,98.26,1.0,0.982,0.2931,90.76,0.99,0.876
46,0.07148584336422945,0.0515,98.44,1.0,0.984,0.3024,90.9,0.989,0.877
47,0.06977905671022111,0.0496,98.45,1.0,0.984,0.2844,91.27,0.99,0.88
48,0.06800799552471407,0.0504,98.5,1.0,0.985,0.2909,91.19,0.99,0.881
49,0.068939099532275,0.0509,98.47,1.0,0.985,0.288,91.16,0.99,0.879
