epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.805714490379484,1.5532,37.31,0.809,0.337,1.3167,48.73,0.822,0.386
1,1.6272803549270904,1.0262,63.0,0.918,0.605,1.0404,64.55,0.924,0.605
2,0.9980564692114416,0.8442,67.79,0.959,0.661,0.8345,70.0,0.963,0.631
3,0.7395202199190748,0.4367,85.25,0.985,0.85,0.4674,82.28,0.98,0.77
4,0.6010610815872001,0.3717,87.15,0.989,0.87,0.4455,81.76,0.983,0.778
5,0.5216042453349705,0.4105,85.83,0.988,0.849,0.6731,75.18,0.972,0.723
6,0.47474076727064707,0.3201,89.15,0.989,0.893,0.3661,86.34,0.983,0.822
7,0.4461606951383707,0.3222,88.66,0.992,0.88,0.3722,85.35,0.986,0.813
8,0.4198987040949124,0.2816,90.22,0.994,0.901,0.4275,83.23,0.982,0.782
9,0.405612555883264,0.3456,88.06,0.992,0.877,0.3585,86.12,0.984,0.816
10,0.37696756601440434,0.534,83.02,0.991,0.801,0.6118,78.13,0.98,0.73
11,0.3698941762141857,0.3164,89.42,0.994,0.893,0.4158,85.96,0.983,0.795
12,0.35452442418610325,0.2877,89.76,0.994,0.895,0.4061,85.39,0.984,0.789
13,0.3468532959353112,0.2256,92.42,0.996,0.924,0.3933,85.66,0.986,0.806
14,0.3379616486342577,0.2367,91.61,0.996,0.916,0.3593,87.05,0.986,0.809
15,0.32584184539040356,0.2053,93.04,0.996,0.929,0.3586,86.4,0.987,0.821
16,0.3168558494645208,0.1982,93.45,0.997,0.933,0.3152,88.44,0.989,0.85
17,0.3073784753573411,0.1741,94.39,0.997,0.943,0.2824,89.52,0.99,0.85
18,0.3016414576373647,0.2065,93.28,0.996,0.933,0.4198,85.33,0.984,0.803
19,0.28950590164964773,0.1544,94.78,0.997,0.948,0.2949,89.61,0.99,0.859
20,0.282690763259874,0.1481,95.11,0.998,0.951,0.308,89.99,0.987,0.864
21,0.2765013156692401,0.1222,96.04,0.998,0.96,0.2661,90.42,0.99,0.875
22,0.26730025342021363,0.1701,94.34,0.997,0.943,0.3072,88.92,0.988,0.859
23,0.2628716912427683,0.1535,95.14,0.998,0.951,0.4097,85.95,0.986,0.814
24,0.2516906125250683,0.1488,95.17,0.998,0.951,0.2297,92.07,0.992,0.892
25,0.24382748338644222,0.107,96.51,0.999,0.965,0.2299,91.9,0.992,0.89
26,0.2392214893306669,0.2184,92.48,0.997,0.922,0.444,84.56,0.986,0.807
27,0.2294227562203843,0.1309,95.87,0.998,0.957,0.3545,87.46,0.987,0.833
28,0.22438755869117688,0.1077,96.39,0.999,0.964,0.2437,91.05,0.992,0.88
29,0.2161543847438896,0.1166,96.26,0.998,0.962,0.2806,90.78,0.991,0.874
30,0.21157673307056923,0.1284,95.82,0.998,0.958,0.2868,90.18,0.99,0.865
31,0.20744654429428894,0.0976,96.92,0.999,0.969,0.2798,90.9,0.989,0.878
32,0.19567109926146417,0.1093,96.5,0.999,0.964,0.2791,91.13,0.989,0.881
33,0.18689183536316117,0.0973,96.85,0.999,0.968,0.3132,89.31,0.99,0.855
34,0.1835143366982112,0.1014,96.71,0.999,0.966,0.3021,88.99,0.991,0.865
35,0.17444792563449524,0.0843,97.31,0.999,0.973,0.2609,91.13,0.991,0.884
36,0.1692615332395693,0.0836,97.27,0.999,0.973,0.3285,89.83,0.99,0.859
37,0.16144240429244375,0.0805,97.41,0.999,0.973,0.2707,91.2,0.99,0.883
38,0.15589781111526874,0.0714,97.69,0.999,0.976,0.2679,91.2,0.992,0.876
39,0.15155210343313047,0.0814,97.34,0.999,0.973,0.2609,90.81,0.992,0.875
40,0.14497757519471816,0.0683,97.85,0.999,0.978,0.2647,91.44,0.991,0.882
41,0.1429402239046537,0.0671,97.85,0.999,0.978,0.2727,91.62,0.99,0.884
42,0.13369870499630981,0.0602,98.02,1.0,0.98,0.2473,92.22,0.992,0.893
43,0.1322016791777692,0.0597,98.08,1.0,0.981,0.2479,92.09,0.992,0.891
44,0.13097453363052833,0.0609,98.03,1.0,0.98,0.2464,92.04,0.991,0.894
45,0.12622368096717798,0.0609,98.04,1.0,0.98,0.2461,92.23,0.992,0.895
46,0.12379860426683152,0.0566,98.18,1.0,0.981,0.2377,92.26,0.993,0.894
47,0.12007887110007279,0.0566,98.19,1.0,0.982,0.2473,92.15,0.992,0.893
48,0.11641943753833839,0.0549,98.26,1.0,0.982,0.2482,92.25,0.992,0.895
49,0.11740114668043711,0.0549,98.21,1.0,0.982,0.2463,92.18,0.992,0.893
