epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.5631598353813199,0.9699,64.12,0.935,0.581,1.3909,53.26,0.826,0.446
1,1.4194844620415814,1.1933,62.26,0.915,0.603,1.3953,53.29,0.901,0.502
2,0.9017267423184542,0.6761,77.57,0.974,0.767,0.7531,73.49,0.962,0.698
3,0.6147253084460467,0.493,82.47,0.981,0.823,0.6116,77.15,0.967,0.715
4,0.44831472047768184,0.4694,85.14,0.986,0.85,0.6146,78.62,0.97,0.74
5,0.36157222615561607,0.3064,89.8,0.993,0.898,0.4243,83.42,0.983,0.789
6,0.33644790229083815,0.2189,93.2,0.995,0.933,0.311,88.93,0.989,0.848
7,0.30334014903527007,0.1814,93.86,0.997,0.939,0.309,88.92,0.99,0.845
8,0.28333007791296555,0.201,92.74,0.997,0.927,0.3062,88.62,0.994,0.845
9,0.2595109211608073,0.2146,93.13,0.996,0.928,0.5286,80.4,0.977,0.755
10,0.2494243890394233,0.1879,93.27,0.998,0.93,0.338,87.81,0.989,0.831
11,0.23987528231782726,0.1445,95.43,0.998,0.954,0.3896,88.0,0.981,0.838
12,0.22896343556409668,0.1991,93.13,0.997,0.93,0.4177,86.18,0.984,0.803
13,0.22100591530028638,0.1419,95.65,0.998,0.955,0.3152,88.0,0.988,0.841
14,0.2137343517661522,0.1416,95.34,0.998,0.953,0.2594,90.86,0.992,0.868
15,0.20522548821771444,0.109,96.62,0.999,0.966,0.3514,88.16,0.99,0.836
16,0.2025615531537268,0.1882,93.42,0.998,0.933,0.2966,88.98,0.992,0.849
17,0.19562435033981518,0.0954,96.98,0.999,0.969,0.3041,89.53,0.988,0.855
18,0.18968861771073178,0.1134,96.38,0.999,0.963,0.2725,90.4,0.99,0.876
19,0.1849804269583849,0.1347,95.76,0.999,0.954,0.2665,91.03,0.99,0.88
20,0.17895912589325058,0.0898,96.99,0.999,0.97,0.3318,90.46,0.987,0.876
21,0.17210814838821742,0.0952,96.96,0.999,0.969,0.2869,89.77,0.991,0.861
22,0.16795929238921212,0.0931,97.07,0.999,0.97,0.2322,91.2,0.993,0.884
23,0.162427200391675,0.1065,96.63,0.999,0.966,0.2851,89.69,0.99,0.854
24,0.15739785050005256,0.1078,96.52,0.999,0.965,0.2257,91.82,0.993,0.892
25,0.15176805150177744,0.0765,97.53,0.999,0.975,0.2528,91.5,0.991,0.882
26,0.14595990757521335,0.0835,97.47,0.999,0.974,0.2888,90.4,0.991,0.868
27,0.13954294641839346,0.0845,97.46,0.999,0.974,0.2365,91.33,0.994,0.873
28,0.1391732098975329,0.0837,97.23,0.999,0.972,0.2859,90.38,0.992,0.876
29,0.13106255837479158,0.1002,96.95,0.999,0.969,0.3754,90.07,0.985,0.871
30,0.1259008746887941,0.0901,96.85,0.999,0.968,0.299,89.5,0.989,0.867
31,0.12361012474303285,0.0729,97.63,0.999,0.976,0.3138,91.05,0.989,0.876
32,0.11543602316129592,0.0613,98.0,1.0,0.979,0.3178,90.23,0.987,0.87
33,0.11172054311440836,0.0606,98.07,1.0,0.98,0.2136,92.77,0.994,0.903
34,0.10878799891760273,0.062,98.03,1.0,0.98,0.2298,92.56,0.993,0.895
35,0.10395298258645133,0.0489,98.52,1.0,0.985,0.2192,93.43,0.993,0.91
36,0.09896481321877583,0.0519,98.27,1.0,0.982,0.2402,92.33,0.993,0.892
37,0.09283658054300106,0.0505,98.37,1.0,0.983,0.2233,93.07,0.993,0.906
38,0.088444597698668,0.0471,98.45,1.0,0.984,0.1842,93.43,0.995,0.909
39,0.0858791626382312,0.0436,98.62,1.0,0.986,0.2074,93.49,0.994,0.909
40,0.07982352364968548,0.0419,98.66,1.0,0.986,0.2172,93.3,0.994,0.907
41,0.07715004894174769,0.042,98.59,1.0,0.986,0.2191,93.32,0.994,0.91
42,0.07404103524829378,0.0391,98.73,1.0,0.987,0.2057,93.48,0.994,0.912
43,0.07190498922147044,0.0391,98.7,1.0,0.987,0.2209,93.46,0.994,0.909
44,0.07014952007994911,0.0382,98.84,1.0,0.988,0.194,93.79,0.995,0.913
45,0.06837850443077503,0.0378,98.79,1.0,0.987,0.212,93.43,0.994,0.909
46,0.06727244399361125,0.0358,98.88,1.0,0.988,0.2118,93.6,0.994,0.912
47,0.06387949971595652,0.035,98.89,1.0,0.989,0.1912,93.89,0.995,0.915
48,0.0633157276895605,0.0358,98.9,1.0,0.989,0.1889,93.86,0.995,0.915
49,0.062475385389701335,0.0354,98.92,1.0,0.989,0.1926,93.87,0.995,0.915
