epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.5601873963964454,1.0647,59.96,0.923,0.575,1.4786,51.22,0.829,0.427
1,1.3518372030668362,1.1508,65.08,0.924,0.654,1.3108,53.99,0.887,0.474
2,0.8589189783219369,0.6141,77.62,0.973,0.778,0.7484,69.65,0.954,0.662
3,0.6262289303284819,0.3769,86.44,0.988,0.867,0.4694,82.27,0.976,0.763
4,0.4648202208261336,0.3592,87.06,0.993,0.873,0.3972,83.39,0.986,0.788
5,0.35991477584432957,0.1993,93.3,0.996,0.933,0.3604,86.56,0.988,0.817
6,0.3327694868795761,0.2004,93.4,0.996,0.933,0.2924,89.42,0.991,0.849
7,0.30128980876617534,0.1567,95.06,0.997,0.95,0.2883,89.78,0.99,0.855
8,0.2798710115467562,0.1656,94.78,0.997,0.947,0.2748,89.06,0.993,0.855
9,0.26103381744475773,0.156,95.1,0.998,0.949,0.3858,85.0,0.985,0.802
10,0.24736005472399855,0.1795,93.96,0.998,0.939,0.2791,89.91,0.992,0.843
11,0.23487331823689536,0.2124,92.73,0.997,0.93,0.3809,89.18,0.981,0.847
12,0.22358415683057145,0.1437,95.48,0.998,0.954,0.2759,90.37,0.991,0.868
13,0.21713998490497202,0.1067,96.6,0.999,0.965,0.244,90.42,0.993,0.875
14,0.20883230512501091,0.1413,95.25,0.998,0.952,0.406,86.77,0.99,0.81
15,0.20271975072401185,0.1193,96.29,0.998,0.963,0.3595,87.76,0.989,0.841
16,0.19766399974677726,0.1027,96.85,0.999,0.968,0.2184,91.62,0.995,0.882
17,0.187282371037643,0.1073,96.45,0.999,0.964,0.3121,88.93,0.99,0.841
18,0.18382098234014912,0.1127,96.42,0.999,0.964,0.3426,88.54,0.991,0.848
19,0.17834631001116127,0.1071,96.52,0.999,0.964,0.3074,89.29,0.991,0.849
20,0.17151792535030927,0.0846,97.38,0.999,0.973,0.2226,91.92,0.994,0.891
21,0.1642738540045997,0.101,96.75,0.999,0.966,0.2948,89.8,0.993,0.881
22,0.16080057987522695,0.0897,96.94,0.999,0.969,0.2119,92.28,0.995,0.895
23,0.15569894863659764,0.0895,97.11,0.999,0.971,0.2532,91.27,0.992,0.882
24,0.15122679543537906,0.0749,97.7,0.999,0.977,0.1707,93.62,0.996,0.911
25,0.14387951823999592,0.085,97.25,0.999,0.972,0.2326,92.39,0.992,0.898
26,0.14176326592896787,0.0913,97.1,0.999,0.971,0.3286,89.2,0.992,0.853
27,0.13434621060807858,0.0697,97.86,0.999,0.978,0.196,93.1,0.996,0.904
28,0.12988664518948312,0.082,97.44,0.999,0.974,0.2743,90.51,0.993,0.866
29,0.12553981522692362,0.087,97.23,0.999,0.972,0.2925,91.69,0.992,0.88
30,0.11964222865920233,0.0591,97.98,1.0,0.979,0.256,91.22,0.994,0.875
31,0.11643289561019576,0.0633,97.98,1.0,0.979,0.3062,90.38,0.99,0.867
32,0.10922012381309036,0.0544,98.18,1.0,0.982,0.2535,91.38,0.994,0.882
33,0.10652788160669227,0.0543,98.34,1.0,0.983,0.2289,91.77,0.995,0.884
34,0.10283570727633853,0.0564,98.12,1.0,0.981,0.226,91.19,0.994,0.877
35,0.09786957161213976,0.0536,98.33,1.0,0.983,0.2017,93.42,0.995,0.904
36,0.09037241900313019,0.0472,98.54,1.0,0.985,0.2198,93.24,0.994,0.908
37,0.08705148201662793,0.0464,98.59,1.0,0.986,0.2078,92.94,0.995,0.908
38,0.08180683715883175,0.0442,98.59,1.0,0.986,0.1848,93.92,0.996,0.919
39,0.0806704225038649,0.0425,98.65,1.0,0.986,0.2148,92.17,0.995,0.892
40,0.07494811101492801,0.0423,98.7,1.0,0.987,0.1561,94.55,0.997,0.927
41,0.07217609724296944,0.0354,98.84,1.0,0.988,0.1922,93.72,0.995,0.914
42,0.06752197979365251,0.0378,98.79,1.0,0.988,0.1792,93.86,0.996,0.918
43,0.06577355788493242,0.0344,98.85,1.0,0.988,0.2131,93.92,0.994,0.915
44,0.06321542873130744,0.0338,98.93,1.0,0.989,0.1736,94.06,0.996,0.917
45,0.06330470735287314,0.0324,98.96,1.0,0.989,0.1839,93.9,0.996,0.916
46,0.059595923161461256,0.0318,98.95,1.0,0.989,0.1705,94.36,0.996,0.921
47,0.0592898388333138,0.0316,98.94,1.0,0.989,0.1741,94.27,0.996,0.92
48,0.0573647685005166,0.0314,98.97,1.0,0.989,0.1686,94.35,0.996,0.921
49,0.058772218623949636,0.0314,98.95,1.0,0.989,0.1734,94.22,0.996,0.92
