epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7441781622534585,1.4159,45.13,0.834,0.41,1.2436,50.59,0.851,0.443
1,1.6949963029140214,1.4693,50.47,0.836,0.475,1.5464,50.94,0.86,0.455
2,1.093812560736065,0.6885,74.27,0.962,0.732,0.6399,74.7,0.962,0.695
3,0.76235796852992,0.5114,81.17,0.978,0.807,0.5062,81.95,0.974,0.763
4,0.5795203339989468,0.3704,86.9,0.987,0.871,0.3944,84.4,0.983,0.804
5,0.5030122656762386,0.5824,78.94,0.982,0.786,0.6594,78.62,0.975,0.696
6,0.4499541916834411,0.2776,90.05,0.992,0.901,0.2975,88.71,0.99,0.841
7,0.41253058203766424,0.2588,91.32,0.993,0.914,0.358,86.26,0.988,0.825
8,0.3831826333877861,0.221,92.58,0.995,0.926,0.3439,87.34,0.985,0.839
9,0.36103768109954815,0.2309,92.48,0.995,0.923,0.3102,88.58,0.987,0.848
10,0.3393847652607494,0.2512,91.87,0.994,0.915,0.4084,85.3,0.985,0.812
11,0.32649142538133913,0.2445,91.35,0.996,0.912,0.2519,90.6,0.991,0.861
12,0.31371750679921934,0.2014,93.23,0.996,0.931,0.3183,88.33,0.987,0.844
13,0.2995165006447864,0.1914,93.3,0.997,0.933,0.2871,88.73,0.989,0.844
14,0.29034795836415345,0.1812,93.89,0.997,0.938,0.2801,89.33,0.99,0.851
15,0.2783455877534805,0.1666,94.22,0.997,0.941,0.2995,89.83,0.99,0.868
16,0.2706571684142167,0.1683,94.48,0.997,0.944,0.2437,90.92,0.992,0.877
17,0.2618463372270907,0.1916,93.73,0.997,0.937,0.3681,86.75,0.983,0.83
18,0.24758330659146377,0.2062,93.45,0.996,0.934,0.3812,86.33,0.987,0.81
19,0.24219588346539006,0.1445,95.38,0.998,0.954,0.326,88.85,0.99,0.86
20,0.2319702045411192,0.1688,94.3,0.998,0.942,0.2742,89.86,0.992,0.862
21,0.22879263535676037,0.1352,95.48,0.998,0.954,0.343,87.79,0.988,0.839
22,0.22114206272374345,0.1401,95.38,0.998,0.954,0.2426,90.98,0.993,0.875
23,0.21192524644903385,0.1122,96.2,0.998,0.962,0.263,90.79,0.99,0.87
24,0.20594278046040124,0.1092,96.27,0.999,0.963,0.2849,90.3,0.991,0.865
25,0.19525206267940529,0.1321,95.81,0.998,0.958,0.267,90.79,0.991,0.87
26,0.1937781612398804,0.1111,96.37,0.999,0.963,0.2879,89.72,0.989,0.866
27,0.18140719387693643,0.1045,96.54,0.999,0.965,0.2545,92.58,0.992,0.896
28,0.17765186774447614,0.1158,96.16,0.999,0.961,0.2427,91.5,0.993,0.886
29,0.17153470797003598,0.1252,96.0,0.999,0.959,0.3242,89.36,0.99,0.868
30,0.16771730378697422,0.1384,95.33,0.998,0.953,0.2446,91.47,0.992,0.882
31,0.16273045402994935,0.081,97.36,0.999,0.973,0.2657,91.27,0.992,0.886
32,0.15096694333178381,0.0877,97.17,0.999,0.971,0.2746,90.18,0.993,0.866
33,0.1465582637897422,0.0834,97.28,0.999,0.973,0.2014,92.77,0.995,0.906
34,0.14418841429108145,0.0794,97.37,0.999,0.974,0.221,91.54,0.994,0.887
35,0.1382129037866242,0.0746,97.56,0.999,0.975,0.2402,91.8,0.993,0.886
36,0.12807084442747216,0.0703,97.8,0.999,0.978,0.291,91.19,0.991,0.88
37,0.12468353016669177,0.0676,97.96,0.999,0.98,0.2063,92.8,0.993,0.9
38,0.11958944818211927,0.0619,97.91,1.0,0.979,0.1898,93.23,0.995,0.904
39,0.11724383433726633,0.0611,98.02,1.0,0.98,0.2124,92.64,0.994,0.904
40,0.11037389858622491,0.058,98.14,1.0,0.981,0.2438,92.5,0.993,0.898
41,0.10548755028168254,0.0562,98.31,1.0,0.983,0.2068,93.16,0.994,0.906
42,0.10005913061627243,0.0524,98.34,1.0,0.983,0.2183,93.04,0.993,0.906
43,0.09801158971590487,0.0521,98.38,1.0,0.984,0.2253,92.94,0.994,0.905
44,0.09355472272602461,0.0503,98.4,1.0,0.984,0.2111,93.37,0.994,0.911
45,0.09079159998859022,0.0492,98.49,1.0,0.985,0.2314,93.23,0.993,0.907
46,0.09018592101498424,0.0476,98.5,1.0,0.985,0.2072,93.42,0.994,0.91
47,0.08688046394990871,0.0478,98.55,1.0,0.985,0.2105,93.21,0.994,0.908
48,0.08503662790322015,0.0463,98.55,1.0,0.985,0.217,93.19,0.994,0.907
49,0.08567702076581431,0.0465,98.58,1.0,0.986,0.2152,93.15,0.994,0.907
