epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.061917021283112,2.067,16.1,0.587,0.049,2.0758,18.21,0.598,0.048
1,1.338189351836413,1.5151,49.42,0.888,0.459,1.6414,42.52,0.867,0.37
2,0.879286287185539,0.5875,79.31,0.973,0.794,0.8678,67.71,0.95,0.676
3,0.7263743445330624,0.6727,76.76,0.974,0.768,1.1173,59.64,0.936,0.604
4,0.6046726612314102,0.8811,69.64,0.966,0.712,1.4657,50.88,0.912,0.531
5,0.526138558449711,0.6061,78.04,0.975,0.788,1.1998,63.6,0.918,0.604
6,0.48531662264177877,0.361,86.77,0.989,0.871,0.7924,72.29,0.951,0.71
7,0.4395105851593838,0.5235,81.18,0.982,0.818,0.9184,72.43,0.956,0.691
8,0.419715414150855,0.3499,88.14,0.99,0.883,0.6417,76.85,0.967,0.753
9,0.3903406861915811,0.2648,90.81,0.995,0.91,0.5443,80.01,0.974,0.792
10,0.3715266565855686,0.4774,82.55,0.984,0.83,0.9356,67.28,0.938,0.609
11,0.35705263215687966,0.2162,93.01,0.996,0.932,0.5837,79.52,0.977,0.755
12,0.35133737963908035,0.4323,84.81,0.988,0.851,0.9448,69.73,0.959,0.622
13,0.3295699567350435,0.3727,87.81,0.991,0.881,0.6364,79.05,0.968,0.75
14,0.31879029615271476,0.239,92.26,0.995,0.923,0.7091,76.9,0.967,0.738
15,0.3143802194131745,0.3073,89.28,0.994,0.882,0.8793,73.31,0.962,0.706
16,0.30576242252810454,0.2968,89.58,0.994,0.899,0.7213,75.89,0.965,0.741
17,0.2950923193419706,0.2358,92.15,0.995,0.923,0.5705,81.08,0.973,0.792
18,0.2899149606892285,0.2411,92.09,0.995,0.923,0.489,82.82,0.982,0.794
19,0.27894311631932905,0.2449,91.74,0.995,0.918,0.6423,77.56,0.976,0.732
20,0.2711764433851806,0.2493,91.74,0.995,0.915,0.5629,79.43,0.982,0.767
21,0.26695385489839807,0.1994,93.31,0.997,0.935,0.5282,81.43,0.98,0.786
22,0.2594889130002709,0.1645,94.58,0.997,0.946,0.397,87.26,0.983,0.84
23,0.25450147106228765,0.1812,94.18,0.997,0.943,0.5445,82.73,0.978,0.794
24,0.24564942533290515,0.1757,94.14,0.997,0.942,0.5309,81.83,0.981,0.801
25,0.24287610997756323,0.1671,94.44,0.997,0.944,0.5369,82.44,0.976,0.804
26,0.23090079302589098,0.1632,94.73,0.998,0.949,0.6,79.43,0.977,0.773
27,0.2256845323682686,0.1673,94.37,0.997,0.945,0.4211,85.55,0.982,0.816
28,0.22117264897272151,0.2069,93.31,0.996,0.933,0.6003,79.14,0.974,0.773
29,0.2177491542419225,0.1404,95.49,0.998,0.955,0.5321,80.88,0.98,0.775
30,0.21159403807213228,0.1295,95.79,0.998,0.958,0.4595,84.9,0.977,0.816
31,0.20409471879456206,0.2157,92.54,0.997,0.924,0.3911,86.58,0.988,0.812
32,0.19572480586374105,0.1642,94.46,0.998,0.945,0.7353,75.29,0.966,0.732
33,0.1937554904249727,0.126,95.85,0.998,0.958,0.4062,86.01,0.988,0.829
34,0.1848896174528052,0.1237,95.99,0.998,0.96,0.499,83.34,0.98,0.802
35,0.1792822823355702,0.1061,96.49,0.999,0.965,0.4152,86.36,0.983,0.833
36,0.1740692254409568,0.1038,96.65,0.999,0.966,0.4686,85.95,0.981,0.832
37,0.16827230169487897,0.0926,97.08,0.999,0.971,0.4255,86.56,0.984,0.837
38,0.1650097386437505,0.0988,96.76,0.999,0.968,0.4404,87.46,0.979,0.837
39,0.15781316338741225,0.1016,96.63,0.999,0.966,0.4524,86.01,0.98,0.828
40,0.1542885372862487,0.0914,97.09,0.999,0.971,0.4112,86.91,0.983,0.842
41,0.1497673362319935,0.0863,97.2,0.999,0.972,0.4047,87.38,0.984,0.842
42,0.14303415280009044,0.0861,97.17,0.999,0.972,0.4062,86.75,0.985,0.838
43,0.14180949474534682,0.0928,97.0,0.999,0.97,0.4374,87.1,0.985,0.84
44,0.13849710694457468,0.0797,97.47,0.999,0.975,0.4024,88.28,0.985,0.857
45,0.13473941844397336,0.0802,97.51,0.999,0.975,0.411,87.67,0.986,0.851
46,0.13284595009593766,0.0768,97.53,0.999,0.975,0.3833,88.33,0.987,0.856
47,0.13074893546440908,0.0768,97.53,0.999,0.975,0.3798,88.27,0.987,0.855
48,0.12977655463614984,0.0747,97.56,0.999,0.976,0.3881,88.47,0.986,0.859
49,0.13129056193682243,0.0745,97.58,0.999,0.976,0.3795,88.73,0.986,0.862
