epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8305474152274457,2.0047,25.09,0.738,0.153,2.0471,17.65,0.66,0.093
1,0.9726676025484625,0.7349,72.41,0.956,0.704,1.8837,40.33,0.865,0.403
2,0.5064283332196615,0.7877,72.41,0.968,0.727,1.0867,65.02,0.934,0.617
3,0.3559274621387964,2.1488,51.36,0.885,0.482,3.9977,29.5,0.829,0.315
4,0.2681072007557611,0.3733,87.36,0.991,0.876,0.793,73.35,0.966,0.714
5,0.22367925478619485,0.1758,94.73,0.997,0.947,0.4651,83.39,0.985,0.811
6,0.1998813259799207,0.2555,91.09,0.996,0.907,0.9385,66.34,0.981,0.668
7,0.18476242409838783,0.6142,82.53,0.991,0.774,1.1366,62.59,0.975,0.605
8,0.1739953399625837,0.6806,77.58,0.971,0.772,0.9479,66.18,0.952,0.626
9,0.16217541194597668,0.2335,92.71,0.995,0.929,0.7496,76.27,0.962,0.722
10,0.1511248804121462,0.1904,94.32,0.997,0.942,0.604,79.28,0.975,0.761
11,0.1491613221825451,0.1564,95.07,0.997,0.949,0.945,73.71,0.961,0.689
12,0.141843464152093,0.2469,91.32,0.997,0.909,1.0833,69.7,0.981,0.711
13,0.13672954764711173,0.5699,84.42,0.996,0.807,1.5098,63.29,0.973,0.635
14,0.13067527261218823,0.1537,95.25,0.998,0.953,0.8643,77.1,0.961,0.73
15,0.12532857318799343,0.1974,93.18,0.997,0.934,0.4798,82.73,0.985,0.774
16,0.12389512837440524,0.1281,96.01,0.998,0.96,0.7732,79.14,0.979,0.75
17,0.11661962780260271,0.1683,94.67,0.998,0.945,0.8019,72.76,0.959,0.69
18,0.11424408923487403,0.1295,95.81,0.998,0.958,0.4795,86.45,0.977,0.834
19,0.11580833736940631,0.1955,93.17,0.996,0.93,0.5992,79.61,0.971,0.744
20,0.10970906919622828,0.1204,96.37,0.999,0.963,0.5829,80.37,0.975,0.769
21,0.10554245498872572,0.0901,97.11,0.999,0.972,0.5425,83.09,0.984,0.796
22,0.09969742267849892,0.2013,93.31,0.998,0.933,1.7046,58.9,0.967,0.568
23,0.10043901077381545,0.1731,94.24,0.997,0.943,0.4073,86.58,0.986,0.823
24,0.09325504156770886,0.0931,97.0,0.999,0.97,0.6424,80.86,0.972,0.77
25,0.09347118448639642,0.1072,96.79,0.999,0.967,0.4431,87.1,0.985,0.842
26,0.0903489614760096,0.0791,97.51,0.999,0.975,0.5093,85.57,0.982,0.827
27,0.0853536877427317,0.0781,97.61,0.999,0.976,0.6212,81.95,0.985,0.771
28,0.08221238154891251,0.0843,97.33,0.999,0.973,0.7536,78.53,0.974,0.755
29,0.07787828173114514,0.0729,97.79,0.999,0.977,0.647,81.75,0.973,0.773
30,0.07547196535240044,0.2087,92.68,0.999,0.918,0.7071,79.9,0.983,0.773
31,0.07412649780064554,0.1117,96.19,0.999,0.959,0.8444,81.75,0.977,0.761
32,0.07171305305554822,0.0744,97.57,0.999,0.976,0.4419,87.68,0.988,0.847
33,0.06651627941484359,0.0695,97.74,1.0,0.978,0.6756,80.12,0.973,0.767
34,0.0636719104426656,0.0658,97.87,1.0,0.979,0.5346,85.9,0.98,0.803
35,0.0612568682440186,0.0494,98.4,1.0,0.984,0.454,87.76,0.983,0.842
36,0.05651864263906701,0.0641,98.2,1.0,0.982,0.6107,83.78,0.973,0.813
37,0.056953560866375444,0.0459,98.6,1.0,0.986,0.5181,85.96,0.982,0.827
38,0.052289810397171524,0.0492,98.48,1.0,0.985,0.8553,81.9,0.967,0.793
39,0.049355063755999865,0.0485,98.45,1.0,0.984,0.525,87.23,0.979,0.837
40,0.048423093882152365,0.0358,98.93,1.0,0.989,0.5603,85.88,0.98,0.833
41,0.04519760342628618,0.038,98.78,1.0,0.988,0.7022,84.16,0.979,0.817
42,0.043039053142751735,0.0359,98.87,1.0,0.989,0.5953,85.36,0.98,0.824
43,0.04044736913608981,0.0341,98.97,1.0,0.99,0.5708,85.77,0.98,0.821
44,0.04078973349397434,0.032,98.97,1.0,0.99,0.6086,84.64,0.981,0.814
45,0.03877386279023623,0.0317,99.07,1.0,0.991,0.5579,86.29,0.981,0.835
46,0.03903455697634261,0.0309,99.07,1.0,0.991,0.6175,84.51,0.98,0.816
47,0.03633325972250499,0.0302,99.08,1.0,0.991,0.5695,85.2,0.981,0.821
48,0.036483355876271974,0.0295,99.1,1.0,0.991,0.5592,85.65,0.981,0.825
49,0.03573609083577136,0.0295,99.11,1.0,0.991,0.5623,85.6,0.981,0.826
