epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9405100681021221,2.0844,15.14,0.697,0.033,2.073,9.35,0.602,0.021
1,1.613730567971438,1.6266,40.56,0.815,0.328,2.4196,30.33,0.714,0.247
2,1.3193649679529198,1.3823,53.06,0.877,0.506,1.8612,43.87,0.831,0.42
3,1.023089279197023,1.2678,57.34,0.908,0.556,2.0592,45.16,0.854,0.436
4,0.806100636613839,0.8495,66.93,0.959,0.666,1.0695,61.27,0.935,0.543
5,0.7141437034346296,0.5408,79.95,0.978,0.806,0.8943,67.0,0.954,0.632
6,0.657838025240488,0.5058,82.19,0.98,0.82,0.8317,71.67,0.956,0.661
7,0.6308715896794446,0.3851,85.62,0.987,0.858,0.6849,75.48,0.967,0.722
8,0.6098719958656578,0.4738,83.22,0.984,0.835,0.7835,70.12,0.958,0.669
9,0.5889010631803117,0.4641,82.99,0.983,0.833,0.8529,69.35,0.957,0.679
10,0.5757971903756528,0.4423,84.09,0.986,0.838,0.9275,70.27,0.955,0.665
11,0.5607695596085654,0.4418,84.05,0.986,0.84,0.5584,78.89,0.971,0.745
12,0.5450698080669595,0.4358,84.98,0.986,0.855,0.763,75.26,0.964,0.72
13,0.5233214738441625,0.3356,87.9,0.991,0.884,0.5349,80.4,0.972,0.769
14,0.5106962510120912,0.316,88.83,0.991,0.891,0.8136,71.4,0.95,0.661
15,0.5052918811532332,0.2723,90.89,0.993,0.907,0.5472,79.09,0.982,0.777
16,0.49279115597407025,0.2824,90.55,0.994,0.906,0.5645,78.92,0.976,0.742
17,0.483147923610971,0.3288,88.33,0.991,0.884,0.657,76.57,0.967,0.731
18,0.47578959076208027,0.267,91.31,0.994,0.915,0.4745,83.59,0.98,0.806
19,0.4694907131694978,0.2906,89.87,0.993,0.896,0.7592,73.49,0.972,0.723
20,0.46137852662353107,0.3121,88.95,0.992,0.887,0.7544,73.61,0.964,0.697
21,0.4509639089733469,0.2348,91.71,0.995,0.916,0.4286,84.37,0.98,0.797
22,0.4505167793629417,0.3124,88.91,0.994,0.892,0.5234,82.27,0.972,0.785
23,0.4459846691098264,0.2888,89.97,0.994,0.894,0.6296,77.77,0.977,0.719
24,0.4370847763660561,0.2504,91.62,0.994,0.915,0.663,75.48,0.967,0.722
25,0.42996499423057805,0.2616,91.11,0.994,0.908,0.5814,79.31,0.974,0.761
26,0.42620986507784936,0.2337,91.75,0.994,0.92,0.5501,80.99,0.968,0.756
27,0.41905433500325806,0.2167,92.42,0.995,0.926,0.4513,83.64,0.982,0.796
28,0.4117236330731368,0.2096,92.55,0.996,0.925,0.545,80.36,0.977,0.753
29,0.4033423552162758,0.1947,93.39,0.996,0.933,0.6111,79.8,0.976,0.748
30,0.4029695187898947,0.2302,91.85,0.996,0.919,0.408,85.16,0.985,0.815
31,0.39422261971299366,0.2015,92.98,0.996,0.927,0.6977,76.57,0.974,0.728
32,0.3876296017439135,0.1558,94.88,0.998,0.949,0.4985,82.82,0.983,0.789
33,0.3840655058515542,0.1542,94.69,0.997,0.947,0.5112,83.51,0.977,0.804
34,0.3750650561197684,0.1487,95.08,0.997,0.95,0.4289,85.58,0.982,0.817
35,0.37386764583301374,0.1746,94.02,0.997,0.94,0.5225,82.14,0.977,0.792
36,0.36667670883692294,0.1447,95.25,0.998,0.953,0.5372,82.38,0.979,0.79
37,0.36064636272021094,0.1478,95.21,0.998,0.952,0.5446,82.39,0.979,0.791
38,0.3527722686635978,0.1737,94.12,0.997,0.94,0.6284,79.16,0.969,0.761
39,0.34770565698971456,0.1388,95.31,0.998,0.953,0.5201,82.8,0.977,0.789
40,0.34427174797622107,0.1275,96.0,0.998,0.96,0.4507,85.24,0.983,0.813
41,0.34379714244048654,0.1228,96.0,0.998,0.959,0.4494,85.27,0.98,0.815
42,0.33640274023603794,0.1174,96.29,0.998,0.963,0.4332,85.62,0.982,0.82
43,0.3313932995909431,0.1299,95.76,0.998,0.957,0.4585,84.56,0.98,0.807
44,0.3279940706534198,0.1102,96.38,0.999,0.964,0.4261,86.18,0.983,0.824
45,0.33127697517154037,0.1169,96.17,0.998,0.961,0.4843,84.29,0.98,0.808
46,0.3221312964261646,0.1077,96.67,0.999,0.967,0.4375,86.03,0.982,0.821
47,0.32314725762306573,0.112,96.42,0.999,0.964,0.4518,85.38,0.981,0.815
48,0.32162618920153613,0.1088,96.53,0.999,0.965,0.4412,85.82,0.982,0.82
49,0.31772926265514023,0.1095,96.49,0.999,0.965,0.4441,85.79,0.982,0.819
