epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.05866574386542,2.0665,23.25,0.642,0.138,2.0622,11.31,0.619,0.043
1,1.454252439267319,1.5814,48.54,0.868,0.448,1.721,46.27,0.814,0.396
2,1.061992927584597,1.0699,61.34,0.921,0.62,1.4752,51.37,0.883,0.516
3,0.9226183094431423,0.7297,72.29,0.959,0.709,1.1641,56.62,0.907,0.562
4,0.8012687059179429,0.8833,68.68,0.955,0.692,1.2285,64.31,0.921,0.616
5,0.7226701891550453,0.651,76.85,0.971,0.778,0.7709,71.48,0.955,0.654
6,0.6639120529629423,0.8746,68.81,0.951,0.66,1.1918,66.43,0.929,0.61
7,0.6132941519487716,0.4928,82.63,0.982,0.832,0.6056,76.31,0.97,0.732
8,0.5829065117891544,0.5086,82.23,0.981,0.815,0.7082,75.7,0.963,0.715
9,0.5460661049918889,0.4771,82.46,0.981,0.833,0.5943,78.0,0.972,0.748
10,0.5232505756146592,0.4036,85.49,0.989,0.86,0.5639,78.68,0.975,0.764
11,0.5010674519457697,0.3613,87.31,0.987,0.875,0.5195,81.54,0.97,0.77
12,0.487834220344875,0.4443,83.73,0.987,0.836,0.8139,71.12,0.956,0.681
13,0.4676320135166141,0.4325,84.72,0.986,0.853,0.8659,70.99,0.961,0.713
14,0.45128279315528047,0.3072,89.29,0.992,0.895,0.6524,75.94,0.966,0.748
15,0.4430498385194382,0.288,90.0,0.992,0.9,0.4704,82.93,0.975,0.796
16,0.4225456604874262,0.3362,88.39,0.992,0.887,0.6065,78.46,0.971,0.747
17,0.4070716320293351,0.2909,89.79,0.993,0.896,0.5463,81.1,0.975,0.779
18,0.4038772956872072,0.2644,91.05,0.993,0.912,0.5524,79.87,0.973,0.765
19,0.3919847286089347,0.2999,90.18,0.993,0.9,0.5497,80.44,0.973,0.773
20,0.378998278022667,0.2688,90.3,0.994,0.901,0.5487,79.95,0.977,0.753
21,0.3723778775409131,0.3499,87.86,0.99,0.879,0.8131,75.26,0.956,0.71
22,0.3673949591468312,0.2571,91.45,0.994,0.917,0.4977,82.55,0.976,0.799
23,0.35588996841381954,0.2502,91.27,0.994,0.912,0.5368,80.88,0.977,0.774
24,0.3432465849117139,0.2786,89.96,0.994,0.9,0.6327,78.26,0.967,0.744
25,0.337350879011402,0.2195,92.41,0.995,0.925,0.5426,80.59,0.974,0.775
26,0.32690848236549713,0.224,92.29,0.996,0.925,0.4475,85.32,0.982,0.82
27,0.31783651224067133,0.2124,92.95,0.996,0.93,0.5541,80.8,0.978,0.772
28,0.31184941228465796,0.2021,93.42,0.996,0.934,0.4049,85.09,0.984,0.815
29,0.30440344378405576,0.1793,94.19,0.996,0.942,0.4193,85.36,0.98,0.817
30,0.29757347994060074,0.1739,94.38,0.997,0.944,0.4376,85.05,0.981,0.818
31,0.28242098678931543,0.1843,93.74,0.997,0.938,0.2783,89.37,0.989,0.863
32,0.2815086346213108,0.1799,93.98,0.996,0.941,0.4586,83.47,0.98,0.796
33,0.2700935860421495,0.19,93.84,0.997,0.939,0.4839,82.52,0.981,0.783
34,0.25772775525367386,0.1728,94.43,0.997,0.943,0.472,83.36,0.978,0.802
35,0.2535085832052547,0.161,94.71,0.997,0.948,0.4629,83.8,0.981,0.796
36,0.2471759662058832,0.167,94.58,0.997,0.946,0.5553,82.28,0.976,0.795
37,0.24066535574400724,0.1862,93.68,0.997,0.937,0.4877,83.17,0.979,0.805
38,0.23756311656272966,0.1579,94.78,0.997,0.948,0.595,81.18,0.97,0.77
39,0.22756801597693915,0.1298,95.81,0.998,0.959,0.3528,88.0,0.985,0.847
40,0.22000907505712203,0.1266,95.93,0.998,0.959,0.3822,87.08,0.985,0.832
41,0.21393361445983677,0.1255,95.85,0.998,0.959,0.3354,88.8,0.987,0.853
42,0.2106814839773708,0.1247,95.84,0.998,0.959,0.3577,88.33,0.985,0.855
43,0.20343533724439614,0.1275,95.94,0.998,0.959,0.3851,87.08,0.983,0.833
44,0.200732139489984,0.1106,96.44,0.998,0.964,0.3638,87.72,0.984,0.842
45,0.19853445701968714,0.1133,96.3,0.998,0.963,0.3638,87.48,0.985,0.844
46,0.19124466195488915,0.1088,96.56,0.998,0.965,0.3918,86.67,0.984,0.836
47,0.1892937522341487,0.1065,96.59,0.998,0.966,0.3682,87.51,0.985,0.842
48,0.1910331205441533,0.1063,96.65,0.998,0.966,0.3761,87.43,0.984,0.841
49,0.1885545737373786,0.1059,96.63,0.998,0.966,0.3677,87.7,0.985,0.844
