epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.821082201909848,1.9677,25.26,0.783,0.154,2.0266,20.26,0.735,0.108
1,0.822976812506662,1.36,62.61,0.933,0.574,2.6603,37.04,0.806,0.281
2,0.3856437146583552,0.5359,82.59,0.979,0.822,3.7765,37.99,0.775,0.332
3,0.28945264814414856,0.5233,81.98,0.985,0.818,2.1655,55.91,0.892,0.489
4,0.21397745238089647,0.3751,87.64,0.99,0.872,3.2296,54.98,0.859,0.474
5,0.18314441503776657,0.3247,88.95,0.994,0.889,3.1169,43.74,0.816,0.394
6,0.16391602177239661,1.1756,69.13,0.964,0.653,3.1728,29.42,0.874,0.26
7,0.14719406610161173,0.3532,88.33,0.992,0.888,1.2444,66.07,0.942,0.553
8,0.13847445601791036,0.283,90.94,0.996,0.908,3.2019,43.6,0.766,0.409
9,0.12825285784873483,0.167,94.44,0.998,0.944,0.6485,81.26,0.949,0.762
10,0.12149478793544795,0.1834,93.42,0.997,0.93,0.8912,74.14,0.966,0.692
11,0.11783397905395022,0.1793,94.55,0.998,0.944,2.174,52.28,0.876,0.486
12,0.11447026796211693,0.1144,96.66,0.999,0.967,1.1583,71.77,0.952,0.629
13,0.1051845027427573,0.324,88.82,0.997,0.883,1.184,64.93,0.973,0.623
14,0.10232399633708393,0.1573,94.71,0.997,0.947,1.1078,73.28,0.931,0.638
15,0.09810511493641469,0.4564,87.99,0.996,0.873,2.3719,64.99,0.859,0.57
16,0.09786290752511191,0.1543,94.64,0.999,0.945,0.9212,73.95,0.966,0.657
17,0.0972734935895463,0.4026,86.87,0.996,0.838,1.6204,63.3,0.92,0.594
18,0.08927896052538868,0.1398,95.33,0.998,0.953,0.7431,81.35,0.955,0.754
19,0.08916234213518359,0.6034,83.65,0.994,0.794,1.3757,64.93,0.941,0.566
20,0.08543836399846072,0.139,95.45,0.998,0.953,1.1621,65.59,0.911,0.604
21,0.08368026125194725,0.0972,96.7,0.999,0.966,0.5968,81.19,0.973,0.742
22,0.07755791374038251,0.1216,97.03,0.998,0.97,0.5004,83.44,0.971,0.768
23,0.07818936160348329,0.079,97.54,0.999,0.975,0.7524,75.98,0.963,0.71
24,0.07503475247311496,0.0679,97.88,1.0,0.978,1.0159,74.45,0.966,0.653
25,0.07615651072113104,0.0821,97.46,0.999,0.974,0.6185,81.56,0.971,0.733
26,0.07133113536115829,0.0807,97.62,0.999,0.976,1.0907,65.34,0.944,0.628
27,0.06857913621037023,0.1044,96.61,0.999,0.966,0.7134,78.98,0.972,0.735
28,0.06413021135915031,0.0545,98.36,1.0,0.984,0.6047,79.13,0.977,0.748
29,0.06050751494464054,0.0662,98.0,1.0,0.98,0.67,79.91,0.966,0.754
30,0.05659729596661357,0.0539,98.26,1.0,0.982,0.7972,73.42,0.962,0.668
31,0.05553717230610202,0.0904,97.05,0.999,0.97,1.921,67.36,0.872,0.597
32,0.054573471766419204,0.0685,98.02,1.0,0.98,0.6098,82.24,0.974,0.779
33,0.05072349108134707,0.0628,97.99,1.0,0.98,1.1914,64.03,0.942,0.624
34,0.047272608421849736,0.0448,98.62,1.0,0.986,0.5663,83.91,0.98,0.79
35,0.047075674191491154,0.0469,98.5,1.0,0.985,0.556,83.21,0.979,0.769
36,0.04399692945809881,0.0419,98.65,1.0,0.986,0.5872,83.14,0.978,0.787
37,0.041797986230729514,0.0399,98.74,1.0,0.987,0.9641,75.34,0.954,0.661
38,0.04001004721194933,0.0528,98.35,1.0,0.983,0.8352,77.04,0.969,0.69
39,0.03599328153656535,0.035,98.86,1.0,0.989,0.717,81.53,0.973,0.735
40,0.03532752123123909,0.0319,99.02,1.0,0.99,0.7934,82.46,0.968,0.733
41,0.03439334999456147,0.0272,99.16,1.0,0.992,1.0614,78.45,0.95,0.695
42,0.031582183084420616,0.0278,99.09,1.0,0.991,0.7498,81.16,0.972,0.73
43,0.029214803479932328,0.0275,99.1,1.0,0.991,0.7183,80.21,0.973,0.727
44,0.028561875105611846,0.0247,99.23,1.0,0.992,0.7343,81.38,0.973,0.741
45,0.027921898367290643,0.0253,99.22,1.0,0.992,0.7787,80.86,0.971,0.741
46,0.02728515002696264,0.0249,99.26,1.0,0.993,0.7102,80.78,0.973,0.74
47,0.026345198825469048,0.0237,99.29,1.0,0.993,0.8397,79.87,0.967,0.724
48,0.026318317633055446,0.0241,99.29,1.0,0.993,0.7808,80.34,0.971,0.733
49,0.025285081572390053,0.0237,99.31,1.0,0.993,0.7724,80.37,0.971,0.733
