epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9744638401120367,1.9977,18.51,0.721,0.089,1.9687,26.21,0.694,0.114
1,0.969902234585909,0.9825,66.54,0.942,0.657,1.7209,46.27,0.856,0.457
2,0.4522124353435732,0.8904,72.79,0.961,0.73,0.9733,66.92,0.95,0.628
3,0.3325438306643544,0.9434,69.44,0.979,0.629,2.1101,51.63,0.902,0.496
4,0.25351083651185036,0.294,90.29,0.994,0.897,0.8591,73.82,0.952,0.661
5,0.21741886999070859,0.3194,88.76,0.996,0.892,0.4832,81.56,0.985,0.771
6,0.19925183165938623,0.3466,88.29,0.992,0.883,0.8464,75.38,0.951,0.684
7,0.18237163629182565,0.3007,89.8,0.993,0.899,0.5041,81.38,0.977,0.754
8,0.1692181600918693,0.1447,95.21,0.998,0.952,0.3656,86.59,0.985,0.816
9,0.1630588192559485,0.3098,89.59,0.995,0.895,0.7725,75.15,0.944,0.691
10,0.15364774404006834,0.1944,93.6,0.997,0.934,0.7376,81.71,0.933,0.761
11,0.1518542029924931,0.1712,94.43,0.998,0.944,0.469,85.44,0.976,0.835
12,0.1394801522508317,0.363,87.99,0.991,0.879,0.8327,71.04,0.952,0.668
13,0.13470761806413692,0.204,93.38,0.997,0.931,0.6085,78.57,0.973,0.74
14,0.1321966008793923,0.249,91.7,0.996,0.912,0.5206,82.99,0.969,0.791
15,0.1307542862130269,0.3644,90.13,0.994,0.906,0.637,83.88,0.967,0.776
16,0.12495353197725656,0.1363,95.63,0.998,0.955,0.4029,86.97,0.988,0.823
17,0.12055551321462704,0.2747,90.44,0.996,0.904,0.7014,78.95,0.974,0.741
18,0.11720448087794058,0.3234,90.0,0.995,0.901,1.2639,67.65,0.95,0.622
19,0.1163589115618431,0.143,95.2,0.998,0.952,0.6124,82.2,0.962,0.769
20,0.11150361033403532,0.1479,95.44,0.998,0.954,0.5828,80.4,0.967,0.763
21,0.10929024506754186,0.1257,95.9,0.998,0.96,0.5919,86.22,0.952,0.813
22,0.10327896800252699,0.1529,95.06,0.998,0.95,0.649,79.9,0.969,0.736
23,0.10329914846087015,0.1097,96.43,0.999,0.964,0.3405,88.69,0.989,0.844
24,0.0988083704438154,0.0809,97.51,0.999,0.975,0.5662,84.4,0.962,0.8
25,0.09452698085670723,0.107,96.51,0.999,0.965,0.4382,89.48,0.972,0.852
26,0.09100141938722368,0.1052,96.69,0.999,0.967,0.504,85.76,0.981,0.822
27,0.08745031725902337,0.0943,96.85,0.999,0.968,0.3022,89.74,0.99,0.849
28,0.08624815199637659,0.0718,97.8,0.999,0.978,0.6474,82.13,0.955,0.764
29,0.08122676943251897,0.0667,97.86,0.999,0.978,0.4825,84.67,0.98,0.813
30,0.07899944329847945,0.0694,97.74,0.999,0.977,0.4321,85.6,0.987,0.813
31,0.07608077362493536,0.1405,95.38,0.999,0.954,0.6361,79.87,0.982,0.762
32,0.07234866720854595,0.0796,97.37,0.999,0.973,0.3755,88.69,0.989,0.856
33,0.07087257803554603,0.0557,98.26,1.0,0.983,0.5205,89.12,0.962,0.855
34,0.06436721666959719,0.0615,98.09,1.0,0.981,0.5377,88.54,0.963,0.833
35,0.061955731707595045,0.055,98.2,1.0,0.982,0.258,90.53,0.993,0.871
36,0.05839152094377305,0.057,98.2,1.0,0.981,0.5877,84.7,0.961,0.811
37,0.05898355684613669,0.0459,98.45,1.0,0.985,0.3409,90.43,0.987,0.871
38,0.05397212169697261,0.0521,98.3,1.0,0.983,0.4324,88.41,0.984,0.843
39,0.05131860049174411,0.0496,98.44,1.0,0.984,0.4704,89.01,0.979,0.853
40,0.04971803663345221,0.0373,98.88,1.0,0.989,0.4592,88.82,0.976,0.849
41,0.048619620727315065,0.0386,98.79,1.0,0.988,0.4862,89.55,0.977,0.852
42,0.045172938639732034,0.0342,98.99,1.0,0.99,0.5042,89.36,0.968,0.856
43,0.04357266036032509,0.0336,98.89,1.0,0.989,0.5431,86.75,0.969,0.826
44,0.04204048603559481,0.0338,98.94,1.0,0.989,0.5067,88.68,0.973,0.848
45,0.04108705741977553,0.0322,98.99,1.0,0.99,0.4613,89.18,0.978,0.849
46,0.04045419853454369,0.0318,99.0,1.0,0.99,0.5216,88.66,0.969,0.843
47,0.038025943128438836,0.0312,99.03,1.0,0.99,0.5191,88.58,0.971,0.843
48,0.03876129273445376,0.0311,98.99,1.0,0.99,0.5103,88.77,0.971,0.844
49,0.03840367245991918,0.0311,99.02,1.0,0.99,0.5025,88.88,0.972,0.846
