epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0640804605244734,2.0703,16.01,0.596,0.034,2.0734,19.47,0.545,0.041
1,1.4783211520282171,1.547,50.16,0.87,0.454,1.6586,51.71,0.852,0.446
2,0.9311601758857782,0.6299,77.32,0.969,0.776,0.7211,74.4,0.959,0.707
3,0.7287344472169022,0.7068,74.28,0.97,0.749,0.745,71.53,0.951,0.664
4,0.5993016955032143,0.5524,80.03,0.982,0.799,0.7634,70.44,0.968,0.635
5,0.5387926405582804,0.4516,83.99,0.984,0.839,0.5686,79.06,0.97,0.744
6,0.4991201270758892,0.5547,79.68,0.976,0.795,0.9155,65.47,0.94,0.596
7,0.46263248321189676,0.3591,87.8,0.989,0.88,0.5306,79.96,0.973,0.746
8,0.44427369283946183,0.3212,89.09,0.991,0.891,0.4949,80.55,0.973,0.758
9,0.4220479118193777,0.4585,83.57,0.984,0.837,0.5636,78.08,0.974,0.72
10,0.40875506232823094,0.8004,73.74,0.972,0.724,0.7585,71.48,0.967,0.648
11,0.3972188113090385,0.3311,88.55,0.99,0.881,0.6023,77.56,0.971,0.738
12,0.383330953270731,0.2862,90.34,0.993,0.901,0.4807,81.11,0.976,0.77
13,0.3780519858429936,0.6982,79.42,0.991,0.775,1.0686,74.02,0.959,0.645
14,0.36316094713078606,0.6493,77.42,0.987,0.752,1.2603,55.85,0.947,0.553
15,0.35626139278159774,0.3359,87.68,0.992,0.879,0.6089,77.14,0.976,0.725
16,0.34047756247943445,0.4815,83.75,0.987,0.846,0.9919,68.07,0.956,0.653
17,0.33567268553600516,0.3462,88.45,0.993,0.888,0.5451,80.94,0.978,0.758
18,0.3316547938465645,0.2462,91.82,0.995,0.919,0.3849,85.43,0.984,0.818
19,0.32195372185185817,0.2037,93.28,0.996,0.933,0.4639,82.99,0.983,0.799
20,0.3145125478666316,0.3147,89.42,0.994,0.892,0.705,74.25,0.972,0.722
21,0.31059817729457734,0.2769,90.34,0.995,0.906,0.5078,82.57,0.985,0.788
22,0.30079237574638007,0.2978,89.63,0.994,0.897,0.5799,79.85,0.97,0.761
23,0.29570341935401323,0.2428,91.65,0.995,0.917,0.5133,80.44,0.979,0.764
24,0.28446668584073315,0.1717,94.35,0.997,0.943,0.432,84.95,0.982,0.826
25,0.28311314730234044,0.2196,92.41,0.996,0.923,0.6872,76.93,0.973,0.733
26,0.2773772506944595,0.256,91.0,0.995,0.91,0.5514,81.35,0.975,0.787
27,0.2665114140264877,0.2241,92.46,0.996,0.925,0.6126,81.02,0.974,0.782
28,0.2613951675326807,0.2675,90.54,0.996,0.906,0.6728,78.07,0.975,0.733
29,0.2531851482807949,0.2402,92.11,0.996,0.923,0.7319,77.34,0.962,0.755
30,0.25009817756899366,0.1509,95.03,0.998,0.95,0.4134,85.95,0.986,0.826
31,0.24307115468126472,0.1744,94.08,0.997,0.941,0.3469,87.27,0.989,0.843
32,0.239971115944847,0.1635,94.55,0.997,0.945,0.3428,87.94,0.989,0.848
33,0.23184638308848532,0.1722,94.38,0.997,0.944,0.44,85.19,0.986,0.815
34,0.22375893527408228,0.1545,94.78,0.998,0.947,0.5475,82.98,0.978,0.801
35,0.21981400200649828,0.1344,95.63,0.998,0.956,0.3959,87.89,0.988,0.854
36,0.212854720451819,0.1507,94.87,0.998,0.949,0.5827,81.95,0.978,0.793
37,0.20573408741463897,0.2078,92.42,0.997,0.919,0.424,85.8,0.986,0.828
38,0.20281529138165136,0.1358,95.55,0.998,0.956,0.4184,86.55,0.985,0.841
39,0.1946776323821596,0.1249,95.75,0.998,0.958,0.5217,82.49,0.98,0.794
40,0.1938020996749401,0.1049,96.52,0.999,0.965,0.2711,90.7,0.991,0.883
41,0.18918698040708418,0.1067,96.39,0.999,0.964,0.3313,88.73,0.989,0.86
42,0.18336996566303956,0.122,95.88,0.998,0.959,0.4238,85.09,0.984,0.819
43,0.1787897797041042,0.1101,96.37,0.999,0.964,0.4334,85.32,0.983,0.828
44,0.17828334602243584,0.1093,96.37,0.999,0.964,0.4154,86.45,0.984,0.838
45,0.1750012269330388,0.1092,96.44,0.999,0.965,0.3853,87.16,0.987,0.845
46,0.17050172046734868,0.1002,96.67,0.999,0.967,0.3745,87.21,0.987,0.845
47,0.17016510850346003,0.1008,96.59,0.999,0.966,0.3848,87.05,0.986,0.841
48,0.1669953411651982,0.1014,96.65,0.999,0.967,0.3823,87.16,0.986,0.844
49,0.16697265477483844,0.099,96.75,0.999,0.968,0.3735,87.29,0.987,0.845
