epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.063055963123847,2.0704,16.01,0.654,0.034,2.0721,19.61,0.629,0.041
1,1.4759579231572706,2.3995,41.29,0.823,0.368,2.3574,40.18,0.811,0.351
2,0.9047713888565841,0.8257,71.28,0.951,0.708,1.0586,66.76,0.937,0.608
3,0.70218704467596,0.523,80.98,0.978,0.807,0.593,77.92,0.971,0.719
4,0.5791499560868804,0.4508,83.44,0.984,0.834,0.619,76.81,0.971,0.726
5,0.5121825938787784,0.4328,85.13,0.985,0.849,0.5217,79.85,0.974,0.769
6,0.48069088526190074,0.3152,88.95,0.991,0.89,0.5998,76.2,0.973,0.725
7,0.4373008490195215,0.3118,89.29,0.991,0.892,0.4511,84.11,0.975,0.798
8,0.41595371856565766,0.3319,88.89,0.99,0.889,0.5051,80.5,0.975,0.762
9,0.3999922620482436,0.3793,86.06,0.988,0.862,0.5957,78.07,0.969,0.734
10,0.3866429184171936,0.3465,88.24,0.989,0.879,0.634,76.8,0.964,0.736
11,0.36661503715890464,0.3418,87.94,0.993,0.883,0.7091,76.23,0.965,0.729
12,0.35622029193078897,0.1899,93.92,0.996,0.939,0.3915,86.73,0.983,0.838
13,0.34929191764970585,0.2454,91.69,0.994,0.916,0.3654,86.77,0.986,0.83
14,0.3408705871518908,0.3312,88.25,0.994,0.883,0.5423,80.71,0.981,0.754
15,0.32414620709547204,0.2643,90.98,0.995,0.912,0.6323,77.99,0.97,0.71
16,0.3176581683653625,0.2495,91.91,0.995,0.92,0.5773,80.31,0.976,0.764
17,0.3076929664089343,0.2598,91.31,0.994,0.909,0.5442,81.19,0.983,0.789
18,0.3055529209230368,0.3408,87.84,0.994,0.872,0.7753,74.45,0.979,0.749
19,0.2958294042987559,0.1717,94.32,0.997,0.943,0.5443,82.36,0.976,0.798
20,0.2912664815436962,0.2692,90.98,0.995,0.906,0.5086,82.77,0.983,0.804
21,0.28080990098829983,0.35,87.96,0.995,0.87,0.7671,75.3,0.979,0.743
22,0.2821943050580289,0.2792,90.3,0.996,0.902,0.473,84.57,0.983,0.797
23,0.2687042228384393,0.2561,92.08,0.995,0.92,0.4764,84.47,0.986,0.807
24,0.2658967063737257,0.2945,90.58,0.992,0.904,0.9086,71.34,0.957,0.677
25,0.2558872064772147,0.2395,91.89,0.995,0.92,0.5416,82.74,0.976,0.781
26,0.25289761267055977,0.1633,94.52,0.998,0.943,0.3721,87.89,0.987,0.847
27,0.24376899085285839,0.1573,94.94,0.998,0.949,0.4618,85.06,0.985,0.818
28,0.2444774977636252,0.1671,94.62,0.998,0.947,0.6041,83.83,0.969,0.803
29,0.23292989203829673,0.1736,94.4,0.997,0.944,0.5955,81.42,0.976,0.773
30,0.22907524189390308,0.1588,94.89,0.998,0.949,0.5172,83.12,0.98,0.781
31,0.2244591636713161,0.1562,94.78,0.998,0.948,0.5347,82.68,0.975,0.796
32,0.21670375545784057,0.1403,95.54,0.998,0.956,0.478,85.25,0.981,0.814
33,0.20850666922938632,0.1339,95.9,0.998,0.958,0.4727,86.33,0.984,0.83
34,0.20723098335197873,0.1085,96.47,0.999,0.963,0.3367,88.51,0.989,0.852
35,0.19990518458574105,0.1199,96.0,0.999,0.96,0.5008,83.95,0.98,0.804
36,0.19493811994071297,0.0961,96.95,0.999,0.969,0.4079,87.94,0.984,0.854
37,0.19025739720874268,0.0933,97.04,0.999,0.97,0.4134,87.34,0.986,0.843
38,0.1810054320688751,0.0869,97.11,0.999,0.971,0.3496,88.54,0.988,0.852
39,0.1780620606179634,0.0988,96.76,0.999,0.968,0.585,84.36,0.978,0.827
40,0.1765708482502718,0.0771,97.56,0.999,0.975,0.419,86.33,0.983,0.832
41,0.1686703596857238,0.0848,97.42,0.999,0.973,0.3354,89.04,0.989,0.862
42,0.1654638276503743,0.0794,97.58,0.999,0.975,0.3343,88.92,0.989,0.857
43,0.1616286267334852,0.0785,97.38,0.999,0.973,0.354,87.88,0.989,0.846
44,0.15844558455942995,0.07,97.65,0.999,0.976,0.3361,89.19,0.989,0.863
45,0.15122503958215974,0.0731,97.6,0.999,0.975,0.3949,87.3,0.987,0.845
46,0.15239827910001674,0.0695,97.81,0.999,0.978,0.3778,87.94,0.987,0.85
47,0.1524872209656857,0.0693,97.77,0.999,0.977,0.3737,88.15,0.987,0.852
48,0.14880816488525095,0.0704,97.74,0.999,0.977,0.3799,87.61,0.987,0.847
49,0.15085757872312994,0.0696,97.75,0.999,0.977,0.3745,87.78,0.987,0.849
