epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.071563693357625,2.0689,16.01,0.627,0.034,2.0819,19.47,0.614,0.041
1,1.5014457657773008,1.7501,43.88,0.809,0.413,1.7332,47.62,0.817,0.404
2,0.9491115648259398,1.4204,53.86,0.901,0.506,1.6742,56.62,0.879,0.491
3,0.7399095520110113,0.611,78.29,0.972,0.79,0.8684,70.06,0.95,0.663
4,0.6062421847308408,0.677,75.24,0.971,0.758,1.0004,64.79,0.939,0.583
5,0.5370459498897675,0.5139,82.02,0.979,0.815,0.5649,78.13,0.975,0.724
6,0.49535978689629545,0.8663,67.98,0.952,0.686,0.9732,65.83,0.935,0.596
7,0.4639810871159304,0.4506,83.65,0.986,0.838,0.487,82.84,0.975,0.775
8,0.43946839046520997,0.3744,86.7,0.988,0.868,0.4179,83.23,0.98,0.782
9,0.4109817772409395,0.574,79.26,0.984,0.802,1.0617,63.73,0.946,0.595
10,0.3997684616234995,0.2563,91.7,0.993,0.917,0.4194,84.43,0.98,0.809
11,0.38283705957046976,0.3012,90.13,0.992,0.901,0.4895,82.33,0.98,0.782
12,0.3705404968298037,0.4329,85.45,0.985,0.849,0.9288,72.11,0.947,0.67
13,0.3550376665100829,0.246,91.42,0.995,0.914,0.4766,83.23,0.978,0.807
14,0.34243759406082946,0.4291,85.89,0.984,0.865,0.5537,80.96,0.964,0.742
15,0.33959933498533823,0.3216,89.33,0.991,0.892,0.6674,77.94,0.969,0.729
16,0.32698894465696,0.2767,90.22,0.995,0.902,0.4592,81.08,0.981,0.75
17,0.320069743554011,0.2147,93.22,0.996,0.933,0.4015,85.82,0.985,0.809
18,0.31316616778732626,0.3641,87.01,0.991,0.87,0.4167,86.31,0.98,0.821
19,0.3129135485351299,0.2248,92.8,0.995,0.928,0.3719,86.01,0.986,0.828
20,0.30666197876455964,0.256,90.61,0.996,0.904,0.4502,84.35,0.98,0.786
21,0.30062311314927637,0.2378,91.99,0.995,0.921,0.4989,82.58,0.975,0.764
22,0.2893903703565666,0.2364,92.08,0.995,0.922,0.6402,78.51,0.959,0.718
23,0.2836299763999105,0.19,93.73,0.996,0.936,0.3647,86.75,0.984,0.819
24,0.27295758412303034,0.2292,92.17,0.996,0.919,0.3962,84.59,0.982,0.817
25,0.27178708321037687,0.2527,91.35,0.995,0.907,0.5057,81.78,0.978,0.772
26,0.25941073843762014,0.1767,94.28,0.997,0.943,0.5332,81.92,0.973,0.77
27,0.2541162488601541,0.2233,92.14,0.997,0.921,0.3769,85.98,0.988,0.816
28,0.2535442936377713,0.1704,94.47,0.997,0.945,0.3452,87.35,0.984,0.844
29,0.24488819658916483,0.1838,93.91,0.997,0.939,0.4321,85.71,0.982,0.83
30,0.2371147663656315,0.1369,95.66,0.998,0.957,0.3392,89.12,0.986,0.855
31,0.23786183481361703,0.1534,94.6,0.998,0.946,0.3256,88.8,0.989,0.854
32,0.22588350318078498,0.1222,96.07,0.998,0.961,0.3042,88.87,0.987,0.856
33,0.22202474778805156,0.1203,96.21,0.998,0.962,0.3487,87.16,0.985,0.839
34,0.21344078860936627,0.1082,96.63,0.999,0.966,0.2914,88.8,0.989,0.848
35,0.2100858813866065,0.1231,96.0,0.998,0.959,0.2597,90.9,0.99,0.878
36,0.20485486098194636,0.1256,95.88,0.998,0.958,0.305,89.39,0.989,0.866
37,0.20010183050587613,0.1295,95.71,0.998,0.956,0.3859,86.5,0.986,0.83
38,0.19470944985960975,0.1218,96.06,0.999,0.96,0.4239,86.48,0.983,0.835
39,0.18471316528576676,0.1005,96.76,0.999,0.968,0.308,88.8,0.988,0.854
40,0.18301852889973202,0.1047,96.57,0.999,0.966,0.2934,89.39,0.989,0.855
41,0.1787869842142187,0.0947,97.07,0.999,0.971,0.3089,89.39,0.988,0.865
42,0.17239184483324968,0.0918,97.11,0.999,0.971,0.3049,89.31,0.988,0.864
43,0.1648980395928506,0.0942,97.03,0.999,0.97,0.3095,89.09,0.988,0.861
44,0.16393615481674031,0.0862,97.33,0.999,0.973,0.3049,89.93,0.988,0.873
45,0.16191511692005248,0.0899,97.22,0.999,0.972,0.3426,88.6,0.986,0.859
46,0.1599399950422053,0.0874,97.36,0.999,0.973,0.2876,89.82,0.989,0.869
47,0.15962885556522236,0.0851,97.4,0.999,0.974,0.2929,89.59,0.989,0.865
48,0.15781915975621097,0.0838,97.39,0.999,0.974,0.2899,90.04,0.989,0.872
49,0.15644973425001013,0.0837,97.42,0.999,0.974,0.2877,90.15,0.989,0.874
