epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9865418725970825,2.0452,24.38,0.708,0.12,2.0329,29.91,0.68,0.139
1,1.1105339003720165,0.8845,66.2,0.957,0.64,0.994,66.43,0.926,0.618
2,0.508843322888711,0.541,81.88,0.979,0.804,0.9987,70.68,0.955,0.655
3,0.3604685572046106,0.5193,82.87,0.983,0.826,0.8897,69.05,0.95,0.62
4,0.271756995028706,0.4209,86.14,0.99,0.863,0.9336,69.48,0.925,0.637
5,0.22803072516529363,0.2634,91.65,0.994,0.915,0.5488,82.05,0.985,0.778
6,0.20984655826963405,0.7403,77.89,0.976,0.769,1.2615,64.42,0.944,0.579
7,0.1895795890921226,0.1532,94.93,0.998,0.949,0.3678,87.34,0.986,0.819
8,0.18155229214485402,0.2941,90.3,0.995,0.905,0.6166,79.05,0.974,0.756
9,0.17413514160207308,0.2215,92.57,0.996,0.925,0.3964,86.96,0.987,0.807
10,0.16464142783755256,0.173,94.98,0.997,0.95,0.3217,88.98,0.989,0.865
11,0.15582543034707347,0.1403,95.64,0.998,0.956,0.355,86.93,0.989,0.839
12,0.15293526494588475,0.121,96.28,0.998,0.962,0.3416,87.86,0.986,0.853
13,0.14416503189899374,0.2448,91.53,0.997,0.911,0.465,84.57,0.985,0.816
14,0.1371798020884341,0.1287,95.91,0.998,0.958,0.4547,86.1,0.982,0.84
15,0.13633460267764053,0.3662,90.61,0.993,0.911,0.6864,78.24,0.972,0.77
16,0.13160381505539553,0.161,94.71,0.998,0.945,0.2366,92.34,0.995,0.903
17,0.1286895896531775,0.2137,92.69,0.998,0.929,0.4533,86.04,0.984,0.842
18,0.1249431180450598,0.1696,94.46,0.998,0.944,0.438,85.71,0.983,0.822
19,0.12033698604672506,0.1479,95.11,0.998,0.951,0.6493,80.7,0.984,0.766
20,0.11526972797488974,0.123,95.88,0.999,0.958,0.3988,86.86,0.986,0.843
21,0.11179340989946464,0.1193,96.04,0.998,0.96,0.5216,83.25,0.978,0.803
22,0.11026283718084776,0.1348,95.49,0.999,0.955,0.3361,87.64,0.988,0.85
23,0.10567850483694918,0.1678,94.32,0.998,0.942,0.3369,89.77,0.988,0.867
24,0.1022172976004821,0.0884,97.18,0.999,0.971,0.4945,83.12,0.983,0.801
25,0.10024571684472877,0.1712,94.91,0.998,0.948,0.2788,91.2,0.991,0.883
26,0.09442177929958882,0.122,96.05,0.999,0.96,0.4109,86.89,0.988,0.84
27,0.09459342201670973,0.0825,97.47,0.999,0.974,0.2783,89.97,0.99,0.857
28,0.08986590821362739,0.0941,97.0,0.999,0.969,0.3905,86.85,0.985,0.818
29,0.0840537647940352,0.0616,98.07,1.0,0.98,0.3439,88.68,0.986,0.864
30,0.08155948116267134,0.098,96.65,0.999,0.967,0.3921,86.58,0.987,0.838
31,0.08015752037132566,0.0656,97.96,0.999,0.979,0.2016,93.19,0.995,0.909
32,0.0766257901398939,0.0971,96.66,0.999,0.966,0.2716,90.67,0.995,0.893
33,0.07498451846227798,0.0758,97.53,0.999,0.975,0.2252,92.14,0.995,0.913
34,0.07053084286617442,0.0498,98.46,1.0,0.984,0.2602,91.3,0.995,0.885
35,0.06831725496017645,0.0521,98.31,1.0,0.983,0.2145,92.69,0.994,0.905
36,0.06343427993437295,0.0533,98.27,1.0,0.982,0.3373,88.73,0.991,0.852
37,0.06166738065086492,0.045,98.54,1.0,0.985,0.2602,91.8,0.993,0.89
38,0.05849938229307212,0.0524,98.36,1.0,0.983,0.2561,92.2,0.992,0.903
39,0.05732201417327248,0.0442,98.61,1.0,0.986,0.2552,91.49,0.993,0.874
40,0.054319036178170674,0.0428,98.75,1.0,0.987,0.2401,92.39,0.994,0.896
41,0.052650967893260785,0.0404,98.69,1.0,0.987,0.3091,90.81,0.993,0.875
42,0.049171684288142725,0.0356,98.9,1.0,0.989,0.2262,93.49,0.994,0.915
43,0.046990187481499704,0.0351,98.94,1.0,0.989,0.2501,92.91,0.993,0.909
44,0.04421332174758544,0.0335,99.04,1.0,0.99,0.2281,93.7,0.993,0.917
45,0.04507641600758692,0.0329,99.07,1.0,0.991,0.228,93.68,0.994,0.918
46,0.04436445230030618,0.0316,99.03,1.0,0.99,0.2102,93.86,0.995,0.919
47,0.04233447797796739,0.0314,99.07,1.0,0.991,0.2147,93.81,0.994,0.918
48,0.043446111200731184,0.031,99.08,1.0,0.991,0.2204,93.6,0.994,0.916
49,0.04125894712597986,0.0312,99.08,1.0,0.991,0.2176,93.62,0.994,0.916
