epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9716930261222265,2.0427,15.99,0.716,0.069,2.029,27.38,0.684,0.107
1,0.9618844123403658,0.7441,74.59,0.974,0.742,1.0508,64.74,0.926,0.592
2,0.44014866615388554,0.3856,87.2,0.988,0.87,0.8351,71.67,0.932,0.668
3,0.3312540490407243,0.3323,88.58,0.991,0.878,1.2149,66.48,0.902,0.637
4,0.25211732373923385,0.4028,86.85,0.991,0.873,1.2342,59.2,0.936,0.569
5,0.21370146398208903,0.2238,92.98,0.996,0.931,0.4495,84.07,0.976,0.787
6,0.20015241782511434,0.2045,93.31,0.997,0.933,0.904,74.62,0.945,0.717
7,0.18249684178327147,0.3702,85.8,0.995,0.836,0.8618,67.72,0.977,0.674
8,0.17335965880943882,0.1927,93.78,0.997,0.938,0.6671,79.82,0.959,0.722
9,0.16525893189066412,0.6959,78.51,0.987,0.759,0.8309,70.93,0.969,0.64
10,0.15481906918321459,0.2136,93.11,0.996,0.929,0.482,83.96,0.974,0.793
11,0.1505118115608143,0.1447,95.47,0.998,0.954,0.3008,88.73,0.992,0.843
12,0.14433800446463743,0.1991,93.74,0.996,0.936,0.963,74.77,0.941,0.701
13,0.13806088144580522,0.2298,92.28,0.997,0.923,0.6227,79.52,0.981,0.746
14,0.13130198547943733,0.1372,95.57,0.998,0.956,0.3729,86.4,0.988,0.83
15,0.13036380869112776,0.145,95.36,0.998,0.954,0.5118,82.87,0.979,0.782
16,0.12814681256009686,0.2803,90.81,0.995,0.907,0.6525,77.33,0.983,0.76
17,0.12251537948125793,0.1928,93.62,0.996,0.938,0.4692,85.96,0.972,0.806
18,0.11983213181470564,0.2512,91.91,0.995,0.916,0.4922,84.7,0.978,0.787
19,0.11716586317680108,0.1357,95.5,0.999,0.954,0.5765,81.29,0.978,0.788
20,0.11041355952553744,0.1495,95.28,0.998,0.952,0.6039,82.05,0.97,0.768
21,0.10813491611230758,0.096,96.92,0.999,0.969,0.2959,89.14,0.99,0.845
22,0.10607867485987137,0.1273,96.13,0.999,0.961,0.6707,80.63,0.966,0.765
23,0.10148452514094905,0.1142,96.25,0.999,0.961,0.479,81.83,0.981,0.766
24,0.09687452253261347,0.0978,96.96,0.999,0.969,0.3315,88.24,0.992,0.853
25,0.09348486120876018,0.16,94.6,0.997,0.946,0.3577,89.72,0.983,0.851
26,0.09062055002657636,0.0853,97.31,0.999,0.972,0.5172,84.46,0.978,0.806
27,0.08805526133566614,0.1075,96.35,0.999,0.963,0.3569,88.49,0.992,0.855
28,0.08505282965805849,0.1286,95.58,0.999,0.957,0.5815,84.37,0.972,0.788
29,0.07896080891364739,0.0655,97.99,0.999,0.98,0.3837,88.58,0.984,0.833
30,0.07696664557662061,0.0704,97.79,0.999,0.978,0.3082,89.66,0.989,0.842
31,0.07487899714773755,0.0788,97.44,0.999,0.975,0.3304,89.07,0.988,0.84
32,0.07170508486489134,0.0672,97.9,0.999,0.979,0.3684,90.24,0.986,0.861
33,0.06840803398413577,0.0751,97.57,1.0,0.975,0.4828,84.24,0.982,0.805
34,0.06420667712680167,0.0617,98.09,1.0,0.981,0.2606,91.57,0.993,0.881
35,0.06374652997346922,0.0508,98.42,1.0,0.984,0.2854,91.69,0.993,0.88
36,0.058545990848720184,0.065,97.86,1.0,0.979,0.3552,89.7,0.991,0.858
37,0.05835107163656303,0.0499,98.34,1.0,0.983,0.4348,89.83,0.984,0.857
38,0.05360195308750142,0.0584,98.15,1.0,0.981,0.3536,91.5,0.989,0.873
39,0.050819321305200615,0.0522,98.38,1.0,0.984,0.3769,90.73,0.99,0.869
40,0.04959444721533139,0.042,98.64,1.0,0.986,0.3702,90.98,0.986,0.867
41,0.047234464530235554,0.0405,98.77,1.0,0.987,0.4233,89.23,0.986,0.85
42,0.04529666193964554,0.0397,98.79,1.0,0.988,0.4024,89.97,0.987,0.858
43,0.04354024390893651,0.0369,98.92,1.0,0.989,0.3405,91.55,0.99,0.876
44,0.042683095430895206,0.0357,98.95,1.0,0.989,0.3166,91.0,0.992,0.875
45,0.04132652632711876,0.0355,98.95,1.0,0.989,0.3482,90.84,0.99,0.869
46,0.04031073552219191,0.0337,99.01,1.0,0.99,0.3671,90.89,0.989,0.868
47,0.03818717761145484,0.0335,99.0,1.0,0.99,0.3809,90.59,0.989,0.865
48,0.03898314445022507,0.0332,99.07,1.0,0.99,0.3617,91.06,0.99,0.871
49,0.03901532493651875,0.0333,99.07,1.0,0.991,0.3672,91.02,0.989,0.871
