epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.064486589055762,2.07,16.01,0.595,0.034,2.0724,19.47,0.54,0.041
1,1.5094266249714787,2.036,40.81,0.792,0.362,2.0853,45.16,0.83,0.358
2,0.9366192198141501,0.6103,77.63,0.972,0.771,0.6456,76.35,0.966,0.732
3,0.6867110707853857,0.7215,73.64,0.961,0.737,1.0121,63.41,0.934,0.625
4,0.5561496752137352,0.4255,84.65,0.988,0.85,0.6302,77.55,0.97,0.706
5,0.4915983585046611,0.4508,84.14,0.989,0.842,0.6416,76.95,0.97,0.711
6,0.4513284682586629,0.2819,90.85,0.993,0.909,0.558,80.39,0.971,0.756
7,0.42824741434239144,0.2822,90.62,0.993,0.906,0.43,83.07,0.977,0.789
8,0.40653168484835644,0.2295,92.43,0.995,0.925,0.3697,86.82,0.985,0.821
9,0.386800301251232,0.2505,91.08,0.994,0.912,0.4139,84.0,0.982,0.804
10,0.3714525006631369,0.2625,90.94,0.995,0.905,0.6208,75.89,0.981,0.709
11,0.36355509758529697,0.2652,91.1,0.994,0.912,0.4929,81.87,0.978,0.776
12,0.34917460048177335,0.3203,89.6,0.991,0.896,0.5857,78.83,0.969,0.739
13,0.34446402065001935,0.2161,92.42,0.995,0.926,0.4547,83.63,0.977,0.78
14,0.328493421663627,0.2558,91.6,0.995,0.917,0.7159,76.88,0.97,0.725
15,0.31917165665750435,0.2034,93.09,0.997,0.931,0.5016,82.36,0.978,0.784
16,0.30968843264284956,0.2675,91.12,0.996,0.915,0.7532,77.69,0.973,0.738
17,0.30595520680843713,0.2181,92.84,0.996,0.929,0.6379,81.15,0.97,0.776
18,0.2995582115853132,0.3795,86.59,0.993,0.868,0.5629,81.56,0.976,0.752
19,0.2930909668939943,0.1653,94.63,0.997,0.947,0.4413,85.65,0.98,0.822
20,0.28576283653577167,0.1552,94.98,0.998,0.949,0.4464,85.5,0.982,0.816
21,0.2789009651536369,0.2328,92.31,0.997,0.923,0.4764,84.08,0.979,0.789
22,0.27450199516016094,0.171,94.25,0.997,0.943,0.4494,84.97,0.978,0.8
23,0.27306257141587126,0.1382,95.49,0.998,0.955,0.4237,85.52,0.984,0.803
24,0.26148078721483975,0.1788,94.16,0.997,0.941,0.3895,85.35,0.984,0.821
25,0.2583032523592313,0.1326,95.95,0.998,0.959,0.367,87.97,0.987,0.844
26,0.2498919684640182,0.1744,94.21,0.997,0.943,0.6007,82.55,0.969,0.807
27,0.24379072266240273,0.1215,96.1,0.998,0.961,0.2581,90.86,0.991,0.878
28,0.23695192433973794,0.1363,95.5,0.998,0.955,0.4129,85.5,0.985,0.817
29,0.23409997374086397,0.1221,96.14,0.998,0.961,0.4334,87.64,0.979,0.835
30,0.23120969488522486,0.1028,96.75,0.999,0.968,0.279,90.42,0.989,0.873
31,0.22496791740739217,0.1501,95.1,0.998,0.951,0.4163,86.01,0.984,0.819
32,0.220687448657969,0.1029,96.73,0.999,0.967,0.4023,88.08,0.979,0.85
33,0.21311623700577298,0.1234,95.75,0.999,0.958,0.3743,87.43,0.985,0.848
34,0.20712087095104237,0.0916,97.19,0.999,0.972,0.3661,89.52,0.986,0.863
35,0.20289443241011712,0.0991,96.86,0.999,0.969,0.3557,88.6,0.986,0.857
36,0.199281852572195,0.1016,96.67,0.999,0.967,0.3175,89.64,0.988,0.862
37,0.1945175821876227,0.0852,97.28,0.999,0.973,0.3165,89.33,0.988,0.865
38,0.18973519280552864,0.084,97.43,0.999,0.974,0.3042,90.54,0.989,0.878
39,0.18247648527491905,0.086,97.1,0.999,0.971,0.3558,89.69,0.985,0.867
40,0.17911425630785657,0.0825,97.38,0.999,0.974,0.3322,89.55,0.987,0.864
41,0.17496348440807352,0.0754,97.72,0.999,0.977,0.3492,89.78,0.988,0.867
42,0.16928146390985416,0.0707,97.85,0.999,0.979,0.3521,88.95,0.986,0.86
43,0.16563937796353226,0.0704,97.89,0.999,0.979,0.3636,88.76,0.985,0.864
44,0.16236163936822431,0.0693,97.82,0.999,0.978,0.3327,89.93,0.987,0.875
45,0.1613900728296742,0.0657,97.99,0.999,0.98,0.349,89.94,0.987,0.873
46,0.15941084447353543,0.0674,97.97,0.999,0.98,0.3391,90.0,0.987,0.872
47,0.15746995003553488,0.0664,98.02,0.999,0.98,0.3396,90.0,0.987,0.871
48,0.15923008679222034,0.0653,98.03,0.999,0.98,0.3459,89.85,0.986,0.869
49,0.15654729382805926,0.0655,98.03,0.999,0.98,0.3456,89.8,0.987,0.869
