epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0086525815362144,2.0602,24.01,0.719,0.144,2.0529,12.0,0.654,0.05
1,1.1677876628641586,1.0258,60.86,0.944,0.582,1.2948,52.8,0.909,0.499
2,0.5966900441274848,0.3233,89.29,0.991,0.889,0.5459,82.85,0.969,0.763
3,0.4302079264194735,0.3222,89.07,0.992,0.881,0.7707,72.87,0.971,0.67
4,0.3456192292459977,0.3485,88.51,0.993,0.883,0.6003,79.88,0.97,0.749
5,0.3010790699752428,0.2057,93.32,0.996,0.933,0.3792,86.31,0.985,0.823
6,0.2841594915796993,0.2047,93.46,0.996,0.934,0.5266,81.16,0.972,0.771
7,0.26048206312308175,0.2178,91.92,0.997,0.922,0.3902,86.52,0.983,0.818
8,0.25432293496251535,0.293,90.03,0.995,0.902,0.5135,81.38,0.984,0.781
9,0.241521768178457,0.1853,93.72,0.997,0.936,0.3159,88.27,0.992,0.86
10,0.230883591731603,0.1466,95.52,0.998,0.955,0.3874,85.55,0.984,0.815
11,0.22695002933183023,0.1908,93.79,0.997,0.938,0.3987,84.94,0.982,0.786
12,0.21642362628145456,0.6716,81.0,0.974,0.794,0.7181,80.56,0.946,0.738
13,0.21050090950289507,0.2749,90.66,0.994,0.908,0.5389,82.22,0.978,0.77
14,0.20803280345641584,0.1398,95.58,0.998,0.955,0.3889,87.94,0.983,0.854
15,0.19822254471187095,0.1545,95.01,0.998,0.95,0.4919,84.08,0.979,0.81
16,0.19545052411522063,0.1623,94.49,0.998,0.946,0.3118,87.95,0.992,0.84
17,0.18954755407240656,0.1574,95.26,0.997,0.953,0.2958,89.06,0.989,0.864
18,0.1873271924753984,0.1142,96.37,0.999,0.963,0.3264,87.79,0.987,0.831
19,0.17827754513123556,0.1235,95.86,0.999,0.958,0.3156,87.9,0.991,0.856
20,0.17173313045720687,0.124,96.1,0.999,0.961,0.339,87.49,0.987,0.826
21,0.16764920526000548,0.1196,95.99,0.999,0.961,0.3963,85.73,0.984,0.825
22,0.16326148454166656,0.1198,96.3,0.999,0.962,0.2717,90.56,0.994,0.878
23,0.16130689904093742,0.1701,94.39,0.998,0.943,0.4027,85.8,0.988,0.814
24,0.15451433926179844,0.1057,96.58,0.999,0.965,0.3497,88.62,0.987,0.843
25,0.1504184919873446,0.0942,96.97,0.999,0.969,0.3729,87.1,0.99,0.843
26,0.14685226240492422,0.1965,93.67,0.998,0.936,0.5523,84.05,0.984,0.812
27,0.14405380742203805,0.0959,96.98,0.999,0.97,0.3172,88.33,0.99,0.853
28,0.14073236418160273,0.1448,95.24,0.998,0.953,0.3482,86.82,0.986,0.827
29,0.1327746857264777,0.096,96.91,0.999,0.968,0.405,87.16,0.984,0.845
30,0.13236796447346288,0.0989,96.86,0.999,0.969,0.5892,82.11,0.981,0.773
31,0.12783933714646378,0.0881,97.16,0.999,0.971,0.2463,91.02,0.993,0.888
32,0.12347955529087333,0.0719,97.74,0.999,0.977,0.3053,90.64,0.99,0.871
33,0.11855945728492245,0.0776,97.46,0.999,0.975,0.3703,87.45,0.988,0.824
34,0.11274340567195715,0.0778,97.42,0.999,0.974,0.2745,90.54,0.991,0.876
35,0.11145191259788997,0.0723,97.7,0.999,0.977,0.3203,90.49,0.988,0.876
36,0.10495637739778206,0.0678,97.8,0.999,0.978,0.2952,89.77,0.992,0.871
37,0.10253096598544321,0.0784,97.47,0.999,0.975,0.2861,90.1,0.99,0.865
38,0.10017014666223452,0.0658,97.94,0.999,0.979,0.3184,89.88,0.99,0.868
39,0.093842085283984,0.0529,98.31,1.0,0.983,0.2729,90.89,0.991,0.874
40,0.0935540222496088,0.0522,98.39,1.0,0.984,0.2878,91.6,0.99,0.889
41,0.0879003027834559,0.0513,98.47,1.0,0.985,0.3316,89.88,0.99,0.869
42,0.08625295735882281,0.0447,98.62,1.0,0.986,0.2706,91.76,0.991,0.895
43,0.08398625316385407,0.0445,98.66,1.0,0.986,0.2853,91.76,0.991,0.894
44,0.08086175163106252,0.0458,98.54,1.0,0.985,0.2497,92.09,0.992,0.896
45,0.08149594545871768,0.0448,98.54,1.0,0.985,0.2379,92.14,0.993,0.897
46,0.07738831551832324,0.0445,98.58,1.0,0.986,0.2465,91.85,0.993,0.893
47,0.07654598993532974,0.0425,98.66,1.0,0.987,0.2722,91.17,0.992,0.885
48,0.0773664884382732,0.0424,98.66,1.0,0.986,0.2731,91.38,0.992,0.887
49,0.07547799513865543,0.0427,98.65,1.0,0.986,0.271,91.35,0.992,0.887
