epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.064609137914514,2.0699,16.01,0.653,0.034,2.0731,19.47,0.613,0.041
1,1.6134613216136946,2.1208,30.47,0.781,0.243,2.135,33.05,0.763,0.278
2,1.1625965876391284,1.238,59.21,0.918,0.544,1.0435,65.1,0.929,0.547
3,0.9078704955116395,0.7956,71.15,0.958,0.727,0.9573,66.73,0.938,0.647
4,0.7152802800512655,0.5013,82.41,0.983,0.829,0.6221,75.16,0.972,0.709
5,0.6196772004861558,0.4349,83.94,0.985,0.843,0.4521,83.06,0.98,0.789
6,0.5679062367233324,0.4645,82.42,0.982,0.827,0.6062,74.58,0.965,0.677
7,0.5379809605818923,0.318,89.25,0.991,0.892,0.4971,80.8,0.978,0.765
8,0.5259802487802334,0.301,89.43,0.992,0.894,0.3351,87.0,0.984,0.826
9,0.49013162770151664,0.3915,85.64,0.988,0.855,0.461,82.98,0.976,0.785
10,0.4729355849245543,0.3155,88.99,0.992,0.89,0.5795,77.07,0.973,0.711
11,0.4579138040649421,0.2752,90.71,0.994,0.908,0.4154,84.65,0.979,0.81
12,0.4447982784721159,0.3148,88.78,0.992,0.889,0.4291,84.1,0.983,0.793
13,0.4329410445572655,0.3255,88.87,0.992,0.891,0.5548,79.3,0.976,0.756
14,0.419934171448899,0.3523,87.63,0.992,0.88,0.5485,81.37,0.973,0.765
15,0.4107845399702322,0.2214,92.9,0.995,0.928,0.3201,87.68,0.988,0.833
16,0.40460456061213673,0.2113,92.91,0.995,0.93,0.365,86.48,0.988,0.826
17,0.3942285872541875,0.2148,93.12,0.996,0.931,0.4654,83.17,0.977,0.787
18,0.38195059664787784,0.2882,89.79,0.993,0.897,0.4043,85.35,0.982,0.816
19,0.37669220657545177,0.2177,92.85,0.995,0.929,0.4467,83.12,0.983,0.789
20,0.3695469092724571,0.2649,90.79,0.995,0.906,0.6223,77.7,0.976,0.726
21,0.36183972555249394,0.1643,94.68,0.997,0.946,0.3716,87.15,0.986,0.833
22,0.35394848944572566,0.2069,93.28,0.996,0.934,0.5669,81.79,0.968,0.759
23,0.3529039164704661,0.2516,91.27,0.995,0.913,0.4078,84.6,0.98,0.802
24,0.3390413504027124,0.2002,93.2,0.996,0.933,0.3881,86.15,0.982,0.813
25,0.33846719376075224,0.1905,93.69,0.997,0.935,0.475,83.99,0.979,0.807
26,0.3284305838006799,0.1706,94.53,0.997,0.946,0.4789,82.71,0.976,0.781
27,0.320119632641688,0.1861,93.54,0.997,0.935,0.335,88.16,0.985,0.831
28,0.31437719188710694,0.2087,93.39,0.996,0.931,0.7078,77.94,0.97,0.748
29,0.3090912351204503,0.1376,95.66,0.998,0.956,0.3621,87.76,0.985,0.834
30,0.30373708970550994,0.1381,95.47,0.998,0.955,0.3723,88.22,0.984,0.846
31,0.2952403401602126,0.1583,94.59,0.998,0.945,0.3603,86.85,0.986,0.827
32,0.2955701714882287,0.1429,95.39,0.998,0.955,0.4035,87.95,0.98,0.843
33,0.28258218915338584,0.1382,95.36,0.998,0.954,0.2987,88.68,0.988,0.847
34,0.27512929186652213,0.1221,96.07,0.998,0.961,0.3445,90.04,0.986,0.865
35,0.2716897606422397,0.179,93.84,0.997,0.938,0.4216,85.17,0.982,0.808
36,0.26348443126379373,0.1412,95.29,0.998,0.953,0.3543,87.68,0.985,0.833
37,0.25908866750350135,0.1346,95.78,0.998,0.958,0.4247,85.16,0.982,0.816
38,0.2533235422412341,0.113,96.43,0.998,0.964,0.3623,87.78,0.984,0.847
39,0.24867845397429228,0.1066,96.51,0.999,0.965,0.317,89.5,0.986,0.865
40,0.24166251124820828,0.1023,96.8,0.999,0.968,0.424,86.47,0.983,0.831
41,0.23617749750667574,0.1067,96.53,0.999,0.965,0.3769,87.26,0.986,0.84
42,0.23239288186674478,0.0978,97.02,0.999,0.97,0.4389,86.83,0.98,0.835
43,0.22515489155673638,0.0934,97.15,0.999,0.971,0.3668,88.46,0.984,0.857
44,0.22616557569967377,0.0913,97.11,0.999,0.971,0.3927,87.98,0.982,0.851
45,0.22023544606075066,0.0903,97.19,0.999,0.972,0.3568,88.68,0.985,0.857
46,0.2169627004760354,0.0872,97.34,0.999,0.973,0.3671,88.3,0.985,0.85
47,0.2173789243838052,0.0872,97.34,0.999,0.973,0.3793,87.72,0.985,0.845
48,0.21643791540015128,0.0864,97.39,0.999,0.974,0.3784,87.84,0.985,0.846
49,0.21561983552190564,0.0868,97.38,0.999,0.974,0.375,87.84,0.985,0.846
