epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0621429703141625,2.0705,16.01,0.58,0.034,2.0695,19.47,0.514,0.041
1,1.373247497397939,2.2852,33.53,0.785,0.286,2.1624,34.75,0.792,0.251
2,0.7909460039442158,1.2851,62.02,0.947,0.603,0.9494,69.87,0.965,0.601
3,0.5360974381581002,0.5668,79.6,0.978,0.804,0.909,68.28,0.947,0.641
4,0.40714440943412883,0.5579,80.36,0.981,0.803,0.795,71.34,0.953,0.659
5,0.357963705468776,0.4351,84.91,0.985,0.851,0.4799,81.67,0.98,0.773
6,0.3435127642473012,0.5141,82.48,0.982,0.816,0.6479,77.85,0.966,0.718
7,0.32666669214498184,0.2909,90.39,0.992,0.905,0.4807,81.94,0.98,0.777
8,0.3120195706738793,0.3549,87.87,0.992,0.877,0.6185,81.08,0.978,0.766
9,0.2843938647472303,0.3035,89.84,0.994,0.897,0.4748,83.42,0.984,0.799
10,0.2743763898275659,0.2441,91.73,0.995,0.918,0.4519,82.84,0.981,0.786
11,0.2601142917028678,0.337,87.72,0.991,0.877,0.6673,77.31,0.963,0.724
12,0.2528907208566597,0.3232,89.15,0.991,0.889,0.4678,83.29,0.979,0.795
13,0.24484733882023016,0.235,92.02,0.995,0.921,0.444,83.94,0.984,0.789
14,0.2396164803388512,0.204,93.15,0.996,0.932,0.3136,88.6,0.988,0.85
15,0.24592408043829772,0.3839,86.31,0.993,0.848,0.5759,80.37,0.978,0.787
16,0.23314185096051104,0.249,91.51,0.995,0.913,0.3665,86.64,0.987,0.836
17,0.22534991328113824,0.2062,93.24,0.996,0.931,0.389,87.73,0.98,0.838
18,0.2207648118817678,0.2243,92.38,0.995,0.923,0.3352,87.02,0.989,0.832
19,0.21729874014053294,0.2244,92.59,0.996,0.926,0.4463,86.47,0.985,0.809
20,0.2112087269971234,0.2023,93.21,0.997,0.931,0.3459,87.35,0.987,0.852
21,0.20406533119445633,0.1853,94.01,0.996,0.939,0.4037,86.74,0.986,0.83
22,0.20013529932173135,0.1471,95.01,0.998,0.951,0.3231,88.43,0.988,0.843
23,0.19307655506637147,0.1779,94.11,0.997,0.941,0.3205,89.01,0.987,0.848
24,0.18599683567080447,0.1929,93.7,0.998,0.934,0.5039,81.34,0.989,0.8
25,0.18239494223534847,0.1457,95.29,0.998,0.953,0.3468,88.47,0.988,0.857
26,0.1766773343326584,0.1964,93.47,0.996,0.936,0.3627,88.46,0.982,0.839
27,0.17599098719522943,0.1375,95.26,0.998,0.953,0.2516,91.33,0.992,0.883
28,0.16723911306657244,0.1371,95.69,0.998,0.957,0.3442,88.41,0.988,0.852
29,0.16631044966158687,0.1172,96.18,0.999,0.962,0.2885,89.39,0.99,0.848
30,0.15993226313542935,0.1123,96.39,0.999,0.964,0.3282,88.28,0.989,0.839
31,0.15548515466031848,0.127,95.74,0.998,0.958,0.2748,90.4,0.991,0.871
32,0.15257436070444336,0.1164,96.23,0.998,0.962,0.397,87.46,0.986,0.831
33,0.1485012746265819,0.1101,96.57,0.999,0.965,0.3507,87.92,0.99,0.836
34,0.14039378275420503,0.1051,96.51,0.999,0.965,0.2722,90.43,0.992,0.873
35,0.13839780072611507,0.0924,97.16,0.999,0.972,0.3191,89.75,0.988,0.862
36,0.13299892056319448,0.0938,97.07,0.999,0.97,0.2804,90.59,0.992,0.876
37,0.12995570135639986,0.0824,97.46,0.999,0.974,0.304,89.96,0.99,0.863
38,0.12420629606812551,0.0847,97.37,0.999,0.974,0.3261,90.9,0.988,0.882
39,0.12267021195275382,0.0752,97.66,0.999,0.977,0.2964,90.72,0.99,0.882
40,0.1175072756345554,0.0681,97.82,0.999,0.978,0.2599,92.03,0.991,0.894
41,0.11462286676824307,0.0658,98.01,0.999,0.98,0.2902,90.95,0.991,0.877
42,0.1127201097994028,0.0672,97.96,0.999,0.979,0.2792,92.07,0.992,0.9
43,0.10883664056712154,0.0659,97.9,0.999,0.979,0.2632,91.35,0.992,0.885
44,0.10438513054802853,0.062,98.06,1.0,0.981,0.3029,91.05,0.989,0.883
45,0.10315880593827068,0.0634,98.02,0.999,0.98,0.2701,91.35,0.991,0.886
46,0.10397961865576472,0.0614,98.06,1.0,0.98,0.2758,91.6,0.991,0.89
47,0.10148421118176111,0.0607,98.1,1.0,0.981,0.2831,91.41,0.991,0.887
48,0.10099028778933389,0.0598,98.08,1.0,0.981,0.2769,91.65,0.991,0.89
49,0.09847728205731265,0.0599,98.05,1.0,0.98,0.276,91.68,0.991,0.891
