epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0633443880252087,2.0701,16.01,0.642,0.034,2.0713,19.47,0.596,0.041
1,1.3614020163867635,4.7566,29.4,0.702,0.223,4.3106,36.92,0.765,0.257
2,0.746285837343944,2.2063,38.59,0.862,0.36,1.6101,51.48,0.884,0.468
3,0.540105783063451,0.579,79.55,0.981,0.77,0.6753,77.37,0.965,0.707
4,0.4265002051241509,0.3297,88.75,0.991,0.888,0.3146,87.32,0.99,0.836
5,0.3883399698202328,0.4971,82.06,0.983,0.83,0.639,76.69,0.967,0.73
6,0.3433591286822032,0.3139,89.33,0.991,0.893,0.3512,87.32,0.986,0.842
7,0.3241820570388575,0.4221,85.24,0.987,0.846,0.6591,77.72,0.966,0.696
8,0.3083015508335551,0.2978,89.28,0.993,0.893,0.5703,79.09,0.976,0.743
9,0.29216398004989896,0.3154,88.87,0.993,0.887,0.4398,82.95,0.979,0.788
10,0.28085278656907836,0.2304,92.33,0.996,0.923,0.514,81.65,0.979,0.766
11,0.2714001908364262,0.2642,90.66,0.994,0.905,0.3641,86.74,0.983,0.825
12,0.2690283649177107,0.2347,91.7,0.995,0.915,0.3651,87.19,0.984,0.823
13,0.25515163145078124,0.2993,90.5,0.994,0.905,0.5166,82.9,0.979,0.766
14,0.24891067248198293,0.1923,93.56,0.996,0.936,0.3585,87.51,0.986,0.836
15,0.24520489855212121,0.2668,90.9,0.993,0.909,0.5191,82.84,0.976,0.796
16,0.23372337495821352,0.2687,91.28,0.994,0.913,0.6615,77.69,0.971,0.745
17,0.2319512298484216,0.2978,90.09,0.994,0.892,0.6207,80.51,0.969,0.76
18,0.2253207582513064,0.1854,93.92,0.997,0.94,0.3106,87.79,0.989,0.83
19,0.22278807561938052,0.1456,95.36,0.998,0.953,0.4077,86.63,0.984,0.828
20,0.21523983482818876,0.223,92.54,0.996,0.926,0.6795,78.3,0.975,0.74
21,0.21127449193682293,0.1633,94.71,0.997,0.947,0.4194,87.42,0.981,0.841
22,0.205267448832805,0.1552,94.83,0.997,0.948,0.3674,88.03,0.986,0.844
23,0.20096310897059338,0.1331,95.71,0.998,0.958,0.3448,89.42,0.985,0.863
24,0.1963281944046952,0.2291,91.85,0.996,0.917,0.4906,82.76,0.981,0.802
25,0.1890169575837137,0.216,92.78,0.997,0.923,0.5259,82.84,0.984,0.79
26,0.18714130506934232,0.1855,93.83,0.997,0.939,0.4766,85.14,0.976,0.82
27,0.17921709954257933,0.1491,95.38,0.998,0.954,0.3864,87.4,0.984,0.836
28,0.17860387444602974,0.177,94.28,0.998,0.943,0.4121,86.75,0.983,0.831
29,0.1735081747174263,0.1343,95.6,0.998,0.956,0.3983,86.63,0.983,0.832
30,0.1698811787738061,0.1211,96.16,0.998,0.962,0.3067,89.77,0.989,0.87
31,0.1609518769060305,0.1134,96.45,0.999,0.964,0.3144,88.98,0.99,0.853
32,0.16139925617097098,0.1211,96.04,0.999,0.961,0.3687,89.48,0.986,0.862
33,0.1537655019551836,0.1061,96.63,0.999,0.966,0.3728,86.85,0.986,0.824
34,0.14996410051434164,0.1452,95.1,0.998,0.949,0.4553,84.34,0.986,0.805
35,0.14547065022571753,0.1101,96.42,0.999,0.964,0.3558,88.85,0.986,0.861
36,0.1396622964678379,0.1332,95.39,0.998,0.954,0.3325,88.88,0.989,0.854
37,0.1384072511066352,0.0856,97.37,0.999,0.974,0.2917,90.02,0.99,0.873
38,0.13244920077076094,0.0975,96.9,0.999,0.968,0.4569,84.86,0.984,0.821
39,0.12945947919948875,0.0882,97.11,0.999,0.971,0.3424,89.37,0.986,0.865
40,0.1261914085603476,0.0767,97.63,0.999,0.976,0.3239,90.35,0.988,0.875
41,0.12168313395298724,0.0783,97.55,0.999,0.976,0.3279,89.22,0.989,0.859
42,0.11304433585067804,0.0693,97.9,0.999,0.979,0.3586,89.48,0.986,0.866
43,0.11141112805627901,0.0659,97.96,0.999,0.98,0.3411,89.82,0.987,0.871
44,0.11082549970663791,0.064,97.95,0.999,0.98,0.2876,91.13,0.99,0.882
45,0.1068027469873642,0.0648,97.96,0.999,0.98,0.3284,90.29,0.988,0.872
46,0.10624033469860325,0.0648,97.96,0.999,0.98,0.3139,90.53,0.989,0.875
47,0.10658911992478648,0.0628,97.96,0.999,0.98,0.3016,90.79,0.989,0.879
48,0.106182562140581,0.0629,97.95,0.999,0.98,0.3136,90.68,0.989,0.877
49,0.10447217524385474,0.0628,97.98,0.999,0.98,0.309,90.75,0.989,0.878
