epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0692131083498717,2.0692,16.01,0.629,0.034,2.077,19.47,0.589,0.041
1,1.3407849604297282,1.8535,44.79,0.886,0.389,1.6218,52.04,0.888,0.398
2,0.7694572895017576,1.2344,69.35,0.936,0.68,1.0431,71.07,0.951,0.632
3,0.5968483140071233,0.4206,84.83,0.985,0.845,0.6317,75.76,0.967,0.719
4,0.49356782265461474,0.4208,84.71,0.985,0.853,0.539,79.0,0.971,0.733
5,0.44206102779902867,0.4611,83.66,0.983,0.837,0.6299,77.04,0.965,0.754
6,0.4089662486346819,0.433,85.65,0.987,0.859,0.6572,77.51,0.97,0.717
7,0.3774081219161283,0.3465,87.86,0.99,0.879,0.4604,83.55,0.976,0.794
8,0.36019193981924363,0.3544,87.49,0.99,0.877,0.4686,82.91,0.975,0.764
9,0.34353818343852155,0.3431,88.38,0.991,0.884,0.5732,78.16,0.973,0.757
10,0.3328190915633701,0.3158,89.14,0.992,0.888,0.4456,83.04,0.982,0.772
11,0.3198639678378259,0.2486,91.72,0.995,0.918,0.6438,77.15,0.971,0.711
12,0.31351671285099453,0.2667,90.88,0.993,0.908,0.5281,81.6,0.972,0.779
13,0.30093432143063525,0.2215,92.72,0.996,0.929,0.4633,82.06,0.983,0.782
14,0.29201783976888146,0.389,87.24,0.992,0.871,0.9654,76.5,0.956,0.66
15,0.29070502595715625,0.3286,88.76,0.993,0.885,0.4781,82.93,0.979,0.786
16,0.28507586504502963,0.2123,93.0,0.996,0.931,0.4132,85.69,0.987,0.808
17,0.27237197191965196,0.1809,94.29,0.997,0.943,0.3172,89.18,0.985,0.853
18,0.2674503445518487,0.2642,90.71,0.995,0.906,0.3658,86.04,0.982,0.792
19,0.2657153103834412,0.1708,94.4,0.997,0.943,0.3543,86.5,0.985,0.826
20,0.25941051319775615,0.2028,93.17,0.997,0.931,0.3326,87.75,0.987,0.84
21,0.2510418202527749,0.2027,93.09,0.996,0.931,0.3692,86.86,0.985,0.812
22,0.24338322669588108,0.1562,94.99,0.997,0.95,0.3453,89.75,0.986,0.857
23,0.23649646359158674,0.1491,95.29,0.997,0.953,0.3779,86.66,0.983,0.834
24,0.23017769890393408,0.216,92.71,0.996,0.925,0.4031,84.71,0.984,0.813
25,0.22874811128796643,0.1853,94.01,0.997,0.939,0.3382,87.6,0.987,0.842
26,0.22377995668666764,0.1703,94.45,0.997,0.943,0.4785,83.86,0.977,0.797
27,0.21597402562857956,0.2402,91.43,0.996,0.913,0.3153,88.19,0.99,0.831
28,0.21051120033027024,0.1481,95.19,0.998,0.951,0.2711,89.52,0.989,0.858
29,0.20402586536221606,0.1659,94.51,0.998,0.945,0.3038,88.85,0.99,0.847
30,0.19908893384760426,0.1658,94.57,0.997,0.946,0.373,86.2,0.987,0.817
31,0.19418779338666614,0.1635,94.38,0.998,0.943,0.3084,88.66,0.99,0.847
32,0.19015729192337255,0.124,96.01,0.998,0.961,0.3795,88.16,0.986,0.842
33,0.18567674099651288,0.1535,94.94,0.998,0.95,0.3846,86.01,0.985,0.814
34,0.18038762306066825,0.1183,96.2,0.999,0.962,0.3144,88.66,0.989,0.852
35,0.17380293207677033,0.1352,95.38,0.998,0.953,0.3113,89.2,0.99,0.856
36,0.16906581498602385,0.1075,96.44,0.999,0.964,0.335,88.39,0.988,0.851
37,0.16405140543122873,0.1136,96.54,0.998,0.965,0.3849,87.23,0.987,0.842
38,0.1624629924601231,0.1244,96.02,0.998,0.96,0.3521,88.05,0.987,0.841
39,0.15545097576274025,0.0938,96.92,0.999,0.969,0.3003,89.63,0.99,0.866
40,0.14999382867474495,0.1023,96.72,0.999,0.967,0.3514,88.19,0.985,0.848
41,0.14683453429583793,0.0976,96.79,0.999,0.968,0.2637,90.16,0.991,0.866
42,0.1426250822975644,0.0946,96.99,0.999,0.97,0.3257,88.95,0.989,0.86
43,0.13784323520557853,0.09,97.15,0.999,0.971,0.3388,88.38,0.989,0.846
44,0.13641851302236319,0.0801,97.55,0.999,0.975,0.2776,90.18,0.991,0.875
45,0.13500749913301305,0.0805,97.52,0.999,0.975,0.2621,90.4,0.991,0.874
46,0.13206855480068475,0.0805,97.56,0.999,0.975,0.2795,90.05,0.991,0.87
47,0.13192690872190033,0.0825,97.5,0.999,0.975,0.2722,90.19,0.991,0.871
48,0.13084376047575666,0.0791,97.57,0.999,0.976,0.2757,90.24,0.991,0.874
49,0.12972172453171676,0.0789,97.56,0.999,0.975,0.274,90.27,0.991,0.874
