epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.0688304285849295,2.0695,16.01,0.612,0.034,2.0764,19.47,0.559,0.041
1,1.382429651782504,3.2148,44.13,0.831,0.375,3.0937,44.91,0.813,0.365
2,0.8242385244818144,0.7436,74.01,0.964,0.73,0.7431,75.05,0.964,0.688
3,0.6285667793297853,0.5457,79.26,0.978,0.792,0.7712,72.68,0.962,0.68
4,0.5040281377866277,1.8608,52.58,0.892,0.527,1.693,51.19,0.867,0.438
5,0.4554310153942809,0.464,83.28,0.984,0.83,0.6238,76.11,0.968,0.731
6,0.41727708520427825,0.2736,90.67,0.993,0.906,0.3719,85.93,0.981,0.818
7,0.3844137342653394,0.3814,87.17,0.989,0.874,0.4804,81.89,0.982,0.762
8,0.36891645112986204,0.3366,89.07,0.992,0.888,0.4418,82.09,0.977,0.782
9,0.3483680200939965,0.3053,89.97,0.992,0.895,0.506,81.1,0.98,0.789
10,0.33389254467141244,0.2748,90.55,0.993,0.905,0.441,82.11,0.978,0.761
11,0.3231191990836974,0.2979,89.9,0.992,0.898,0.4549,83.06,0.984,0.772
12,0.3131667241240488,0.5404,80.38,0.985,0.8,0.7775,72.15,0.968,0.689
13,0.300334038873834,0.2667,91.02,0.994,0.912,0.4564,83.34,0.981,0.782
14,0.29626659261176236,0.4466,84.62,0.987,0.851,0.8952,72.87,0.955,0.644
15,0.28813674433096764,0.2141,92.55,0.996,0.927,0.4561,85.47,0.981,0.81
16,0.2804360906576811,0.2317,92.08,0.995,0.919,0.3635,86.7,0.987,0.839
17,0.2692659296175485,0.2747,90.95,0.995,0.906,0.5265,82.11,0.982,0.762
18,0.26659611488382023,0.2255,92.59,0.996,0.927,0.3521,87.49,0.986,0.823
19,0.26379557417231647,0.2686,90.39,0.994,0.904,0.4105,84.53,0.985,0.8
20,0.25751050743257703,0.2513,91.89,0.994,0.916,0.5138,82.35,0.977,0.798
21,0.2516312329866339,0.17,94.38,0.997,0.943,0.3087,89.2,0.99,0.858
22,0.24152703294830938,0.1865,93.64,0.997,0.936,0.3642,88.32,0.988,0.853
23,0.2340705883705915,0.1513,95.1,0.998,0.951,0.3053,89.63,0.989,0.863
24,0.23029806121756527,0.1467,95.32,0.998,0.953,0.2563,89.37,0.992,0.868
25,0.22971515301414716,0.1941,93.64,0.997,0.935,0.3548,87.97,0.985,0.842
26,0.2206166464181143,0.1878,93.71,0.997,0.938,0.4303,85.28,0.98,0.796
27,0.21241680379142472,0.1287,95.71,0.998,0.957,0.2181,91.9,0.993,0.891
28,0.2098313248632843,0.1508,95.38,0.998,0.953,0.3815,85.79,0.986,0.821
29,0.2053374803114322,0.1249,96.19,0.998,0.962,0.25,91.5,0.991,0.886
30,0.20138675170720263,0.1202,96.23,0.998,0.962,0.3132,88.44,0.989,0.85
31,0.19650655524224364,0.1594,94.59,0.998,0.946,0.3097,88.65,0.988,0.837
32,0.1909458863759233,0.1162,96.21,0.998,0.962,0.3345,88.77,0.989,0.854
33,0.18569878429361356,0.1009,96.8,0.999,0.968,0.2918,89.75,0.988,0.868
34,0.180642510093348,0.1296,95.72,0.998,0.956,0.2783,89.63,0.989,0.862
35,0.17941525906965297,0.1157,96.25,0.999,0.962,0.307,89.03,0.987,0.847
36,0.168141677541705,0.1129,96.37,0.999,0.964,0.2578,90.68,0.991,0.877
37,0.16711287735210312,0.1281,95.86,0.998,0.958,0.2718,89.59,0.989,0.861
38,0.16007610039925704,0.1121,96.33,0.999,0.963,0.2643,90.84,0.99,0.883
39,0.15705416037777847,0.0982,96.85,0.999,0.968,0.2716,90.6,0.99,0.872
40,0.15035366333059727,0.0816,97.37,0.999,0.974,0.2541,91.35,0.991,0.885
41,0.14941092043126997,0.0847,97.29,0.999,0.973,0.2383,91.58,0.993,0.886
42,0.14472592029199804,0.0838,97.39,0.999,0.974,0.2572,90.86,0.991,0.876
43,0.14122190161551412,0.0822,97.43,0.999,0.974,0.2616,91.09,0.991,0.884
44,0.13871095499097233,0.0782,97.51,0.999,0.975,0.238,92.1,0.992,0.895
45,0.1370296442220288,0.0775,97.47,0.999,0.975,0.2206,92.44,0.993,0.899
46,0.13485592668442103,0.0794,97.47,0.999,0.975,0.2358,91.93,0.992,0.891
47,0.13410411335821648,0.0766,97.58,0.999,0.976,0.2433,91.73,0.992,0.888
48,0.1331445805020764,0.0748,97.62,0.999,0.976,0.233,92.14,0.992,0.894
49,0.13125895369984877,0.0754,97.61,0.999,0.976,0.2322,92.1,0.992,0.893
