epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.022958481824526,2.0444,25.67,0.721,0.147,2.0394,29.02,0.664,0.142
1,1.3339907742742996,1.2965,52.83,0.887,0.504,1.3093,50.5,0.871,0.421
2,0.748564342657725,0.6007,79.25,0.978,0.804,0.6052,78.76,0.976,0.76
3,0.5339984578684667,0.6385,76.84,0.982,0.773,1.1263,65.06,0.943,0.612
4,0.41878631224982626,0.4569,82.68,0.989,0.827,0.6633,73.91,0.978,0.727
5,0.365311058431757,0.3107,89.2,0.994,0.894,0.4112,84.0,0.983,0.792
6,0.3366494012936469,0.2293,92.37,0.995,0.922,0.3688,86.7,0.985,0.831
7,0.30709554492679547,0.2714,90.12,0.994,0.904,0.4146,86.77,0.983,0.815
8,0.30197773140765005,0.297,89.39,0.996,0.898,0.4465,83.64,0.986,0.8
9,0.28572562459762807,0.2769,90.56,0.995,0.903,0.5132,80.67,0.982,0.768
10,0.27506833308539935,0.2443,91.52,0.995,0.915,0.4438,85.54,0.98,0.801
11,0.26485528188046586,0.2226,92.67,0.996,0.926,0.3887,85.76,0.985,0.81
12,0.26041644210776976,0.1717,94.57,0.997,0.946,0.3426,87.07,0.986,0.838
13,0.24675158522088467,0.207,93.13,0.997,0.933,0.3499,86.75,0.989,0.824
14,0.24118284945205976,0.2141,92.53,0.996,0.924,0.4249,84.94,0.982,0.78
15,0.23622158474178725,0.2006,93.35,0.997,0.932,0.5054,81.3,0.983,0.791
16,0.2287690192327491,0.1447,95.3,0.998,0.953,0.3751,86.22,0.989,0.819
17,0.2230815504240306,0.2433,91.51,0.996,0.92,0.4814,84.6,0.979,0.801
18,0.21845543901953432,0.2188,92.28,0.996,0.923,0.3265,88.2,0.987,0.834
19,0.2153598304744476,0.1956,93.4,0.998,0.932,0.3962,87.87,0.992,0.861
20,0.2065846616115194,0.2035,93.5,0.997,0.933,0.48,84.21,0.983,0.807
21,0.2017966723770544,0.1313,95.73,0.998,0.957,0.4573,85.57,0.982,0.833
22,0.19914279209189517,0.1199,96.08,0.999,0.96,0.2545,90.9,0.994,0.885
23,0.19566220063782935,0.1205,96.18,0.998,0.961,0.2624,90.76,0.993,0.884
24,0.18593684503788588,0.1244,96.08,0.998,0.961,0.3271,88.09,0.992,0.861
25,0.18432803254400956,0.1049,96.84,0.999,0.968,0.3267,89.66,0.987,0.856
26,0.18108863922296672,0.1564,94.64,0.998,0.947,0.388,86.52,0.988,0.825
27,0.1750720113475797,0.1102,96.67,0.999,0.967,0.2405,91.69,0.993,0.89
28,0.1698655203705834,0.1023,96.8,0.999,0.968,0.3764,87.24,0.986,0.836
29,0.1635709860525678,0.089,97.23,0.999,0.972,0.2508,91.57,0.992,0.884
30,0.16266819315972508,0.088,97.17,0.999,0.971,0.3453,87.32,0.988,0.826
31,0.15381214156159365,0.0894,97.04,0.999,0.97,0.2804,89.7,0.99,0.853
32,0.15535516300535757,0.098,96.84,0.999,0.968,0.3727,87.46,0.987,0.817
33,0.1486259816701801,0.0897,96.9,0.999,0.969,0.2936,89.94,0.989,0.865
34,0.1399289430336072,0.0716,97.69,0.999,0.976,0.2331,91.2,0.994,0.88
35,0.13904736962129352,0.08,97.44,0.999,0.974,0.2684,90.76,0.991,0.87
36,0.13274237183072873,0.0813,97.46,0.999,0.974,0.277,90.7,0.992,0.875
37,0.128509214945725,0.0585,98.25,1.0,0.982,0.3227,89.06,0.988,0.844
38,0.12609330892202356,0.0617,98.08,1.0,0.981,0.28,89.64,0.992,0.857
39,0.12032286840821466,0.0631,98.02,1.0,0.98,0.236,91.73,0.993,0.89
40,0.11769764908626142,0.0606,98.08,1.0,0.981,0.3153,90.13,0.988,0.855
41,0.11461462164598127,0.0572,98.29,1.0,0.983,0.3451,88.39,0.99,0.837
42,0.10827936728795369,0.0514,98.41,1.0,0.984,0.2441,91.24,0.993,0.88
43,0.10811167360553818,0.0498,98.52,1.0,0.985,0.2389,92.12,0.993,0.893
44,0.10323320958082394,0.0496,98.5,1.0,0.985,0.2441,91.92,0.993,0.89
45,0.102745085767734,0.048,98.55,1.0,0.985,0.2241,92.55,0.994,0.899
46,0.09909308901704234,0.0473,98.61,1.0,0.986,0.2434,91.85,0.993,0.888
47,0.0978951248403732,0.0455,98.65,1.0,0.986,0.2415,92.14,0.993,0.893
48,0.0997001485278209,0.0455,98.66,1.0,0.986,0.2397,92.12,0.993,0.893
49,0.10039857993616746,0.0456,98.66,1.0,0.986,0.238,92.14,0.993,0.893
