epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9703481094811552,1.58,37.06,0.763,0.3,1.658,37.72,0.779,0.343
1,2.2703598788989487,1.6275,37.57,0.793,0.272,1.6628,37.68,0.844,0.272
2,1.6088835896129676,1.3524,49.43,0.849,0.493,1.4775,47.42,0.833,0.418
3,1.4577594516952406,1.461,42.02,0.841,0.394,1.9151,44.01,0.788,0.353
4,1.332756099521473,1.3045,49.68,0.863,0.459,1.6465,52.58,0.823,0.415
5,1.1845567919661066,0.977,60.64,0.932,0.596,1.408,54.87,0.886,0.47
6,1.0354598023558175,0.7871,70.76,0.953,0.703,1.1706,63.18,0.911,0.551
7,0.9008368005889291,0.5431,80.69,0.976,0.812,0.823,72.1,0.955,0.689
8,0.7907565158114211,0.7302,73.4,0.967,0.726,1.1003,65.86,0.945,0.603
9,0.6834735511985731,0.4694,83.38,0.983,0.829,0.5995,78.97,0.97,0.752
10,0.5930631046440439,0.4743,83.62,0.983,0.833,0.8584,72.52,0.957,0.703
11,0.5391789658202065,0.3576,87.59,0.99,0.876,0.5682,77.42,0.975,0.76
12,0.4799500875789205,0.3855,86.33,0.989,0.868,0.7459,74.42,0.97,0.713
13,0.4535922843388759,0.3596,87.48,0.991,0.871,0.46,84.43,0.981,0.815
14,0.41621883632782114,0.2876,90.5,0.993,0.905,0.5134,82.14,0.978,0.8
15,0.3888479848275475,0.3056,89.15,0.994,0.886,0.5643,81.18,0.98,0.756
16,0.37388246736112035,0.2412,92.3,0.994,0.922,0.4103,85.17,0.983,0.819
17,0.3496396373623588,0.2727,90.89,0.994,0.908,0.775,76.99,0.965,0.748
18,0.33624141623256026,0.1989,93.25,0.996,0.933,0.3345,88.52,0.985,0.858
19,0.3198848015572008,0.2136,92.82,0.996,0.929,0.4127,86.18,0.985,0.831
20,0.3108176708381663,0.1965,93.53,0.996,0.935,0.4382,84.71,0.984,0.823
21,0.29733631094937685,0.225,91.75,0.997,0.916,0.3673,87.46,0.99,0.822
22,0.2799926955106011,0.1539,95.02,0.998,0.95,0.2717,90.97,0.99,0.884
23,0.26930831163106855,0.1638,94.55,0.997,0.946,0.3444,88.33,0.989,0.848
24,0.2569223350735121,0.1368,95.74,0.998,0.957,0.3026,90.05,0.99,0.874
25,0.24617062538434956,0.1682,94.3,0.997,0.941,0.349,88.28,0.989,0.853
26,0.23405914690919674,0.1473,94.98,0.998,0.95,0.2743,91.03,0.992,0.883
27,0.22650788186324966,0.1371,95.54,0.998,0.955,0.2998,89.77,0.991,0.864
28,0.21594696750991232,0.1236,95.97,0.998,0.96,0.3304,89.34,0.992,0.856
29,0.20996234577990347,0.1116,96.53,0.999,0.965,0.2485,91.32,0.993,0.891
30,0.19744596769198722,0.1291,95.76,0.998,0.958,0.2732,91.19,0.991,0.888
31,0.1881238563673898,0.1058,96.55,0.999,0.965,0.3455,89.09,0.989,0.866
32,0.18002955465974774,0.1056,96.58,0.999,0.966,0.2895,90.75,0.991,0.873
33,0.17423454704143668,0.0991,96.75,0.999,0.967,0.297,91.41,0.989,0.885
34,0.16054528505010632,0.0939,96.97,0.999,0.969,0.3346,89.64,0.989,0.863
35,0.1548354806024648,0.1076,96.56,0.999,0.964,0.3486,88.73,0.99,0.864
36,0.1485052032523044,0.0854,97.16,0.999,0.971,0.2095,92.97,0.995,0.908
37,0.1384170383321769,0.0955,96.84,0.999,0.968,0.2701,91.44,0.994,0.892
38,0.1344617747678338,0.0882,97.01,0.999,0.97,0.309,90.04,0.992,0.871
39,0.1254982907311677,0.0746,97.65,0.999,0.976,0.2773,91.44,0.992,0.887
40,0.11759252981432984,0.0783,97.53,0.999,0.975,0.312,90.32,0.991,0.874
41,0.1140725476530424,0.0679,97.8,0.999,0.978,0.324,89.88,0.99,0.871
42,0.10705658603846813,0.065,97.92,0.999,0.979,0.28,92.15,0.992,0.901
43,0.10101600004340051,0.0698,97.69,0.999,0.977,0.3008,90.68,0.991,0.884
44,0.0990304172399544,0.0617,98.0,1.0,0.98,0.2706,91.88,0.992,0.898
45,0.09229381581247655,0.0588,98.11,1.0,0.981,0.2656,91.76,0.993,0.894
46,0.09299439676840353,0.0618,98.02,1.0,0.98,0.2633,91.95,0.993,0.893
47,0.08683675204947805,0.0593,98.03,1.0,0.98,0.26,91.99,0.994,0.896
48,0.08553746471842451,0.0587,98.07,1.0,0.981,0.2721,91.55,0.993,0.892
49,0.08544689115457317,0.0588,98.12,1.0,0.981,0.2603,92.01,0.993,0.897
