epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.364380189488011,0.9447,61.44,0.925,0.598,3.119,9.28,0.648,0.084
1,1.216269079715975,1.3295,56.3,0.928,0.501,4.042,15.57,0.612,0.171
2,0.7702806574362581,0.9249,67.59,0.937,0.661,2.753,37.38,0.746,0.33
3,0.9633115200479399,99.5687,40.73,0.761,0.336,1.7011,40.03,0.83,0.304
4,1.0575781543622307,1.4909,51.55,0.903,0.467,4.9623,8.67,0.556,0.094
5,1.352698524792989,2.6527,33.02,0.796,0.251,1.8486,28.41,0.719,0.196
6,1.1915092757739474,1.3001,46.79,0.88,0.385,3.5803,9.05,0.629,0.078
7,0.8906007789369125,0.6822,74.29,0.961,0.729,2.9142,31.61,0.721,0.268
8,0.6899007597277241,0.5148,81.65,0.98,0.813,2.2725,42.74,0.767,0.403
9,0.5122290037332042,0.3576,87.44,0.989,0.87,3.1185,37.99,0.819,0.329
10,0.4009388597101294,0.4124,85.61,0.989,0.855,2.9253,41.09,0.861,0.353
11,0.3180852133954298,0.4002,85.73,0.991,0.86,3.0703,32.86,0.818,0.266
12,0.2733522648772886,0.1868,93.71,0.997,0.937,1.8511,52.25,0.856,0.476
13,0.23748570932976662,0.5951,79.42,0.983,0.767,2.9035,33.71,0.826,0.291
14,0.2162866060051226,0.2312,92.16,0.996,0.92,1.8685,68.31,0.9,0.555
15,0.18659780642491727,0.1461,95.18,0.998,0.951,3.0178,57.07,0.841,0.489
16,0.1772590602304132,0.3343,88.16,0.995,0.87,3.4855,41.32,0.876,0.345
17,0.1629110810056489,0.1363,95.64,0.998,0.956,2.3648,59.1,0.866,0.495
18,0.15039074559125207,0.1474,94.97,0.998,0.947,3.6062,36.02,0.839,0.328
19,0.14396555547512346,0.1293,95.59,0.999,0.956,2.4287,62.56,0.853,0.53
20,0.13344333010415235,0.1074,96.52,0.999,0.965,2.5198,62.72,0.865,0.543
21,0.12933037898045927,0.1034,96.68,0.999,0.967,1.7908,67.9,0.903,0.56
22,0.11973791729365092,0.0919,97.01,0.999,0.97,2.0547,61.82,0.897,0.525
23,0.11478761662011398,0.0938,97.11,0.999,0.971,1.6782,61.08,0.91,0.537
24,0.10788919548020035,0.0941,97.09,0.999,0.971,1.6674,64.74,0.903,0.561
25,0.10213226447462716,0.0738,97.64,0.999,0.977,1.5632,70.49,0.904,0.6
26,0.09842906292781607,0.1031,96.49,0.999,0.965,2.2695,57.56,0.85,0.556
27,0.09298519803357969,0.0999,96.74,0.999,0.967,2.6625,53.62,0.852,0.477
28,0.08780153240594599,0.0607,97.94,1.0,0.979,1.7752,70.44,0.903,0.596
29,0.08374735125337184,0.0568,98.24,1.0,0.982,1.9667,67.3,0.881,0.572
30,0.07870949557765411,0.0573,98.1,1.0,0.981,1.9943,70.79,0.899,0.587
31,0.07468187714356088,0.0821,97.53,0.999,0.974,1.976,69.75,0.913,0.578
32,0.07049101482789737,0.0524,98.34,1.0,0.983,1.5562,68.78,0.921,0.592
33,0.067238819191239,0.0572,98.22,1.0,0.982,1.7041,70.87,0.91,0.614
34,0.06163853970206072,0.0515,98.41,1.0,0.984,2.2618,65.45,0.868,0.551
35,0.0572695052985596,0.0616,98.12,1.0,0.981,1.8412,69.18,0.91,0.592
36,0.05461358760340026,0.0455,98.53,1.0,0.985,2.1152,67.14,0.882,0.571
37,0.04864880923301943,0.0459,98.5,1.0,0.985,2.4093,59.02,0.869,0.503
38,0.04894580712248187,0.0431,98.62,1.0,0.986,2.0367,71.25,0.895,0.597
39,0.04395567672160257,0.0368,98.79,1.0,0.988,2.1428,64.85,0.892,0.559
40,0.04333102701592349,0.0362,98.8,1.0,0.988,2.1657,66.95,0.883,0.578
41,0.03880558753933584,0.0386,98.69,1.0,0.987,2.0303,69.3,0.893,0.597
42,0.03637803017118391,0.0336,98.89,1.0,0.989,2.148,67.85,0.885,0.582
43,0.03462908592235337,0.0326,98.93,1.0,0.989,2.1869,66.79,0.888,0.583
44,0.033313776736938826,0.0319,98.99,1.0,0.99,2.1092,68.85,0.892,0.593
45,0.029403746929219973,0.0303,99.03,1.0,0.99,2.0815,68.64,0.89,0.596
46,0.02959869221674018,0.0298,99.02,1.0,0.99,2.122,69.89,0.887,0.603
47,0.029356361819117407,0.0305,99.04,1.0,0.99,2.0919,68.59,0.888,0.596
48,0.027671181283036653,0.0306,98.98,1.0,0.99,2.1953,68.06,0.883,0.592
49,0.02710848166457107,0.0299,99.0,1.0,0.99,2.1372,68.86,0.885,0.598
