epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.9770642134451097,1.6881,27.67,0.764,0.206,1.9033,23.18,0.712,0.209
1,2.5016377737017943,1.753,30.6,0.746,0.2,1.9391,19.74,0.728,0.097
2,1.7638723957068605,2.2275,21.73,0.717,0.102,2.7323,25.93,0.659,0.102
3,1.6857080090003203,2.3036,21.02,0.695,0.147,2.7997,21.16,0.631,0.096
4,1.622375844200025,1.791,29.16,0.778,0.249,2.2644,29.5,0.722,0.181
5,1.5425186460590705,1.4433,46.94,0.854,0.418,1.9114,39.97,0.791,0.311
6,1.368246546996537,1.2473,52.98,0.897,0.501,1.6374,46.14,0.866,0.407
7,1.2017837791673598,0.9586,61.57,0.932,0.61,1.1503,55.33,0.91,0.528
8,1.0090897466760382,0.6995,73.93,0.962,0.739,0.8933,66.32,0.939,0.639
9,0.8789874616489616,0.6423,76.21,0.972,0.764,0.6521,73.42,0.963,0.688
10,0.7921910773041427,0.598,77.04,0.973,0.767,0.8687,62.73,0.957,0.627
11,0.7246990779608381,0.4483,83.62,0.982,0.835,0.512,79.46,0.975,0.749
12,0.676097611639662,0.4332,83.08,0.985,0.832,0.4367,82.91,0.984,0.784
13,0.6412857166861975,0.4881,82.31,0.98,0.817,0.5851,80.29,0.972,0.753
14,0.6144508877535447,0.3955,85.83,0.986,0.857,0.5517,79.39,0.973,0.756
15,0.5834285176783053,0.4335,83.49,0.988,0.822,0.5512,81.78,0.981,0.733
16,0.5776237136146928,0.3843,86.81,0.987,0.866,0.5363,79.79,0.978,0.762
17,0.5854502908324682,0.3798,87.42,0.99,0.87,0.6588,76.69,0.981,0.759
18,0.5453053149912093,0.3202,88.12,0.991,0.883,0.4078,84.1,0.983,0.797
19,0.5284913218576849,0.3808,86.68,0.989,0.866,0.4948,81.43,0.976,0.787
20,0.5157879210180707,0.3345,88.17,0.99,0.882,0.4222,83.99,0.984,0.803
21,0.501539996661593,0.3394,87.7,0.991,0.875,0.6817,76.74,0.972,0.722
22,0.4895022034538262,0.284,90.2,0.992,0.9,0.5349,80.33,0.981,0.759
23,0.47741057213702937,0.2918,90.19,0.992,0.901,0.4017,84.67,0.984,0.811
24,0.47051142359079,0.2327,91.9,0.995,0.919,0.3427,87.1,0.987,0.848
25,0.454772606919316,0.2579,91.17,0.994,0.912,0.4828,84.16,0.986,0.788
26,0.44403107218631277,0.2955,90.14,0.992,0.901,0.6275,79.22,0.978,0.748
27,0.4403209837694322,0.2182,92.5,0.995,0.925,0.4112,85.03,0.985,0.808
28,0.42638787221310387,0.2012,93.05,0.996,0.93,0.4096,84.87,0.983,0.806
29,0.4209008238221582,0.2949,90.0,0.994,0.898,0.7092,77.94,0.98,0.744
30,0.41685502201746016,0.2168,92.87,0.996,0.927,0.4507,85.02,0.986,0.798
31,0.40119889781786977,0.2079,92.68,0.996,0.924,0.3008,88.52,0.99,0.855
32,0.3913575288535874,0.225,92.65,0.995,0.923,0.4553,83.14,0.983,0.791
33,0.38640861958265305,0.1701,94.45,0.997,0.943,0.4735,83.61,0.982,0.794
34,0.3762589791609395,0.2126,92.71,0.996,0.925,0.4217,84.26,0.985,0.8
35,0.37025495482388365,0.1856,93.93,0.997,0.938,0.3774,86.97,0.986,0.827
36,0.3612745582897176,0.1562,94.75,0.997,0.946,0.2988,89.06,0.991,0.851
37,0.3550345173713127,0.2039,93.06,0.996,0.928,0.3725,86.89,0.987,0.831
38,0.34921385764434776,0.18,93.96,0.997,0.938,0.4946,84.54,0.987,0.797
39,0.3385459627141662,0.1565,94.69,0.998,0.946,0.4703,85.05,0.987,0.806
40,0.33562868857576,0.147,95.25,0.998,0.951,0.4225,86.1,0.987,0.817
41,0.3225140939583488,0.1486,94.87,0.998,0.947,0.3841,86.39,0.989,0.826
42,0.32151221086047455,0.1291,95.79,0.998,0.957,0.3696,87.64,0.99,0.833
43,0.3128180170304886,0.1475,95.16,0.998,0.95,0.4342,86.06,0.987,0.817
44,0.31088678696356364,0.1302,95.77,0.998,0.957,0.3846,87.02,0.989,0.827
45,0.3030424745599856,0.1296,95.75,0.998,0.957,0.3378,88.27,0.991,0.844
46,0.30585282189123947,0.1283,95.67,0.998,0.955,0.379,87.42,0.99,0.833
47,0.3025324697936735,0.1236,95.9,0.998,0.958,0.3592,88.06,0.99,0.839
48,0.3012521406335215,0.1253,95.85,0.998,0.957,0.3819,87.49,0.99,0.831
49,0.29974842554886283,0.1252,95.88,0.998,0.958,0.3916,87.3,0.989,0.831
