epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7569553037448944,1.2908,48.34,0.837,0.414,1.3694,50.06,0.829,0.392
1,2.4794376606591486,1.3785,45.5,0.823,0.388,1.5182,44.96,0.781,0.318
2,1.1127549871562419,0.7302,71.33,0.955,0.687,0.967,64.45,0.919,0.576
3,0.7730004248444211,0.7464,72.83,0.957,0.722,1.1261,58.45,0.891,0.576
4,0.5067012366273962,0.4743,83.5,0.984,0.831,0.9,75.11,0.926,0.639
5,0.35371897589541934,0.4053,86.28,0.991,0.864,0.8988,72.62,0.941,0.666
6,0.2851829903870021,0.3462,88.61,0.991,0.887,0.7067,78.4,0.947,0.728
7,0.24179753535868656,0.2834,90.91,0.994,0.908,0.8438,75.57,0.952,0.723
8,0.2126512679143114,0.2125,93.04,0.997,0.93,0.7815,81.27,0.954,0.741
9,0.19598954490824122,0.1956,93.46,0.997,0.934,0.5903,83.17,0.967,0.763
10,0.1781048371534868,0.205,93.26,0.997,0.932,0.5694,86.03,0.965,0.814
11,0.16300331763190107,0.1218,95.88,0.999,0.959,0.5219,86.46,0.969,0.798
12,0.15052414509885959,0.1381,95.47,0.998,0.953,0.534,82.12,0.976,0.774
13,0.14121645190528126,0.1326,95.62,0.999,0.955,0.7335,80.06,0.964,0.745
14,0.132809708797921,0.1922,93.86,0.997,0.938,0.7855,82.06,0.962,0.729
15,0.12718480111021474,0.1418,95.5,0.999,0.955,0.4585,85.88,0.985,0.8
16,0.12063644306604253,0.1101,96.38,0.999,0.964,0.5574,85.73,0.973,0.792
17,0.11672051971001894,0.1843,93.79,0.998,0.937,0.5461,82.53,0.976,0.783
18,0.10687176643975732,0.0972,96.84,0.999,0.968,0.55,82.71,0.975,0.77
19,0.10451945717811371,0.0936,97.03,0.999,0.97,0.5692,84.71,0.977,0.782
20,0.09777596976094895,0.0824,97.42,0.999,0.974,0.4423,86.21,0.983,0.816
21,0.09335669019794315,0.0893,97.2,0.999,0.972,0.42,86.93,0.985,0.812
22,0.08821643538246587,0.087,97.32,0.999,0.973,0.4507,86.25,0.986,0.809
23,0.08533145912151537,0.0762,97.5,0.999,0.975,0.2877,91.25,0.992,0.867
24,0.0810575014453428,0.0668,97.81,1.0,0.978,0.5342,85.03,0.972,0.786
25,0.07804959421487581,0.0796,97.51,0.999,0.975,0.4581,85.4,0.983,0.805
26,0.07129499391187816,0.0777,97.37,0.999,0.973,0.4284,86.82,0.985,0.827
27,0.06931729240206358,0.062,98.05,1.0,0.98,0.4555,87.14,0.98,0.824
28,0.06261557965557722,0.0698,97.65,1.0,0.976,0.4608,87.93,0.985,0.817
29,0.05841631460968198,0.0586,98.12,1.0,0.981,0.6625,82.27,0.973,0.765
30,0.057217623675258726,0.0739,97.74,1.0,0.977,0.4446,88.81,0.983,0.829
31,0.05438594927941324,0.0557,98.27,1.0,0.982,0.4764,87.07,0.979,0.82
32,0.0512069316984076,0.0557,98.09,1.0,0.981,0.4023,88.56,0.983,0.833
33,0.04686266421098829,0.0469,98.43,1.0,0.984,0.8595,82.24,0.965,0.756
34,0.04251875703044782,0.0538,98.24,1.0,0.982,0.4861,86.3,0.983,0.81
35,0.04013185433490279,0.051,98.41,1.0,0.984,0.7348,85.44,0.969,0.799
36,0.036050690916135296,0.04,98.72,1.0,0.987,0.5096,86.63,0.982,0.814
37,0.03297476682725341,0.0412,98.53,1.0,0.985,0.5439,84.9,0.979,0.799
38,0.029175176936633258,0.09,97.85,0.999,0.978,0.4959,86.49,0.984,0.821
39,0.02686733187197946,0.0356,98.89,1.0,0.989,0.406,88.9,0.987,0.845
40,0.02501197961827137,0.0406,98.73,1.0,0.987,0.5595,87.48,0.981,0.826
41,0.022772622862847418,0.0345,98.95,1.0,0.989,0.5722,85.51,0.98,0.803
42,0.02155406745433914,0.0353,98.87,1.0,0.988,0.6955,85.29,0.975,0.801
43,0.018318973113457825,0.032,98.95,1.0,0.989,0.6252,85.97,0.977,0.807
44,0.01692368869031638,0.0319,98.99,1.0,0.99,0.7032,85.75,0.976,0.804
45,0.01724105334152636,0.0303,99.04,1.0,0.99,0.7112,85.28,0.976,0.799
46,0.014954074230944747,0.0303,99.03,1.0,0.99,0.679,86.43,0.977,0.812
47,0.01418145376795733,0.0303,99.02,1.0,0.99,0.7194,85.73,0.976,0.804
48,0.01463240177632178,0.0288,99.07,1.0,0.991,0.6552,86.07,0.978,0.807
49,0.014576876076181588,0.0295,99.1,1.0,0.991,0.7375,85.67,0.976,0.803
