epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.043584234184689,1.8858,19.7,0.697,0.157,1.9872,25.42,0.663,0.181
1,2.304874697893751,1.7224,33.97,0.76,0.26,1.6259,50.24,0.834,0.363
2,1.588304438471367,1.4847,45.98,0.824,0.438,1.5899,50.47,0.84,0.421
3,1.3160749834070924,1.8051,45.69,0.858,0.382,1.8723,38.86,0.847,0.369
4,1.0077446208846184,0.9208,64.45,0.948,0.607,1.0312,67.14,0.934,0.586
5,0.7656741087261494,0.619,76.74,0.97,0.767,0.7729,70.66,0.951,0.669
6,0.630531792465504,0.4792,82.99,0.979,0.828,0.5049,80.77,0.976,0.772
7,0.544030130977699,0.3794,86.07,0.987,0.861,0.44,82.31,0.983,0.785
8,0.4802598940962959,0.3754,87.36,0.986,0.874,0.4228,83.44,0.981,0.782
9,0.4389569978346534,0.4207,85.35,0.985,0.855,0.4769,82.3,0.977,0.787
10,0.40154199833617843,0.4008,86.77,0.988,0.865,0.3773,85.41,0.985,0.819
11,0.37789761590167187,0.2255,92.75,0.994,0.928,0.4245,84.62,0.98,0.797
12,0.35384411316725517,0.3002,89.27,0.993,0.887,0.5121,80.15,0.982,0.762
13,0.3347131221097857,0.2849,89.92,0.994,0.895,0.3708,86.59,0.991,0.822
14,0.31656515072216695,0.2235,92.28,0.995,0.921,0.406,84.56,0.985,0.798
15,0.2919269731154792,0.2363,91.63,0.996,0.915,0.3483,87.23,0.988,0.822
16,0.28659680483054945,0.2075,93.27,0.996,0.932,0.2818,89.1,0.989,0.853
17,0.2780346316302122,0.2001,93.5,0.996,0.935,0.3132,88.17,0.989,0.85
18,0.25869652532762094,0.1694,94.49,0.997,0.945,0.3541,87.94,0.989,0.844
19,0.2523145902781717,0.1604,94.77,0.997,0.947,0.2831,89.36,0.99,0.852
20,0.24440829817699702,0.1892,93.71,0.997,0.937,0.3936,87.21,0.987,0.828
21,0.23509256405535564,0.1555,94.73,0.997,0.948,0.3425,88.46,0.99,0.848
22,0.22690868415071974,0.1584,94.67,0.997,0.947,0.457,87.9,0.988,0.833
23,0.21390836751322165,0.141,95.33,0.998,0.953,0.2382,91.49,0.993,0.883
24,0.21034589865141445,0.1499,95.13,0.998,0.951,0.384,86.86,0.989,0.834
25,0.19925555501360193,0.1732,94.15,0.997,0.943,0.4696,85.54,0.989,0.797
26,0.19360659374291325,0.1433,95.17,0.998,0.952,0.3161,89.22,0.993,0.864
27,0.18831455968587416,0.1242,95.85,0.998,0.959,0.3176,89.69,0.99,0.858
28,0.18061092369739087,0.1417,95.07,0.998,0.951,0.2537,90.86,0.992,0.871
29,0.16964051208882777,0.1095,96.22,0.999,0.962,0.3198,88.76,0.991,0.849
30,0.16257524789447853,0.1206,95.99,0.999,0.96,0.2564,91.11,0.992,0.886
31,0.1569085285321252,0.1151,96.07,0.999,0.961,0.3068,90.72,0.991,0.872
32,0.15161078121499777,0.1168,96.2,0.998,0.962,0.2058,92.64,0.994,0.896
33,0.14326558142606716,0.1061,96.53,0.999,0.965,0.3615,88.63,0.991,0.846
34,0.1362864739231525,0.0939,96.86,0.999,0.968,0.2158,92.52,0.994,0.902
35,0.1306061801437195,0.0863,97.03,0.999,0.97,0.2382,91.76,0.993,0.891
36,0.1255051456592096,0.088,97.01,0.999,0.97,0.33,89.74,0.991,0.865
37,0.11752787608266091,0.0818,97.22,0.999,0.972,0.2848,91.17,0.992,0.886
38,0.11699504178938686,0.0861,97.14,0.999,0.971,0.3852,87.23,0.988,0.84
39,0.10899091497277273,0.0797,97.29,0.999,0.973,0.283,91.99,0.991,0.893
40,0.10600365813834907,0.0755,97.44,0.999,0.974,0.2873,92.09,0.992,0.893
41,0.09832156692901926,0.0754,97.51,0.999,0.975,0.3259,91.49,0.99,0.882
42,0.0922935334398114,0.0705,97.58,0.999,0.976,0.2903,92.1,0.992,0.891
43,0.0907193366738577,0.0739,97.43,0.999,0.974,0.2954,91.87,0.991,0.893
44,0.08562727059541424,0.0683,97.58,0.999,0.976,0.2767,91.98,0.992,0.894
45,0.0837982429181456,0.0666,97.68,0.999,0.977,0.281,91.69,0.992,0.89
46,0.08254177813454928,0.0643,97.75,1.0,0.977,0.2856,92.03,0.992,0.895
47,0.07924506243478546,0.0641,97.81,1.0,0.978,0.2999,92.04,0.991,0.894
48,0.07786354828645946,0.064,97.81,1.0,0.978,0.3028,91.84,0.991,0.891
49,0.08012522175894736,0.0628,97.84,1.0,0.978,0.3007,91.9,0.992,0.892
