epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.465512506743913,1.0088,61.12,0.912,0.585,2.3156,15.74,0.708,0.129
1,2.4055634542605357,1.2342,52.54,0.867,0.473,1.732,40.01,0.751,0.317
2,1.3948166167436962,0.9679,64.32,0.922,0.598,2.8679,9.24,0.672,0.097
3,1.238353793659518,1.1779,56.24,0.911,0.553,2.7899,11.5,0.693,0.126
4,1.060396421019749,0.6181,76.94,0.967,0.765,1.9198,36.84,0.783,0.345
5,0.9868356013490308,1.1656,58.0,0.916,0.575,1.4639,47.43,0.829,0.456
6,0.9195906416810115,0.7488,73.95,0.964,0.734,1.3855,53.06,0.869,0.444
7,0.8248423024424515,0.7245,74.12,0.963,0.746,0.8535,68.91,0.947,0.608
8,0.7131332769776331,0.6152,78.45,0.973,0.793,0.9382,70.52,0.946,0.61
9,0.6764674241183907,0.591,80.01,0.976,0.797,0.931,72.02,0.944,0.631
10,0.5973840961533208,0.5757,80.21,0.979,0.812,1.0372,68.48,0.95,0.622
11,0.5680865016114968,0.5352,80.97,0.981,0.812,0.853,71.66,0.951,0.635
12,0.5639585115309257,0.4657,82.96,0.985,0.827,0.6209,75.37,0.974,0.729
13,0.5182332619757635,0.5061,81.26,0.985,0.806,0.6433,77.55,0.96,0.691
14,0.490600634326217,0.3784,86.92,0.989,0.865,0.7267,74.29,0.97,0.678
15,0.44874272296559,0.4641,83.82,0.986,0.83,0.8083,69.78,0.959,0.689
16,0.4411574159765543,0.4227,84.54,0.988,0.837,0.6195,77.42,0.969,0.708
17,0.40990811342033007,0.3158,89.0,0.991,0.889,0.4465,82.79,0.982,0.776
18,0.3849439747818482,0.3467,88.22,0.991,0.88,0.6785,74.97,0.972,0.722
19,0.37486620702677304,0.2441,92.05,0.995,0.921,0.4298,83.28,0.984,0.799
20,0.35379111713406003,0.2529,91.42,0.995,0.913,0.5132,81.98,0.982,0.792
21,0.33375273084127777,0.3342,87.99,0.993,0.875,0.7066,78.4,0.978,0.752
22,0.3241725703935042,0.2351,91.84,0.995,0.917,0.3903,86.31,0.986,0.814
23,0.30609873986692837,0.2266,92.01,0.996,0.92,0.262,90.12,0.991,0.852
24,0.2892579736061207,0.238,91.63,0.995,0.915,0.3615,87.34,0.988,0.838
25,0.2776369801772538,0.8558,89.84,0.981,0.899,0.4592,88.82,0.986,0.858
26,0.2677364318788479,0.1747,94.34,0.997,0.944,0.2318,91.62,0.993,0.884
27,0.24405324678053567,0.1817,93.78,0.997,0.937,0.3046,89.91,0.993,0.853
28,0.2374133351509289,0.1637,94.54,0.997,0.945,0.3254,87.49,0.989,0.841
29,0.22213152059650976,0.1665,94.52,0.997,0.946,0.246,91.24,0.992,0.883
30,0.21012354489936624,0.1477,95.2,0.998,0.951,0.2342,91.22,0.994,0.883
31,0.1986227992347919,0.1939,93.35,0.997,0.933,0.3383,87.84,0.991,0.829
32,0.18882085354898565,0.1255,95.99,0.998,0.96,0.1786,93.72,0.995,0.913
33,0.1768479630364419,0.1333,95.68,0.998,0.957,0.2228,91.69,0.994,0.896
34,0.16322390174686802,0.1184,96.17,0.999,0.961,0.2108,92.67,0.995,0.911
35,0.15522687201551746,0.123,96.03,0.999,0.96,0.2364,92.34,0.995,0.889
36,0.14324808697546682,0.1153,96.25,0.999,0.962,0.2321,91.58,0.996,0.881
37,0.1374214612161173,0.104,96.54,0.999,0.965,0.2764,89.99,0.994,0.866
38,0.12043229417748562,0.1067,96.49,0.999,0.965,0.2299,92.04,0.995,0.882
39,0.11639969301239778,0.0866,97.28,0.999,0.973,0.1999,93.4,0.995,0.911
40,0.10456879989754769,0.0874,97.22,0.999,0.972,0.2251,91.84,0.995,0.884
41,0.09449674690803213,0.0732,97.69,0.999,0.977,0.2371,91.9,0.994,0.887
42,0.08414593552769993,0.0682,97.84,0.999,0.978,0.2496,90.98,0.993,0.869
43,0.0765534219812722,0.0705,97.71,0.999,0.977,0.2285,91.82,0.995,0.887
44,0.07126479117386711,0.0632,98.06,1.0,0.981,0.2883,89.7,0.991,0.851
45,0.062342730319080705,0.0647,98.02,0.999,0.98,0.2436,91.49,0.994,0.878
46,0.057966358959674835,0.0666,97.99,0.999,0.98,0.2437,91.38,0.994,0.878
47,0.05377313929466417,0.0573,98.26,1.0,0.982,0.263,90.53,0.992,0.862
48,0.047230392086943844,0.0503,98.47,1.0,0.985,0.3032,89.53,0.99,0.844
49,0.04132489983399656,0.0429,98.71,1.0,0.987,0.3558,88.69,0.989,0.829
