epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7217628618295047,2.8662,30.66,0.728,0.228,2.9751,20.16,0.721,0.157
1,1.9974521981772555,1.2455,51.53,0.877,0.421,1.9006,34.45,0.769,0.276
2,1.1406786660780617,0.8685,68.26,0.95,0.644,1.0177,66.38,0.916,0.538
3,0.7269928707978204,0.5912,76.92,0.98,0.74,1.2483,60.27,0.91,0.539
4,0.42978089585846896,2.8711,38.21,0.777,0.277,4.085,28.08,0.679,0.144
5,1.2716449996903805,1.7445,50.73,0.845,0.48,2.1191,41.39,0.742,0.319
6,0.6825202745135113,0.3843,87.38,0.987,0.871,0.4735,84.21,0.973,0.761
7,0.4377732056069545,0.3748,87.55,0.987,0.87,0.7266,76.61,0.954,0.734
8,0.3253027117113486,0.2067,93.08,0.997,0.931,0.4006,87.04,0.984,0.828
9,0.27367650790934495,0.3253,88.9,0.993,0.89,0.627,79.6,0.968,0.725
10,0.2432257956741745,0.5326,92.49,0.985,0.928,0.4031,87.68,0.983,0.833
11,0.2256222250988193,0.1547,95.26,0.998,0.952,0.3463,87.89,0.991,0.851
12,0.20764883741148912,0.1778,94.17,0.997,0.941,0.8444,71.42,0.966,0.682
13,0.1973757935841451,0.1849,94.02,0.997,0.938,0.4384,84.84,0.983,0.806
14,0.17988690604392346,0.1729,94.49,0.998,0.945,0.593,82.08,0.976,0.769
15,0.17317108923442476,0.2101,93.0,0.997,0.93,0.4537,85.54,0.978,0.771
16,0.1668569394804564,0.1188,96.3,0.999,0.963,0.3069,88.35,0.992,0.851
17,0.1545420800232225,0.1,96.73,0.999,0.967,0.3382,87.57,0.994,0.856
18,0.14640480444155712,0.1088,96.57,0.999,0.965,0.3247,88.41,0.993,0.866
19,0.14054291537131675,0.1098,96.55,0.999,0.964,0.4449,85.44,0.99,0.82
20,0.13436657409968128,0.1,96.89,0.999,0.968,0.3027,89.97,0.99,0.878
21,0.12917670219015048,0.1148,96.23,0.999,0.96,0.375,86.06,0.989,0.84
22,0.12155404900564515,0.0904,97.1,0.999,0.971,0.3245,87.97,0.99,0.835
23,0.11844588645924163,0.0766,97.48,0.999,0.975,0.3212,88.9,0.991,0.855
24,0.11242702831330585,0.0756,97.5,0.999,0.975,0.2904,90.13,0.994,0.861
25,0.1072358895246754,0.1043,96.69,0.999,0.967,0.3955,86.29,0.988,0.827
26,0.10320864007624674,0.0853,97.27,0.999,0.972,0.3634,87.48,0.993,0.842
27,0.09679601258367941,0.0642,97.86,1.0,0.979,0.3332,87.34,0.99,0.835
28,0.09290871839289383,0.0597,98.11,1.0,0.981,0.1718,94.36,0.997,0.92
29,0.09032343729903194,0.0559,98.17,1.0,0.982,0.3276,89.59,0.994,0.863
30,0.0856528637486787,0.0714,97.69,1.0,0.976,0.4262,86.77,0.991,0.836
31,0.08051878812399069,0.0552,98.3,1.0,0.983,0.2067,92.29,0.996,0.894
32,0.0774156537013776,0.0518,98.32,1.0,0.983,0.2172,92.52,0.996,0.903
33,0.07499050020196853,0.0522,98.31,1.0,0.983,0.2818,91.57,0.996,0.898
34,0.06876370665620625,0.0498,98.45,1.0,0.984,0.4635,88.52,0.988,0.857
35,0.06467910869694632,0.0404,98.74,1.0,0.987,0.1885,93.6,0.997,0.921
36,0.06263202363892215,0.045,98.49,1.0,0.985,0.225,92.1,0.996,0.897
37,0.05795618001117928,0.044,98.61,1.0,0.986,0.2748,91.58,0.996,0.898
38,0.0544954249101247,0.0387,98.76,1.0,0.987,0.1966,93.65,0.997,0.913
39,0.051182751720737815,0.0357,98.9,1.0,0.989,0.2055,93.0,0.997,0.9
40,0.04924761224538088,0.0362,98.89,1.0,0.989,0.3328,89.06,0.996,0.871
41,0.04471330058437148,0.0327,99.02,1.0,0.99,0.2403,91.82,0.997,0.903
42,0.04141830343345854,0.031,99.04,1.0,0.99,0.2243,92.63,0.996,0.907
43,0.04028369791264976,0.031,99.08,1.0,0.991,0.3197,89.53,0.995,0.873
44,0.03943628921276993,0.0302,99.14,1.0,0.991,0.2463,91.95,0.996,0.905
45,0.035394359748863936,0.028,99.16,1.0,0.991,0.242,92.96,0.996,0.912
46,0.03674231258831838,0.0281,99.17,1.0,0.992,0.2294,92.18,0.997,0.908
47,0.03329286306402162,0.0282,99.18,1.0,0.992,0.2313,92.34,0.997,0.907
48,0.032760909501476525,0.0274,99.18,1.0,0.992,0.2545,91.62,0.996,0.897
49,0.03331967196210311,0.0275,99.19,1.0,0.992,0.242,92.18,0.997,0.904
