epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8738149878799275,2.1801,29.68,0.724,0.221,2.8364,16.56,0.609,0.166
1,2.213319713069547,1.4238,42.5,0.865,0.293,1.5604,46.06,0.792,0.329
2,1.4843043458504488,0.9933,63.0,0.931,0.599,1.1294,59.36,0.907,0.51
3,1.0740267151572798,0.7497,71.75,0.956,0.704,1.177,58.36,0.908,0.544
4,0.8026375957500977,0.58,79.93,0.974,0.799,0.8422,70.25,0.952,0.658
5,0.6603329192887071,0.3394,88.83,0.989,0.885,0.7772,73.22,0.957,0.674
6,0.5699437059275139,0.2904,90.27,0.993,0.901,0.6312,77.96,0.962,0.711
7,0.5131996609404096,0.265,90.92,0.993,0.908,0.6573,75.73,0.958,0.7
8,0.4536465139906039,0.2761,90.37,0.994,0.9,0.5511,80.83,0.978,0.753
9,0.400186638865206,0.1951,93.67,0.996,0.935,0.441,85.32,0.979,0.791
10,0.3622911643757615,0.2126,93.08,0.996,0.93,0.532,81.49,0.976,0.767
11,0.3418857956498754,0.1916,93.86,0.997,0.937,0.5099,83.2,0.982,0.783
12,0.321848029037103,0.1578,94.76,0.997,0.947,0.391,86.1,0.984,0.821
13,0.30429351364519436,0.1767,93.83,0.997,0.937,0.3825,86.82,0.984,0.799
14,0.28963191174371267,0.1389,95.6,0.998,0.955,0.3012,90.02,0.99,0.862
15,0.26819020125173754,0.1478,95.36,0.998,0.953,0.291,90.43,0.99,0.86
16,0.2657390279581897,0.1568,95.09,0.998,0.951,0.3111,90.02,0.989,0.865
17,0.24873156328835794,0.1312,95.72,0.998,0.957,0.3319,89.28,0.986,0.848
18,0.23284232445515185,0.1159,96.25,0.999,0.962,0.4357,86.67,0.982,0.816
19,0.22596300102262942,0.1384,95.63,0.998,0.956,0.5025,81.97,0.98,0.773
20,0.2141202975425028,0.1095,96.67,0.999,0.966,0.2979,89.94,0.99,0.869
21,0.2054656060766362,0.1454,95.3,0.998,0.951,0.5849,86.03,0.987,0.797
22,0.1969289194699043,0.1141,96.34,0.998,0.963,0.2662,90.53,0.992,0.869
23,0.18956676217657265,0.102,96.56,0.999,0.965,0.2895,89.96,0.99,0.863
24,0.1815068125791554,0.1046,96.62,0.999,0.966,0.2409,91.24,0.993,0.884
25,0.17425164287929895,0.0958,97.05,0.999,0.97,0.2974,90.23,0.991,0.872
26,0.16657326510676773,0.0838,97.42,0.999,0.974,0.2042,92.56,0.994,0.894
27,0.16026618817026683,0.0898,97.11,0.999,0.971,0.2794,90.19,0.99,0.866
28,0.15275609754960598,0.0922,97.08,0.999,0.97,0.2833,90.72,0.99,0.875
29,0.14886726680675716,0.0715,97.57,0.999,0.976,0.3376,90.0,0.986,0.86
30,0.1397391795631378,0.085,97.28,0.999,0.973,0.2992,89.48,0.991,0.84
31,0.1316882387658174,0.067,97.85,0.999,0.978,0.257,90.78,0.992,0.87
32,0.1257454103399669,0.0657,97.91,0.999,0.979,0.3175,90.64,0.989,0.869
33,0.12318143456186231,0.0725,97.7,0.999,0.977,0.3156,92.29,0.988,0.896
34,0.11281004297383476,0.0615,98.18,1.0,0.982,0.3307,88.57,0.99,0.839
35,0.11014535963722241,0.0615,98.12,1.0,0.981,0.3481,88.87,0.99,0.843
36,0.10417636515285593,0.0561,98.23,1.0,0.982,0.2797,91.24,0.991,0.876
37,0.09643828260001316,0.0603,98.09,1.0,0.981,0.286,90.7,0.99,0.868
38,0.0928970035465975,0.0609,98.04,1.0,0.98,0.3898,88.11,0.99,0.835
39,0.09022539271889622,0.0441,98.55,1.0,0.985,0.3186,90.6,0.989,0.871
40,0.08185295987620576,0.0462,98.59,1.0,0.986,0.3178,90.73,0.991,0.87
41,0.07907433157593119,0.0446,98.59,1.0,0.986,0.2911,90.53,0.991,0.868
42,0.07235328341403635,0.0448,98.48,1.0,0.984,0.3214,89.85,0.989,0.851
43,0.0715162809604385,0.0423,98.65,1.0,0.986,0.2998,90.27,0.991,0.863
44,0.06838048238968177,0.0423,98.64,1.0,0.986,0.2918,90.98,0.992,0.873
45,0.06463349540133737,0.04,98.69,1.0,0.987,0.2705,91.54,0.992,0.88
46,0.0644587503886351,0.0386,98.75,1.0,0.987,0.2863,90.92,0.992,0.871
47,0.06451034748686417,0.0395,98.69,1.0,0.987,0.2819,90.92,0.992,0.871
48,0.06257104998167377,0.0392,98.69,1.0,0.987,0.2965,90.7,0.992,0.868
49,0.0604233696679568,0.0387,98.71,1.0,0.987,0.2859,91.25,0.992,0.876
