epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.408426600972384,1.1427,52.36,0.911,0.473,3.3999,9.41,0.634,0.082
1,2.164619573982813,0.9727,60.31,0.927,0.541,2.298,30.74,0.651,0.212
2,1.3221241498506198,0.8259,66.79,0.943,0.662,2.9172,29.76,0.661,0.283
3,1.188458384151527,0.7986,71.43,0.956,0.712,1.8983,36.97,0.755,0.342
4,1.007356523506103,0.6804,76.11,0.964,0.753,2.0319,47.86,0.763,0.438
5,0.8541942832183667,2.3471,45.2,0.848,0.398,3.2523,33.14,0.753,0.337
6,0.7123904408733477,0.6879,76.59,0.974,0.758,1.3454,56.77,0.898,0.492
7,0.5927656366887059,0.5065,83.63,0.98,0.838,0.9358,73.27,0.923,0.641
8,0.5047224565379081,0.2772,91.1,0.993,0.91,0.6882,77.45,0.943,0.708
9,0.4762540673803685,0.3511,88.49,0.99,0.883,0.7415,75.97,0.946,0.698
10,0.43450725644720073,0.3233,88.35,0.992,0.879,0.6325,78.08,0.955,0.714
11,0.40658603615284394,0.2337,92.21,0.995,0.921,0.6966,75.26,0.967,0.695
12,0.4077965947515648,0.2931,89.84,0.993,0.9,0.7657,75.7,0.948,0.682
13,0.36844796744779446,0.2165,92.97,0.996,0.929,0.3415,87.67,0.986,0.816
14,0.3582439863099633,0.2121,92.46,0.996,0.924,0.3742,86.8,0.984,0.807
15,0.340219654249675,0.2583,90.99,0.996,0.909,0.3851,86.39,0.986,0.799
16,0.3320885691992057,0.2092,92.92,0.996,0.929,0.2971,90.29,0.988,0.852
17,0.31847364418075075,0.2252,92.6,0.996,0.924,0.373,87.49,0.985,0.818
18,0.30427510163155935,0.2191,92.61,0.996,0.923,0.3873,86.66,0.989,0.825
19,0.2907533710522036,0.2329,92.35,0.995,0.923,0.4181,85.03,0.986,0.808
20,0.27114767840258963,0.1622,94.72,0.997,0.947,0.3314,87.75,0.99,0.839
21,0.2647444429443515,0.3534,86.84,0.995,0.854,0.3938,85.79,0.988,0.831
22,0.2557711206429962,0.3311,88.31,0.993,0.878,0.414,86.07,0.981,0.817
23,0.2457526268097021,0.2752,90.97,0.994,0.907,0.4084,86.09,0.982,0.816
24,0.2308929944177255,0.1743,94.11,0.997,0.941,0.3891,87.34,0.985,0.82
25,0.2205309000493805,0.2109,93.05,0.997,0.929,0.4663,84.97,0.985,0.803
26,0.21362997559450006,0.2127,92.9,0.996,0.927,0.4357,85.6,0.981,0.804
27,0.19979791506110126,0.4239,86.51,0.993,0.858,0.6081,80.06,0.977,0.761
28,0.1907543154453398,0.2246,92.6,0.996,0.926,0.3632,88.43,0.992,0.86
29,0.18119804149887467,0.1115,96.34,0.999,0.963,0.2297,91.79,0.994,0.877
30,0.17168603527049223,0.1137,96.54,0.999,0.965,0.2553,91.99,0.993,0.883
31,0.1650296697212804,0.102,96.65,0.999,0.966,0.2617,90.78,0.992,0.869
32,0.15363313864889858,0.0893,97.17,0.999,0.972,0.2138,92.64,0.994,0.9
33,0.14449828966958014,0.0818,97.34,0.999,0.973,0.2175,92.12,0.994,0.889
34,0.13650799301656558,0.0827,97.34,0.999,0.973,0.2592,90.84,0.993,0.868
35,0.12782641170266015,0.1688,94.65,0.998,0.943,0.408,87.12,0.991,0.855
36,0.11999501091658428,0.0836,97.44,0.999,0.974,0.2989,90.48,0.991,0.873
37,0.10890762169434819,0.1109,96.42,0.999,0.962,0.346,88.79,0.993,0.868
38,0.09777735327921247,0.0628,98.06,1.0,0.98,0.2182,92.29,0.995,0.892
39,0.09264562138619976,0.0635,98.0,1.0,0.98,0.2476,91.87,0.993,0.887
40,0.08357166945867534,0.0684,97.83,0.999,0.978,0.2664,91.79,0.993,0.893
41,0.07262731201472729,0.056,98.33,1.0,0.983,0.2465,91.95,0.994,0.891
42,0.0659451443404894,0.0511,98.42,1.0,0.984,0.273,91.76,0.993,0.884
43,0.06016096327867773,0.0479,98.58,1.0,0.986,0.2372,92.64,0.994,0.899
44,0.055846086748304866,0.0444,98.69,1.0,0.987,0.2846,90.9,0.992,0.875
45,0.04667428236848618,0.0451,98.69,1.0,0.987,0.2529,91.68,0.994,0.886
46,0.04310036656917424,0.043,98.74,1.0,0.987,0.2562,91.85,0.993,0.886
47,0.03933102112784181,0.0413,98.81,1.0,0.988,0.2477,92.15,0.994,0.89
48,0.03706782434709824,0.039,98.86,1.0,0.989,0.2776,91.41,0.992,0.881
49,0.030135201412089516,0.0376,98.93,1.0,0.989,0.2865,91.27,0.992,0.879
