epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8551341370015162,1.5182,45.79,0.856,0.424,2.0842,21.33,0.738,0.221
1,2.2832975285027617,1.3904,44.57,0.84,0.332,1.514,38.2,0.781,0.235
2,1.499746286740867,1.1772,56.54,0.893,0.487,1.337,52.72,0.833,0.394
3,1.6665718260631766,1.2036,55.48,0.889,0.546,1.3901,54.38,0.868,0.471
4,1.2196128351286748,0.7849,72.17,0.949,0.715,1.4129,55.5,0.836,0.502
5,0.8710246569473684,0.9558,63.41,0.947,0.6,1.5198,49.12,0.9,0.434
6,0.615986899289179,0.4646,83.99,0.985,0.831,0.7721,74.97,0.947,0.679
7,0.48443493936010584,0.3318,88.53,0.99,0.882,0.5589,81.9,0.967,0.76
8,0.3872206965494754,0.2572,91.43,0.995,0.914,0.5077,83.78,0.976,0.787
9,0.3405754699715577,0.1866,93.76,0.996,0.936,0.4983,85.35,0.974,0.802
10,0.29990766816989495,0.2277,92.68,0.995,0.924,0.537,82.41,0.976,0.778
11,0.2740194596296784,0.1618,94.87,0.997,0.947,0.3258,89.17,0.989,0.843
12,0.24989230773248125,0.1891,93.72,0.997,0.936,0.5561,82.76,0.976,0.779
13,0.22691788261349055,0.1987,93.17,0.997,0.93,0.4556,87.23,0.981,0.827
14,0.21797900694993236,0.1447,95.73,0.998,0.957,0.3194,88.5,0.989,0.843
15,0.19864503489173013,0.1964,93.44,0.998,0.933,0.3374,89.4,0.986,0.837
16,0.1902637643786314,0.1171,96.57,0.998,0.965,0.2449,91.54,0.992,0.881
17,0.17836492906548215,0.1342,95.66,0.999,0.956,0.2578,89.64,0.995,0.858
18,0.16978791816740907,0.1601,94.96,0.998,0.949,0.6017,80.86,0.981,0.782
19,0.16359724416180538,0.1175,96.14,0.999,0.962,0.3693,87.51,0.989,0.84
20,0.1580687438715316,0.0995,96.79,0.999,0.967,0.2746,89.36,0.991,0.866
21,0.14986589195133324,0.1441,95.28,0.998,0.951,0.2726,90.92,0.992,0.877
22,0.1449063675124265,0.1208,96.3,0.999,0.963,0.2686,91.27,0.993,0.883
23,0.1374455990810548,0.0796,97.51,0.999,0.975,0.1722,94.05,0.996,0.917
24,0.13069382935802462,0.0975,96.9,0.999,0.969,0.2397,91.62,0.993,0.879
25,0.1260301271373386,0.0809,97.45,0.999,0.974,0.3199,88.58,0.991,0.835
26,0.12130641122765866,0.0764,97.6,0.999,0.976,0.3184,89.23,0.99,0.86
27,0.11471764601793767,0.0906,97.02,0.999,0.97,0.2961,90.21,0.993,0.875
28,0.11016580773230415,0.0674,97.8,0.999,0.978,0.2456,91.88,0.993,0.876
29,0.10585686127157835,0.0625,98.02,1.0,0.98,0.2391,91.16,0.995,0.881
30,0.10238873461882274,0.069,97.82,0.999,0.978,0.274,90.89,0.993,0.88
31,0.09533013864403664,0.0587,98.31,1.0,0.983,0.3049,90.42,0.992,0.877
32,0.08993938125296091,0.0658,97.98,0.999,0.979,0.3082,90.37,0.991,0.87
33,0.08647474583478705,0.0604,98.18,1.0,0.981,0.1969,93.38,0.995,0.911
34,0.08049800347096177,0.056,98.18,1.0,0.982,0.1601,94.77,0.997,0.926
35,0.07748958194214436,0.0577,98.3,1.0,0.983,0.1829,93.76,0.996,0.913
36,0.07399982180259454,0.0464,98.46,1.0,0.985,0.2254,92.69,0.995,0.897
37,0.0689632583369491,0.057,98.14,1.0,0.981,0.2204,93.76,0.996,0.918
38,0.06569272980234155,0.0456,98.56,1.0,0.985,0.1814,93.68,0.996,0.915
39,0.06067903729416029,0.0459,98.48,1.0,0.985,0.1674,94.71,0.997,0.928
40,0.057936193763635596,0.0378,98.81,1.0,0.988,0.1611,95.06,0.997,0.936
41,0.05648100524339625,0.0366,98.84,1.0,0.988,0.1626,95.18,0.997,0.94
42,0.052275936311197646,0.0369,98.79,1.0,0.988,0.1349,95.17,0.998,0.935
43,0.04858105383666506,0.035,98.86,1.0,0.988,0.1416,95.09,0.998,0.934
44,0.0472232117634734,0.0351,98.84,1.0,0.988,0.1493,95.26,0.998,0.935
45,0.044239123939372946,0.0325,98.95,1.0,0.989,0.128,95.91,0.998,0.947
46,0.04427412196352918,0.0322,98.99,1.0,0.99,0.1384,95.55,0.998,0.942
47,0.04326385455740128,0.0332,98.97,1.0,0.99,0.1395,95.61,0.998,0.942
48,0.04077062071851825,0.0316,99.07,1.0,0.991,0.1388,95.64,0.998,0.943
49,0.04202753425438932,0.0317,99.0,1.0,0.99,0.1354,95.71,0.998,0.944
