epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.087467702913455,2.0956,13.16,0.6,0.082,2.1868,14.87,0.61,0.1
1,2.769861878032753,2.0639,16.01,0.606,0.035,2.0792,19.47,0.607,0.041
2,2.0001045085196,1.9579,18.01,0.573,0.101,1.826,37.0,0.653,0.227
3,1.7333096784930075,1.6173,34.55,0.798,0.301,1.5425,40.04,0.765,0.251
4,1.2944861522284887,0.904,62.48,0.937,0.599,1.1924,57.82,0.902,0.49
5,0.8360010745491179,0.6018,77.94,0.968,0.775,0.7177,72.65,0.956,0.672
6,0.6316389832979462,0.515,80.28,0.979,0.791,0.5258,79.93,0.971,0.749
7,0.5309389691305845,0.329,87.95,0.99,0.876,0.38,85.96,0.983,0.816
8,0.46434721014192026,0.2978,89.16,0.992,0.888,0.3198,88.0,0.985,0.832
9,0.41184288543719116,0.3369,88.18,0.989,0.883,0.4734,82.71,0.976,0.777
10,0.3763846472760255,0.3635,86.65,0.988,0.865,0.4203,83.88,0.981,0.8
11,0.34886795859183034,0.2557,91.24,0.994,0.913,0.327,88.22,0.988,0.842
12,0.328510760112689,0.2678,90.6,0.995,0.905,0.5454,80.59,0.982,0.772
13,0.3097090268487571,0.3982,86.59,0.991,0.853,0.5393,83.78,0.981,0.781
14,0.2905278800849846,0.2211,92.64,0.995,0.926,0.3077,88.44,0.988,0.842
15,0.2819370493079172,0.3854,88.3,0.991,0.877,0.3673,87.7,0.987,0.816
16,0.2657471597328195,0.2423,91.79,0.994,0.919,0.4281,84.7,0.98,0.82
17,0.2569207379387485,0.1834,93.83,0.997,0.938,0.3174,87.54,0.987,0.831
18,0.24163541140361927,0.1677,94.41,0.997,0.944,0.3732,87.29,0.986,0.836
19,0.23312460077011884,0.2531,91.22,0.996,0.911,0.5216,81.13,0.984,0.77
20,0.22391810811602086,0.218,92.69,0.996,0.927,0.4227,85.73,0.984,0.829
21,0.21312502238859413,0.1469,95.2,0.997,0.952,0.3464,87.35,0.989,0.839
22,0.20728060648539587,0.1653,94.23,0.997,0.944,0.3921,88.44,0.987,0.845
23,0.1958022363029928,0.1334,95.66,0.998,0.957,0.29,89.37,0.99,0.857
24,0.19379079276462183,0.1668,93.97,0.997,0.94,0.2417,90.64,0.991,0.862
25,0.18224956750816343,0.1263,95.97,0.998,0.959,0.2183,91.82,0.994,0.89
26,0.17603960199995922,0.122,96.17,0.998,0.961,0.2753,90.53,0.991,0.875
27,0.17142812863633197,0.1167,96.32,0.999,0.963,0.2856,90.81,0.991,0.88
28,0.1614772874968774,0.1234,96.12,0.999,0.961,0.3767,88.27,0.986,0.846
29,0.1598862948890869,0.1039,96.66,0.999,0.966,0.2713,90.51,0.992,0.873
30,0.15219633533589302,0.1063,96.45,0.999,0.964,0.2254,91.73,0.993,0.885
31,0.14291607863586864,0.0959,96.93,0.999,0.968,0.2699,90.92,0.992,0.879
32,0.1376556595019649,0.1011,96.86,0.999,0.968,0.2503,92.12,0.992,0.892
33,0.1339964159567403,0.098,96.81,0.999,0.968,0.3713,88.13,0.987,0.852
34,0.12514418428997412,0.0927,96.91,0.999,0.969,0.1963,92.77,0.995,0.9
35,0.11939825463412483,0.0764,97.58,0.999,0.976,0.2725,91.74,0.989,0.888
36,0.11381608489767304,0.0695,97.79,0.999,0.978,0.3128,91.39,0.991,0.882
37,0.10604897445221315,0.0647,97.88,1.0,0.979,0.2671,92.26,0.991,0.894
38,0.10771454763882476,0.0719,97.72,0.999,0.977,0.2864,91.3,0.99,0.875
39,0.09774414258658566,0.0602,98.06,1.0,0.98,0.2702,91.47,0.992,0.883
40,0.09274755654135539,0.0597,98.13,1.0,0.981,0.2957,92.15,0.991,0.893
41,0.08803511571846769,0.0597,98.05,1.0,0.98,0.2929,91.66,0.992,0.894
42,0.0857059939440647,0.0566,98.15,1.0,0.981,0.2509,92.67,0.993,0.902
43,0.08310336361916262,0.0572,98.16,1.0,0.981,0.2739,92.22,0.992,0.896
44,0.08145762815250344,0.0525,98.26,1.0,0.982,0.277,92.12,0.992,0.894
45,0.0777374909169251,0.0535,98.24,1.0,0.982,0.2607,92.31,0.993,0.897
46,0.07614609950779533,0.0479,98.39,1.0,0.984,0.2875,92.12,0.992,0.895
47,0.0711944219672979,0.0498,98.34,1.0,0.983,0.2912,92.01,0.992,0.893
48,0.0698649045780942,0.0493,98.36,1.0,0.983,0.297,91.84,0.992,0.891
49,0.07200597295217136,0.0493,98.36,1.0,0.983,0.2952,91.74,0.992,0.889
