epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.094274537964961,2.1386,18.46,0.554,0.104,2.1717,26.35,0.632,0.153
1,2.5888858063673887,2.0131,17.15,0.639,0.084,2.629,25.93,0.641,0.137
2,1.9859620003717346,1.8782,21.17,0.714,0.136,2.2793,30.08,0.73,0.192
3,1.7924290688234419,1.5142,45.46,0.815,0.39,1.288,49.87,0.853,0.367
4,1.2892775755629318,0.9789,64.23,0.919,0.637,1.192,61.61,0.915,0.558
5,0.9319036015472959,0.8276,68.11,0.959,0.691,0.8579,66.02,0.957,0.626
6,0.6901367167845421,0.6295,75.93,0.969,0.76,0.8676,69.26,0.942,0.654
7,0.5645062888181338,0.3711,87.08,0.987,0.872,0.4797,81.64,0.975,0.786
8,0.48814449008006777,0.3859,86.25,0.987,0.861,0.4256,84.81,0.98,0.795
9,0.45034852786837515,0.4479,84.77,0.983,0.852,0.5484,80.99,0.974,0.781
10,0.4114215910488132,0.3185,88.88,0.99,0.889,0.452,84.26,0.981,0.8
11,0.3838531480414466,0.2551,91.17,0.994,0.911,0.3793,85.19,0.987,0.816
12,0.3587314550327571,0.3157,89.47,0.991,0.892,0.445,84.32,0.98,0.806
13,0.3394197802122776,0.4131,85.73,0.99,0.852,0.442,85.49,0.981,0.796
14,0.31766523570356403,0.2524,91.35,0.994,0.914,0.4536,84.64,0.981,0.807
15,0.30796125822276627,0.2756,90.4,0.995,0.901,0.3643,88.11,0.986,0.817
16,0.2892463887811348,0.1989,93.27,0.996,0.933,0.3021,88.49,0.989,0.85
17,0.27493383481724715,0.2058,93.31,0.996,0.932,0.4681,83.74,0.979,0.799
18,0.26208668184803807,0.2102,93.25,0.996,0.929,0.3928,86.03,0.989,0.831
19,0.2504241396289145,0.219,92.31,0.996,0.923,0.3664,86.75,0.988,0.811
20,0.24113422558779785,0.1732,94.2,0.997,0.942,0.3182,87.54,0.989,0.836
21,0.23376420522142055,0.1506,95.02,0.997,0.95,0.2738,90.34,0.991,0.874
22,0.22562849543000635,0.1892,93.94,0.997,0.94,0.3945,86.82,0.988,0.82
23,0.21440111875106785,0.1537,94.8,0.997,0.948,0.3419,87.89,0.988,0.841
24,0.2063962196977976,0.1437,95.47,0.998,0.955,0.2787,89.88,0.99,0.866
25,0.198496325261971,0.1859,93.77,0.997,0.936,0.3205,87.94,0.991,0.839
26,0.18643089104777597,0.1213,96.19,0.998,0.961,0.2374,91.02,0.993,0.881
27,0.1838027697096589,0.1815,94.04,0.997,0.94,0.4544,84.83,0.985,0.818
28,0.17337326701450093,0.1576,94.76,0.998,0.947,0.3748,88.03,0.99,0.834
29,0.1717759342697252,0.16,94.54,0.998,0.945,0.3736,87.87,0.988,0.827
30,0.15994315803398154,0.1377,95.27,0.999,0.952,0.3096,89.36,0.99,0.843
31,0.1532517227888321,0.1172,96.17,0.999,0.962,0.4233,86.61,0.985,0.819
32,0.1505171355113761,0.107,96.42,0.999,0.964,0.3356,88.47,0.989,0.851
33,0.1397317893816472,0.106,96.63,0.999,0.966,0.2756,90.49,0.991,0.875
34,0.13477507736333597,0.1156,96.1,0.999,0.96,0.2966,89.52,0.991,0.853
35,0.12706981515211443,0.0861,97.15,0.999,0.971,0.2975,90.16,0.99,0.867
36,0.12150292095184112,0.088,97.1,0.999,0.971,0.2531,91.3,0.992,0.879
37,0.11742175686570372,0.0827,97.23,0.999,0.972,0.2458,91.6,0.992,0.884
38,0.11156252995266923,0.081,97.34,0.999,0.973,0.3297,89.45,0.989,0.855
39,0.10485521323084297,0.0761,97.46,0.999,0.974,0.2917,90.15,0.991,0.862
40,0.1015616390840768,0.0754,97.51,0.999,0.975,0.2863,90.84,0.991,0.877
41,0.09679026935269595,0.0724,97.65,0.999,0.976,0.269,90.84,0.992,0.877
42,0.09095836010858363,0.063,97.85,1.0,0.978,0.2628,91.2,0.992,0.875
43,0.08863520193811653,0.0679,97.65,0.999,0.976,0.2763,91.06,0.991,0.874
44,0.0852447262027144,0.0669,97.69,0.999,0.977,0.2926,90.12,0.991,0.863
45,0.08411060007769734,0.0611,97.96,1.0,0.979,0.2863,90.75,0.991,0.874
46,0.08030232454993926,0.0609,97.96,1.0,0.979,0.2745,90.95,0.992,0.876
47,0.07715654784085824,0.0604,97.97,1.0,0.98,0.2666,91.19,0.993,0.879
48,0.07714425858217008,0.0605,98.01,1.0,0.98,0.2748,91.09,0.992,0.878
49,0.07484606518093029,0.0606,97.99,1.0,0.98,0.2777,91.0,0.992,0.877
