epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4130087781123364,0.9121,65.6,0.93,0.629,2.6918,15.6,0.668,0.181
1,1.9779720699488048,0.957,61.21,0.926,0.563,3.041,13.2,0.591,0.091
2,1.3149882606280747,0.7611,70.17,0.95,0.682,2.7305,19.91,0.712,0.214
3,1.1182952498663283,0.7968,71.79,0.951,0.704,1.7592,42.89,0.759,0.405
4,0.9579960484872155,0.7569,69.43,0.964,0.643,2.8984,17.61,0.718,0.201
5,0.7885566296917136,0.483,83.81,0.984,0.826,1.1996,60.68,0.88,0.53
6,0.6920388096335969,0.3147,88.92,0.993,0.881,0.6744,77.59,0.954,0.689
7,0.5948372888896201,0.4023,86.34,0.988,0.858,0.8381,72.4,0.949,0.636
8,0.5135685908591449,0.3081,89.82,0.993,0.897,0.6635,75.87,0.962,0.691
9,0.4888506049430498,0.3404,88.35,0.991,0.881,0.5344,81.81,0.971,0.755
10,0.41451559999563786,0.2248,92.44,0.995,0.923,0.3484,86.03,0.989,0.813
11,0.38116940630326135,0.2913,90.46,0.993,0.902,0.4829,82.33,0.982,0.771
12,0.3846780213937965,0.2954,89.86,0.992,0.897,0.3326,88.62,0.989,0.845
13,0.33619143130210993,0.1919,93.6,0.997,0.935,0.2324,91.57,0.993,0.879
14,0.33338481377423024,0.2202,92.37,0.996,0.924,0.2534,90.27,0.992,0.861
15,0.32134791426227083,0.1475,95.32,0.998,0.952,0.29,90.12,0.99,0.862
16,0.3205510611081743,0.1874,93.53,0.997,0.935,0.214,92.06,0.994,0.895
17,0.30499962591115504,0.213,93.09,0.995,0.931,0.3202,88.54,0.988,0.834
18,0.30149876372387974,0.1925,93.73,0.996,0.937,0.3684,86.97,0.987,0.82
19,0.28608298574083596,0.2271,92.06,0.997,0.917,0.3724,86.53,0.986,0.804
20,0.2720588809647013,0.1387,95.67,0.998,0.956,0.2368,90.78,0.993,0.87
21,0.264699524088252,0.1566,94.76,0.997,0.947,0.2628,90.7,0.992,0.873
22,0.25812089345735034,0.1229,96.13,0.998,0.961,0.2193,91.77,0.994,0.878
23,0.24722678625562286,0.1327,95.79,0.998,0.958,0.195,92.34,0.995,0.883
24,0.23933291337769946,0.1871,93.77,0.997,0.938,0.4113,86.06,0.988,0.81
25,0.22639330479192904,0.1233,96.15,0.998,0.961,0.2929,90.34,0.992,0.88
26,0.22139099496667103,0.1329,95.55,0.998,0.954,0.2424,91.36,0.992,0.874
27,0.21185441050798662,0.1486,94.85,0.998,0.947,0.2615,90.67,0.993,0.882
28,0.20145535724751626,0.107,96.56,0.999,0.966,0.268,90.49,0.993,0.869
29,0.19255116688067553,0.1124,96.38,0.999,0.963,0.2191,91.95,0.995,0.892
30,0.18255029622078156,0.1103,96.3,0.999,0.963,0.2752,91.11,0.993,0.878
31,0.17422740612726484,0.0994,96.73,0.999,0.967,0.2248,91.69,0.995,0.892
32,0.16680885351339764,0.1035,96.69,0.999,0.966,0.2123,92.07,0.995,0.892
33,0.15560388162157976,0.0891,97.09,0.999,0.971,0.2372,91.66,0.994,0.885
34,0.14860885773241306,0.0749,97.58,0.999,0.976,0.213,92.61,0.995,0.898
35,0.1358336948415792,0.0708,97.63,0.999,0.976,0.2054,93.48,0.994,0.911
36,0.1274135743124297,0.0807,97.29,0.999,0.972,0.2053,92.61,0.995,0.902
37,0.11743968894277904,0.0658,97.89,1.0,0.979,0.1849,93.43,0.995,0.907
38,0.10626684113048471,0.0617,98.05,1.0,0.98,0.1798,93.98,0.996,0.916
39,0.10000369250507338,0.0556,98.23,1.0,0.982,0.1708,93.92,0.996,0.914
40,0.09208282089782177,0.0575,98.14,1.0,0.981,0.1829,93.81,0.996,0.913
41,0.08010930009686978,0.0478,98.44,1.0,0.984,0.1551,94.36,0.996,0.92
42,0.07216515926991365,0.0415,98.69,1.0,0.987,0.1948,93.21,0.995,0.901
43,0.06714386351600182,0.0429,98.57,1.0,0.986,0.1698,93.87,0.996,0.913
44,0.059211378927112264,0.0378,98.73,1.0,0.987,0.176,93.98,0.996,0.917
45,0.05099404831734022,0.037,98.77,1.0,0.987,0.1869,93.9,0.995,0.914
46,0.04636591900887776,0.0375,98.78,1.0,0.988,0.1878,94.05,0.996,0.917
47,0.04317695655823288,0.0354,98.83,1.0,0.988,0.1839,94.17,0.996,0.919
48,0.03739465832690238,0.0331,98.9,1.0,0.989,0.1908,93.89,0.995,0.914
49,0.030477070338076055,0.0315,98.97,1.0,0.99,0.2129,93.18,0.995,0.902
