epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8859772425825878,1.362,53.12,0.878,0.477,1.7889,24.14,0.77,0.234
1,2.0823157589922667,0.9618,68.08,0.939,0.654,1.206,57.63,0.878,0.486
2,1.3331372543475106,0.8444,69.85,0.948,0.677,1.3674,50.51,0.878,0.439
3,0.9979497727313776,0.6606,76.58,0.968,0.765,0.9073,63.1,0.933,0.615
4,0.6584835865377953,0.3442,88.5,0.989,0.884,0.5839,78.32,0.965,0.742
5,0.5064838128064268,0.3541,87.91,0.991,0.877,0.679,76.27,0.971,0.694
6,0.434124504473047,0.4051,86.06,0.991,0.859,0.5505,79.85,0.975,0.758
7,0.38482372753829514,0.1993,93.75,0.996,0.937,0.2627,90.3,0.991,0.874
8,0.34621888770317943,0.2322,92.55,0.995,0.924,0.3662,87.75,0.988,0.824
9,0.32010824230623075,0.2685,91.86,0.994,0.917,0.2936,89.55,0.99,0.864
10,0.2967691272497177,0.1579,95.04,0.998,0.95,0.5028,84.16,0.986,0.788
11,0.28496564088863285,0.161,94.86,0.997,0.948,0.339,88.5,0.985,0.847
12,0.2655819853013348,0.1659,94.31,0.998,0.944,0.4307,87.59,0.984,0.837
13,0.2525858449011934,0.1569,94.79,0.998,0.947,0.2901,89.83,0.992,0.861
14,0.2403122610863178,0.1185,96.22,0.998,0.962,0.1983,92.66,0.994,0.902
15,0.23086318525896277,0.1275,95.9,0.998,0.958,0.2259,92.09,0.992,0.895
16,0.22562269594079704,0.1229,95.96,0.999,0.959,0.3341,87.98,0.992,0.841
17,0.21561654639767489,0.1542,94.96,0.998,0.95,0.3493,88.2,0.988,0.839
18,0.20293642206644927,0.1075,96.66,0.999,0.966,0.2616,91.43,0.992,0.876
19,0.20156351669180778,0.133,95.64,0.998,0.955,0.3356,87.45,0.991,0.829
20,0.19277273581820578,0.0895,97.18,0.999,0.971,0.401,87.57,0.991,0.832
21,0.1873481653790961,0.0872,97.19,0.999,0.971,0.2419,91.13,0.994,0.884
22,0.17766828584654998,0.1051,96.9,0.999,0.968,0.3067,89.29,0.994,0.851
23,0.17100908402286763,0.1091,96.43,0.999,0.964,0.2682,90.87,0.993,0.865
24,0.16821199415191526,0.1021,96.62,0.999,0.966,0.212,92.17,0.993,0.896
25,0.15861333472700956,0.077,97.44,0.999,0.974,0.2173,92.14,0.994,0.886
26,0.15388658664132532,0.0801,97.41,0.999,0.973,0.191,92.69,0.995,0.897
27,0.14724470011382548,0.0756,97.42,0.999,0.974,0.2675,90.81,0.993,0.877
28,0.1455692054710508,0.0635,98.04,0.999,0.98,0.1684,93.65,0.996,0.913
29,0.13869033659070623,0.0672,97.84,1.0,0.978,0.163,93.92,0.996,0.917
30,0.12772168952130503,0.0735,97.72,0.999,0.976,0.2173,92.28,0.994,0.901
31,0.12433704788592981,0.0616,98.07,0.999,0.98,0.2103,92.44,0.994,0.895
32,0.12108151035843998,0.0603,98.13,1.0,0.981,0.1981,93.08,0.994,0.902
33,0.11664730256363269,0.0557,98.17,1.0,0.981,0.1898,93.49,0.995,0.91
34,0.1072684125006733,0.0569,98.19,1.0,0.982,0.1485,94.96,0.997,0.928
35,0.10309335462228265,0.0579,98.23,1.0,0.982,0.2179,92.74,0.994,0.901
36,0.09629257749699349,0.0499,98.25,1.0,0.982,0.2754,92.23,0.993,0.899
37,0.09509788110591871,0.0431,98.56,1.0,0.985,0.231,92.91,0.993,0.903
38,0.08979927256910337,0.0493,98.37,1.0,0.983,0.1833,93.84,0.996,0.913
39,0.08693173094101811,0.0428,98.55,1.0,0.985,0.1935,93.27,0.995,0.908
40,0.0805996820250506,0.0384,98.8,1.0,0.988,0.1778,94.02,0.996,0.918
41,0.07552741544561521,0.0402,98.79,1.0,0.987,0.2077,93.6,0.995,0.914
42,0.07240872855354968,0.0366,98.81,1.0,0.988,0.1648,94.62,0.996,0.926
43,0.06895726841897787,0.0358,98.85,1.0,0.988,0.1532,94.77,0.997,0.928
44,0.06831604515212358,0.0333,98.91,1.0,0.989,0.184,94.16,0.995,0.919
45,0.06486395046141626,0.0336,98.92,1.0,0.989,0.1755,94.28,0.996,0.922
46,0.0637931272130473,0.0331,98.93,1.0,0.989,0.1665,94.62,0.996,0.927
47,0.060827560485824675,0.0335,98.94,1.0,0.989,0.1719,94.57,0.996,0.927
48,0.06081983498815033,0.0324,98.94,1.0,0.989,0.1797,94.2,0.996,0.921
49,0.06051347008989757,0.0318,98.99,1.0,0.99,0.18,94.28,0.996,0.923
