epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.413742360675634,1.0438,55.47,0.913,0.532,2.7445,10.0,0.669,0.089
1,2.3375804890013936,1.3356,47.03,0.873,0.403,2.4014,18.33,0.678,0.18
2,1.355337819531827,0.8484,67.22,0.938,0.645,2.1153,33.16,0.694,0.305
3,1.1794243338501154,0.7496,71.53,0.955,0.705,1.6974,41.89,0.794,0.399
4,0.9906684314585074,0.5596,79.44,0.977,0.785,1.9826,36.67,0.818,0.327
5,0.8634013934161073,0.6881,74.14,0.973,0.741,1.3328,51.33,0.882,0.492
6,0.7843891574223409,0.4649,82.6,0.986,0.806,0.9507,66.48,0.919,0.577
7,0.7247336049660987,0.7051,75.27,0.967,0.734,1.1583,57.59,0.902,0.524
8,0.6582723736869819,0.4248,87.36,0.987,0.871,0.8364,70.42,0.94,0.643
9,0.6378303305596433,0.391,87.08,0.988,0.867,0.5805,79.76,0.97,0.735
10,0.5777667157592312,0.3089,89.82,0.991,0.897,0.6298,77.88,0.964,0.732
11,0.5392861355456614,0.2718,91.29,0.993,0.912,0.677,75.87,0.961,0.704
12,0.5298771528814215,0.315,89.6,0.992,0.893,0.5407,80.81,0.975,0.764
13,0.4539179237539409,0.3151,89.49,0.992,0.891,0.4528,83.36,0.977,0.766
14,0.4487510916766941,0.6805,86.21,0.981,0.856,0.8796,81.05,0.97,0.763
15,0.4266985726399234,0.2675,90.49,0.994,0.902,0.4305,82.41,0.98,0.771
16,0.4101528676099888,0.2826,89.92,0.994,0.897,0.4375,83.97,0.981,0.786
17,0.39012266755584746,0.2061,93.13,0.996,0.93,0.316,88.09,0.987,0.841
18,0.3668561625731675,0.2333,92.49,0.995,0.922,0.4766,82.74,0.98,0.795
19,0.3552081672120906,0.247,92.02,0.995,0.918,0.3686,86.83,0.984,0.825
20,0.33944465627219517,0.1832,94.02,0.996,0.94,0.3708,87.08,0.983,0.831
21,0.3244296244502495,0.2281,92.25,0.995,0.921,0.3215,87.84,0.987,0.84
22,0.310457788968599,0.1827,94.06,0.996,0.939,0.3534,86.89,0.987,0.835
23,0.2991827396028358,0.1952,93.2,0.996,0.932,0.2935,89.77,0.989,0.86
24,0.2864340881426488,0.2518,91.11,0.996,0.913,0.463,84.11,0.983,0.788
25,0.27065760448681836,0.1572,95.06,0.997,0.95,0.3008,88.82,0.989,0.85
26,0.26449878338897953,0.1545,95.07,0.997,0.95,0.264,90.51,0.99,0.872
27,0.24802633440355673,0.1891,93.89,0.996,0.937,0.3742,86.18,0.984,0.821
28,0.2382901577165477,0.1792,94.11,0.997,0.94,0.3226,88.85,0.989,0.86
29,0.22891816558269618,0.1629,94.61,0.998,0.945,0.2867,88.6,0.989,0.84
30,0.21816088259220123,0.145,95.21,0.998,0.949,0.313,89.26,0.99,0.862
31,0.2093964389068038,0.1628,94.69,0.998,0.947,0.356,86.91,0.987,0.83
32,0.19674878584815184,0.1142,96.24,0.998,0.962,0.2221,91.62,0.993,0.883
33,0.18663331709374878,0.1115,96.48,0.999,0.965,0.3012,89.39,0.99,0.847
34,0.17478981751641492,0.095,96.9,0.999,0.969,0.2495,90.57,0.992,0.877
35,0.16538536605361756,0.1233,95.95,0.999,0.959,0.3439,88.28,0.986,0.84
36,0.15863692921362685,0.0951,96.88,0.999,0.968,0.2491,90.84,0.993,0.882
37,0.1459990210637557,0.0801,97.45,0.999,0.974,0.2719,90.04,0.991,0.869
38,0.13054555305363244,0.0905,97.09,0.999,0.97,0.2792,90.42,0.991,0.875
39,0.12513616454777537,0.0677,97.84,0.999,0.978,0.315,89.75,0.99,0.87
40,0.11346901632932192,0.0656,97.95,0.999,0.979,0.2592,91.79,0.992,0.886
41,0.1016344869672905,0.0565,98.23,1.0,0.982,0.2641,91.08,0.992,0.875
42,0.09274753602555416,0.0532,98.3,1.0,0.983,0.2727,91.69,0.991,0.882
43,0.08226415113375712,0.051,98.31,1.0,0.983,0.273,91.69,0.991,0.885
44,0.07628691482347666,0.0485,98.46,1.0,0.984,0.3059,90.73,0.99,0.874
45,0.06690661577294217,0.0482,98.46,1.0,0.984,0.2888,91.35,0.99,0.88
46,0.061855975328193556,0.0464,98.51,1.0,0.985,0.2755,91.39,0.991,0.88
47,0.05616559440396913,0.0441,98.61,1.0,0.986,0.2893,91.39,0.991,0.88
48,0.049538821028712404,0.0432,98.66,1.0,0.986,0.3002,91.14,0.99,0.877
49,0.04098731865538918,0.0423,98.67,1.0,0.986,0.2968,90.83,0.99,0.87
epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4505197347065026,0.948,62.4,0.923,0.584,2.2969,27.38,0.689,0.225
1,2.154352290655977,1.1408,53.72,0.887,0.451,2.9477,11.59,0.619,0.092
2,1.4252442743188591,1.0739,57.24,0.897,0.512,2.8243,18.76,0.621,0.204
3,1.3622454610990367,1.5482,49.57,0.908,0.459,3.0428,8.76,0.607,0.097
4,1.1791259041823794,0.6678,74.5,0.965,0.724,2.0189,33.73,0.761,0.286
5,1.0463554540308573,0.8731,65.8,0.96,0.644,1.4856,46.19,0.888,0.411
6,0.8404476497335673,0.6313,75.8,0.979,0.753,1.4443,55.2,0.895,0.466
7,0.7055742177965393,0.5369,81.14,0.979,0.809,0.7117,76.24,0.959,0.68
8,0.6085130242784391,0.3912,86.72,0.988,0.865,0.6026,79.85,0.968,0.731
9,0.5891155533252224,0.5288,81.91,0.981,0.816,1.0505,69.64,0.94,0.621
10,0.5312074338449799,0.4098,85.93,0.988,0.861,0.9639,67.35,0.958,0.624
11,0.5110253176408216,0.3282,89.08,0.991,0.89,0.6817,75.81,0.968,0.693
12,0.5127145114177871,0.3241,89.06,0.991,0.887,0.6756,75.65,0.968,0.707
13,0.46489779763324285,0.3154,89.09,0.992,0.889,0.3571,87.51,0.984,0.82
14,0.45644360036993115,0.5059,82.97,0.988,0.833,0.8445,71.36,0.963,0.659
15,0.4406125348421835,0.237,92.11,0.995,0.92,0.429,84.57,0.986,0.809
16,0.4225788866453487,0.2539,91.28,0.995,0.911,0.4137,85.93,0.984,0.81
17,0.3993147505734343,0.3125,88.73,0.993,0.885,0.4539,84.86,0.983,0.794
18,0.37547613842593086,0.4111,86.84,0.988,0.864,0.7021,77.01,0.973,0.74
19,0.35711343932269296,0.249,91.92,0.995,0.917,0.3167,88.36,0.987,0.845
20,0.33495222655622336,0.2098,93.2,0.996,0.932,0.3031,88.74,0.988,0.848
21,0.31858288831875314,0.2318,92.1,0.995,0.92,0.3153,88.8,0.987,0.848
22,0.3133928791142493,0.2451,91.54,0.994,0.917,0.3732,85.84,0.983,0.805
23,0.2924054244726789,0.188,93.99,0.997,0.939,0.2419,91.11,0.992,0.881
24,0.27266491076318167,0.1729,94.28,0.997,0.943,0.3469,87.21,0.988,0.827
25,0.26360448033258477,0.2168,92.83,0.996,0.928,0.3023,89.75,0.99,0.863
26,0.2524329548347808,0.1968,93.31,0.997,0.933,0.2379,92.04,0.994,0.888
27,0.23758838472614152,0.1919,93.7,0.997,0.936,0.3178,88.95,0.991,0.846
28,0.22504557363395195,0.154,94.84,0.998,0.948,0.2776,89.88,0.991,0.861
29,0.21620740741491318,0.2088,93.01,0.997,0.93,0.4306,85.96,0.986,0.809
30,0.20366552572256774,0.1233,95.9,0.998,0.959,0.239,91.5,0.992,0.88
31,0.1901118650858868,0.1387,95.5,0.998,0.955,0.31,88.69,0.99,0.841
32,0.182656544003649,0.1221,95.94,0.998,0.959,0.2374,91.46,0.993,0.881
33,0.1721056034407949,0.1193,95.97,0.998,0.959,0.2807,89.78,0.992,0.865
34,0.16263859376551643,0.0942,96.94,0.999,0.969,0.2325,92.06,0.993,0.896
35,0.15206823762052268,0.0928,97.06,0.999,0.97,0.2166,92.58,0.993,0.899
