epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.677234580439906,1.1281,62.59,0.917,0.628,1.3798,45.82,0.845,0.45
1,1.87446126587502,1.3102,51.79,0.884,0.501,1.727,32.69,0.854,0.271
2,1.2392667202966614,1.0744,56.99,0.925,0.527,1.2784,47.81,0.898,0.523
3,0.7177057640633703,0.4864,82.99,0.983,0.826,0.8172,65.53,0.97,0.643
4,0.44611665870874156,0.3067,88.81,0.991,0.886,0.426,82.98,0.982,0.791
5,0.3307076240739515,0.1988,93.69,0.996,0.937,0.3421,88.77,0.988,0.855
6,0.2759298085498767,0.2425,92.36,0.995,0.924,0.5406,81.53,0.981,0.774
7,0.24844523650130063,0.187,93.68,0.997,0.938,0.4933,83.48,0.98,0.801
8,0.21898937827530301,0.137,95.49,0.998,0.955,0.3586,88.28,0.99,0.842
9,0.21129007924575105,0.2528,91.4,0.995,0.914,0.3724,86.39,0.989,0.841
10,0.19590183669253916,0.2022,92.98,0.997,0.931,0.4405,87.59,0.982,0.836
11,0.17935866956001542,0.1319,95.89,0.998,0.958,0.3685,87.87,0.987,0.857
12,0.17138366311067535,0.1302,95.81,0.998,0.959,0.337,90.53,0.989,0.874
13,0.15935466578730972,0.109,96.57,0.999,0.965,0.3309,89.01,0.988,0.871
14,0.15675396221860122,0.1059,96.77,0.999,0.967,0.4664,88.0,0.985,0.836
15,0.14606713145090047,0.0969,97.1,0.999,0.971,0.3653,89.85,0.989,0.879
16,0.14075728760211056,0.1277,95.96,0.998,0.96,0.3164,88.36,0.991,0.859
17,0.13483382031775504,0.0861,97.26,0.999,0.972,0.3352,88.98,0.99,0.857
18,0.1269468611313237,0.1088,96.43,0.999,0.965,0.2914,89.97,0.993,0.868
19,0.12512621670747742,0.0875,97.31,0.999,0.973,0.3568,87.75,0.988,0.841
20,0.12026111075260733,0.0689,97.77,0.999,0.978,0.2817,91.16,0.992,0.892
21,0.11515358357112788,0.0707,97.69,0.999,0.977,0.4285,87.43,0.985,0.839
22,0.11145268432715888,0.0713,97.83,0.999,0.978,0.3664,88.38,0.993,0.844
23,0.10797947810755835,0.0697,97.72,0.999,0.977,0.1919,93.12,0.996,0.907
24,0.10390917002139981,0.0656,98.02,0.999,0.98,0.3532,89.03,0.99,0.863
25,0.09945296134305684,0.0677,97.92,0.999,0.979,0.3875,88.49,0.991,0.842
26,0.0959585976676755,0.082,97.53,0.999,0.975,0.2768,90.02,0.993,0.872
27,0.09401706241798924,0.0672,97.83,0.999,0.978,0.442,87.57,0.991,0.837
28,0.08990496566926386,0.0586,98.17,1.0,0.981,0.3834,87.51,0.991,0.848
29,0.08720978410867808,0.0648,98.03,0.999,0.98,0.2582,91.27,0.993,0.889
30,0.08249501528645661,0.0923,96.8,0.999,0.968,0.4792,86.15,0.98,0.822
31,0.07774839337955239,0.051,98.43,1.0,0.984,0.4277,89.12,0.989,0.852
32,0.0718595025840626,0.0489,98.54,1.0,0.985,0.1808,94.25,0.996,0.922
33,0.07108130212205606,0.0526,98.45,1.0,0.984,0.252,91.47,0.995,0.888
34,0.06997760554348323,0.0467,98.6,1.0,0.986,0.3094,90.59,0.993,0.879
35,0.06432788482096086,0.0413,98.75,1.0,0.987,0.2626,91.95,0.994,0.887
36,0.060927093467978914,0.0404,98.74,1.0,0.987,0.2347,93.12,0.993,0.907
37,0.05805642319856525,0.0368,98.86,1.0,0.988,0.251,92.93,0.993,0.904
38,0.054045107008682355,0.0384,98.86,1.0,0.988,0.2412,93.3,0.994,0.91
39,0.050152869092293856,0.0379,98.81,1.0,0.988,0.1966,94.22,0.995,0.923
40,0.04705001107553908,0.0333,98.94,1.0,0.989,0.25,93.51,0.992,0.911
41,0.04597721927829327,0.0337,98.97,1.0,0.99,0.2235,93.37,0.993,0.912
42,0.04476886011299587,0.0331,99.02,1.0,0.99,0.234,93.26,0.994,0.915
43,0.04170601365847453,0.0315,99.04,1.0,0.99,0.2534,92.78,0.993,0.904
44,0.0399882249754443,0.0299,99.16,1.0,0.991,0.2535,92.59,0.994,0.904
45,0.03772731429620189,0.0303,99.12,1.0,0.991,0.239,93.02,0.994,0.908
46,0.038510545814496644,0.0297,99.09,1.0,0.991,0.2383,93.26,0.994,0.912
47,0.035461710380410315,0.0295,99.12,1.0,0.991,0.233,93.46,0.994,0.914
48,0.03695368059947553,0.0293,99.16,1.0,0.991,0.2396,93.13,0.993,0.909
49,0.036466605961322784,0.029,99.14,1.0,0.991,0.2459,93.02,0.993,0.908
