epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.4888366135004174,1.1152,55.91,0.906,0.539,2.3746,20.94,0.764,0.234
1,1.5037525357097707,1.3872,57.72,0.91,0.527,2.1953,37.17,0.868,0.368
2,0.8109255922310669,0.3784,87.02,0.986,0.87,1.0379,64.2,0.94,0.629
3,0.538764398371447,0.2887,90.03,0.992,0.899,0.6867,77.36,0.966,0.734
4,0.33087779103534626,0.2863,90.25,0.994,0.903,0.6552,78.08,0.97,0.719
5,0.24658673896210595,0.194,94.03,0.996,0.94,0.4392,84.68,0.981,0.819
6,0.21239018242632615,0.1924,93.82,0.997,0.936,0.6385,79.77,0.982,0.778
7,0.18234297273326733,0.1393,95.67,0.998,0.955,0.6625,80.91,0.978,0.783
8,0.16208281269877828,0.1399,95.55,0.998,0.955,0.8487,76.58,0.973,0.725
9,0.15012112589666493,0.1347,95.83,0.998,0.958,0.673,80.34,0.975,0.785
10,0.1367885585053153,0.1044,96.85,0.999,0.968,0.4624,87.05,0.984,0.825
11,0.1293457466841919,0.1186,96.17,0.999,0.961,0.5292,84.4,0.979,0.806
12,0.12282264425242354,0.118,96.34,0.999,0.962,0.6544,81.45,0.979,0.79
13,0.11760988275063188,0.0929,97.07,0.999,0.97,0.5973,82.33,0.978,0.784
14,0.11167999161707778,0.0873,97.3,0.999,0.972,0.5508,85.8,0.982,0.827
15,0.10505970404399927,0.1386,95.8,0.998,0.956,0.5837,83.96,0.982,0.831
16,0.10375639830639179,0.0758,97.49,0.999,0.975,0.46,86.89,0.983,0.841
17,0.10020169436157177,0.09,97.11,0.999,0.971,0.6753,83.81,0.981,0.794
18,0.09564857372820484,0.0884,97.21,0.999,0.971,0.5758,83.42,0.986,0.792
19,0.09359886684525077,0.0685,97.91,0.999,0.979,0.4161,87.19,0.989,0.844
20,0.08865016840371608,0.0717,97.7,0.999,0.977,0.4708,87.54,0.987,0.833
21,0.08719153469595324,0.0978,96.91,0.999,0.969,0.5787,81.9,0.982,0.79
22,0.08248179782629281,0.0584,98.16,1.0,0.981,0.4581,87.62,0.985,0.851
23,0.07886130310508245,0.0585,98.14,1.0,0.981,0.3468,91.05,0.985,0.883
24,0.07568535514302739,0.0748,97.67,0.999,0.977,0.496,84.45,0.99,0.794
25,0.07082351456032432,0.0645,97.93,1.0,0.979,0.5511,86.37,0.983,0.813
26,0.0706340038070729,0.0722,97.69,0.999,0.977,0.433,88.24,0.989,0.856
27,0.06781421488444704,0.0543,98.24,1.0,0.982,0.341,89.59,0.992,0.859
28,0.06633789928155988,0.0499,98.4,1.0,0.984,0.5131,87.75,0.981,0.86
29,0.061407731477117776,0.0633,98.05,1.0,0.98,0.4935,87.21,0.985,0.85
30,0.060548328352244205,0.0524,98.2,1.0,0.982,0.4563,86.85,0.989,0.837
31,0.056386111107217585,0.0496,98.37,1.0,0.984,0.5041,87.05,0.98,0.844
32,0.053101534746573927,0.0488,98.45,1.0,0.984,0.3854,89.8,0.987,0.877
33,0.0506278318069261,0.0507,98.45,1.0,0.984,0.4036,90.53,0.982,0.886
34,0.04706738437742903,0.0364,98.95,1.0,0.989,0.3642,90.15,0.992,0.869
35,0.04674738639545056,0.0456,98.51,1.0,0.985,0.4053,89.26,0.988,0.866
36,0.04394025764658406,0.0364,98.81,1.0,0.988,0.5008,88.73,0.982,0.861
37,0.040811119440902946,0.0344,98.93,1.0,0.989,0.5392,87.78,0.982,0.852
38,0.03897541866380735,0.0313,99.06,1.0,0.99,0.4905,88.58,0.983,0.851
39,0.03503667695721525,0.0346,98.9,1.0,0.989,0.5038,86.99,0.982,0.851
40,0.03377491905851336,0.0288,99.13,1.0,0.991,0.5573,87.92,0.975,0.852
41,0.031114153518912294,0.0293,99.13,1.0,0.991,0.4871,88.77,0.98,0.858
42,0.030781245843831143,0.028,99.17,1.0,0.992,0.5331,87.0,0.983,0.84
43,0.027439546103732775,0.0278,99.16,1.0,0.991,0.5907,85.14,0.981,0.826
44,0.026783695551283043,0.0253,99.19,1.0,0.992,0.5589,86.77,0.98,0.84
45,0.02610547181826392,0.0255,99.23,1.0,0.992,0.5657,86.15,0.98,0.832
46,0.02416218193181153,0.025,99.23,1.0,0.992,0.5169,87.7,0.982,0.848
47,0.02400791606996008,0.0246,99.25,1.0,0.992,0.5289,87.04,0.982,0.842
48,0.023838327084350863,0.0244,99.24,1.0,0.992,0.551,86.42,0.981,0.835
49,0.023181093310917257,0.0242,99.25,1.0,0.992,0.5575,86.58,0.981,0.836
