epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8050599702797483,1.1558,56.02,0.901,0.527,1.4301,51.02,0.808,0.434
1,1.968654549036402,1.4757,41.92,0.832,0.368,1.7312,32.2,0.808,0.216
2,1.393427068400981,0.9209,65.6,0.941,0.644,0.9991,63.13,0.926,0.527
3,0.820977201758747,0.6599,75.44,0.975,0.728,0.9007,67.24,0.938,0.602
4,0.5443500332187153,0.3438,87.78,0.99,0.879,0.5234,78.68,0.973,0.731
5,0.4304021467658354,0.3677,86.55,0.991,0.862,0.8174,71.09,0.955,0.673
6,0.3734663328603177,0.2453,91.64,0.994,0.917,0.5485,79.31,0.979,0.748
7,0.3371274990019619,0.1992,93.19,0.996,0.932,0.3921,85.44,0.985,0.821
8,0.3001320358352422,0.211,92.91,0.995,0.928,0.3274,87.83,0.987,0.833
9,0.28440912046526495,0.2601,91.32,0.994,0.911,0.4162,85.33,0.986,0.826
10,0.26419166273914785,0.1861,93.7,0.996,0.938,0.5543,79.84,0.977,0.759
11,0.24556205680720694,0.1883,93.73,0.996,0.938,0.5227,83.25,0.977,0.783
12,0.237749993440605,0.2126,93.26,0.996,0.933,0.4879,85.36,0.978,0.809
13,0.2230679496962537,0.1581,94.91,0.997,0.949,0.4233,86.69,0.983,0.83
14,0.21577407876330038,0.1459,95.17,0.998,0.95,0.4328,85.32,0.986,0.812
15,0.2077086090534178,0.1433,95.4,0.998,0.953,0.4286,84.76,0.983,0.811
16,0.19955801285509567,0.135,95.43,0.998,0.955,0.3133,88.33,0.989,0.851
17,0.1965449754028551,0.1128,96.53,0.998,0.965,0.3195,88.96,0.987,0.854
18,0.18305934880155816,0.1163,96.0,0.998,0.96,0.3489,87.59,0.99,0.835
19,0.18210863629122362,0.146,95.19,0.998,0.95,0.485,83.04,0.983,0.803
20,0.17607215225803383,0.1309,95.84,0.998,0.958,0.3662,89.89,0.987,0.858
21,0.1708418459741659,0.1012,96.84,0.999,0.968,0.4633,85.5,0.985,0.814
22,0.16105186389792564,0.1198,96.15,0.998,0.961,0.5897,81.26,0.982,0.776
23,0.15934367906502497,0.1366,95.3,0.998,0.951,0.3382,88.28,0.987,0.85
24,0.15493140822964116,0.1047,96.59,0.999,0.966,0.3147,90.21,0.99,0.86
25,0.14303038942237054,0.1239,95.97,0.998,0.96,0.3375,89.7,0.987,0.861
26,0.14664378982558046,0.0996,96.72,0.999,0.967,0.251,91.6,0.993,0.891
27,0.1374292170435297,0.0947,96.94,0.999,0.969,0.3725,87.21,0.987,0.831
28,0.13208795755794506,0.0821,97.33,0.999,0.973,0.3529,90.49,0.99,0.873
29,0.12925904481855344,0.0884,97.0,0.999,0.97,0.3038,89.85,0.993,0.859
30,0.12699687023610412,0.0726,97.76,0.999,0.978,0.3367,88.76,0.989,0.848
31,0.12030377142518545,0.0816,97.25,0.999,0.973,0.3051,89.66,0.991,0.871
32,0.11629316814938113,0.0764,97.53,0.999,0.976,0.3166,90.75,0.99,0.873
33,0.11540259818770125,0.0817,97.45,0.999,0.974,0.3189,89.94,0.99,0.875
34,0.10936119654766654,0.068,97.9,0.999,0.979,0.2885,90.27,0.993,0.861
35,0.1029220874985433,0.0631,97.92,1.0,0.979,0.3462,89.66,0.99,0.857
36,0.09963790866743279,0.0637,97.9,0.999,0.979,0.2905,91.47,0.99,0.884
37,0.09500473146710718,0.0599,98.14,1.0,0.981,0.3229,90.7,0.99,0.877
38,0.09184263258050847,0.06,98.09,0.999,0.981,0.2367,92.67,0.993,0.9
39,0.08786799716279178,0.0545,98.19,1.0,0.982,0.2367,92.99,0.993,0.904
40,0.08533253073759084,0.0557,98.16,1.0,0.981,0.3018,91.14,0.99,0.88
41,0.07992625941512405,0.0594,98.12,1.0,0.981,0.2904,92.03,0.991,0.891
42,0.08024753340917196,0.0496,98.33,1.0,0.983,0.2853,91.47,0.992,0.88
43,0.07597622249983117,0.0528,98.37,1.0,0.984,0.2892,91.39,0.992,0.88
44,0.07237963442019718,0.058,98.24,1.0,0.982,0.3175,91.43,0.99,0.88
45,0.06993488840071158,0.0493,98.36,1.0,0.984,0.28,91.92,0.992,0.887
46,0.06953939859418191,0.0508,98.44,1.0,0.984,0.2826,92.31,0.992,0.892
47,0.06720459779831298,0.0482,98.42,1.0,0.984,0.2771,92.15,0.992,0.892
48,0.0666963854123668,0.0483,98.45,1.0,0.984,0.2839,92.1,0.992,0.89
49,0.06664833314983862,0.049,98.48,1.0,0.985,0.288,92.07,0.992,0.89
