epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.5076798907744844,2.6134,28.81,0.641,0.183,1.9882,25.39,0.669,0.163
1,2.2159675005088997,2.0086,21.53,0.65,0.095,2.0334,32.97,0.597,0.119
2,2.0266396676767684,1.5804,39.41,0.811,0.307,1.6823,32.73,0.761,0.214
3,1.5626519903487202,1.1304,56.89,0.899,0.538,1.2737,53.7,0.838,0.44
4,1.165805386920129,0.8499,68.38,0.941,0.677,1.1428,61.05,0.896,0.569
5,0.9569126728615026,0.6702,74.08,0.966,0.724,0.9241,71.2,0.943,0.654
6,0.8180853312160806,0.521,79.74,0.98,0.789,0.6023,78.54,0.969,0.736
7,0.7122519891108235,0.4485,83.63,0.984,0.84,0.6818,74.66,0.964,0.713
8,0.6380341050872665,0.4469,83.83,0.983,0.841,0.7492,73.87,0.956,0.669
9,0.5855460187226641,0.484,83.13,0.987,0.824,0.5889,80.59,0.977,0.756
10,0.5365355936643471,0.3362,88.39,0.991,0.886,0.5116,81.71,0.978,0.791
11,0.5015062813423441,0.4042,85.98,0.987,0.863,0.7839,75.71,0.961,0.718
12,0.4710962072175036,0.2598,91.31,0.994,0.914,0.5671,81.43,0.976,0.786
13,0.4413379704225875,0.2587,91.46,0.994,0.914,0.4356,84.37,0.98,0.803
14,0.4259310206899079,0.248,91.73,0.994,0.917,0.4789,82.03,0.983,0.791
15,0.4032246314229504,0.2307,92.28,0.995,0.924,0.4762,82.76,0.978,0.797
16,0.3878608594605145,0.2146,92.68,0.995,0.927,0.4879,83.91,0.98,0.813
17,0.37093585286302805,0.2133,92.7,0.995,0.928,0.4355,84.0,0.98,0.812
18,0.36098255892701475,0.1857,93.97,0.996,0.94,0.4646,83.53,0.979,0.805
19,0.345274369749758,0.2238,92.61,0.995,0.927,0.7099,75.78,0.967,0.724
20,0.33465158509417675,0.1587,94.88,0.997,0.949,0.4674,85.08,0.979,0.826
21,0.3224914883894305,0.1744,94.39,0.997,0.944,0.431,84.95,0.981,0.818
22,0.3131769163580778,0.1766,94.27,0.997,0.943,0.3646,86.88,0.984,0.836
23,0.30609024791414163,0.2041,93.15,0.996,0.933,0.5396,82.14,0.978,0.786
24,0.2895772299298676,0.1462,95.31,0.997,0.954,0.3977,85.55,0.984,0.825
25,0.2824956164511728,0.1514,95.17,0.998,0.952,0.3385,88.24,0.986,0.849
26,0.2709566461035855,0.1484,95.28,0.998,0.953,0.4584,84.0,0.981,0.812
27,0.2634727489403499,0.1289,95.71,0.998,0.957,0.4147,85.32,0.982,0.822
28,0.2569620950301061,0.143,95.31,0.998,0.954,0.4276,84.95,0.981,0.814
29,0.25008787947797007,0.1375,95.58,0.998,0.956,0.4546,84.16,0.98,0.8
30,0.2419410628336732,0.1377,95.55,0.998,0.956,0.4058,85.49,0.985,0.816
31,0.23394674345797536,0.1253,96.02,0.998,0.96,0.4035,86.56,0.983,0.827
32,0.2256432035570717,0.1277,95.91,0.998,0.96,0.5013,83.47,0.982,0.798
33,0.22006102169339803,0.1133,96.47,0.998,0.965,0.4789,84.13,0.981,0.802
34,0.21310884392015822,0.1162,96.31,0.998,0.963,0.4308,85.87,0.981,0.821
35,0.20486414401815356,0.1159,96.31,0.998,0.963,0.3657,87.75,0.986,0.841
36,0.19659799943581277,0.109,96.51,0.999,0.965,0.4992,84.08,0.98,0.802
37,0.19279796405825564,0.1035,96.68,0.999,0.967,0.4874,85.87,0.976,0.824
38,0.1822600347594121,0.101,96.8,0.999,0.968,0.5282,84.68,0.978,0.813
39,0.17722230541476425,0.09,97.21,0.999,0.972,0.4572,85.14,0.98,0.813
40,0.17230335653736173,0.0931,97.1,0.999,0.971,0.4319,86.33,0.982,0.832
41,0.1647665349359367,0.0863,97.35,0.999,0.974,0.496,85.17,0.979,0.818
42,0.15969513145719377,0.0897,97.28,0.999,0.973,0.4341,85.9,0.982,0.826
43,0.15895187496257726,0.0804,97.46,0.999,0.975,0.4119,86.96,0.984,0.83
44,0.14935613766739872,0.0831,97.44,0.999,0.975,0.4741,84.92,0.981,0.815
45,0.1459443006651162,0.0778,97.63,0.999,0.976,0.4307,86.45,0.983,0.829
46,0.14535719823212392,0.0807,97.58,0.999,0.976,0.4311,86.07,0.983,0.825
47,0.14244930282582305,0.078,97.66,0.999,0.977,0.4384,86.45,0.982,0.828
48,0.14181103754962218,0.0798,97.57,0.999,0.976,0.4655,85.69,0.981,0.819
49,0.14142739142568309,0.0777,97.65,0.999,0.977,0.4441,86.18,0.983,0.825
