epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8633734961991668,1.4457,48.64,0.862,0.432,1.5688,41.47,0.739,0.378
1,2.065064354182144,1.4224,47.62,0.845,0.429,1.5611,41.84,0.774,0.32
2,1.44015215107617,0.9264,65.59,0.928,0.648,1.0349,62.13,0.916,0.582
3,0.8541184213533196,0.4784,82.04,0.981,0.814,0.6791,74.53,0.962,0.68
4,0.5407272614672193,0.2893,89.78,0.992,0.896,0.3562,86.45,0.986,0.82
5,0.4180143260293537,0.2638,90.2,0.994,0.897,0.4998,82.44,0.977,0.769
6,0.3577898271835833,0.2126,93.23,0.995,0.932,0.5711,81.92,0.974,0.779
7,0.32380082872178817,0.1552,94.94,0.997,0.949,0.3376,87.29,0.988,0.832
8,0.2857406357683802,0.1645,94.62,0.997,0.945,0.3174,88.14,0.988,0.842
9,0.2767799983074802,0.257,90.74,0.995,0.906,0.4123,85.96,0.983,0.823
10,0.2581214184028273,0.1298,96.07,0.998,0.961,0.3536,87.65,0.985,0.835
11,0.2462702785021088,0.129,95.93,0.998,0.959,0.364,87.19,0.987,0.825
12,0.2365200757366141,0.1162,96.24,0.998,0.962,0.2948,89.74,0.991,0.86
13,0.22318910254586127,0.1152,96.57,0.998,0.966,0.3119,91.08,0.988,0.874
14,0.21910210985917344,0.128,95.78,0.998,0.957,0.2834,90.13,0.991,0.866
15,0.2102351836913589,0.1158,96.25,0.999,0.963,0.2515,90.89,0.991,0.876
16,0.2065473013427309,0.1347,95.63,0.999,0.956,0.2007,92.15,0.995,0.891
17,0.1967945088862732,0.1075,96.72,0.999,0.967,0.252,91.06,0.993,0.878
18,0.1903904802683327,0.1032,96.74,0.999,0.967,0.2559,90.86,0.993,0.881
19,0.18775012524377915,0.095,96.92,0.999,0.969,0.3652,87.83,0.989,0.855
20,0.1834113333961763,0.1092,96.35,0.999,0.962,0.2817,89.97,0.992,0.872
21,0.17524760513563095,0.1027,96.72,0.999,0.967,0.3617,89.01,0.986,0.858
22,0.16937467744273524,0.096,96.87,0.999,0.968,0.3024,89.59,0.992,0.869
23,0.1659292286749275,0.0816,97.46,0.999,0.974,0.2714,91.16,0.99,0.882
24,0.15867720298656,0.0862,97.38,0.999,0.974,0.4604,86.59,0.985,0.832
25,0.15433172111175822,0.0912,97.01,0.999,0.97,0.2394,91.87,0.993,0.886
26,0.149645539074068,0.0676,97.91,0.999,0.979,0.2326,92.22,0.993,0.892
27,0.1467367605202728,0.0795,97.72,0.999,0.977,0.2964,89.5,0.991,0.858
28,0.13789458881302546,0.0751,97.69,0.999,0.977,0.306,91.66,0.992,0.892
29,0.13878486045773097,0.0679,97.81,0.999,0.978,0.2577,92.09,0.992,0.896
30,0.13389731235268082,0.0643,97.98,0.999,0.98,0.2652,91.63,0.991,0.89
31,0.12799906755353602,0.0663,97.81,0.999,0.978,0.2585,91.93,0.991,0.891
32,0.12213452428071943,0.0573,98.11,1.0,0.981,0.2841,91.71,0.991,0.88
33,0.1198801527661021,0.0604,98.07,1.0,0.981,0.209,93.23,0.993,0.906
34,0.11180159844471456,0.0602,98.19,1.0,0.982,0.2925,91.69,0.992,0.885
35,0.10892123019983692,0.0524,98.37,1.0,0.984,0.2953,91.14,0.991,0.885
36,0.1055569553106863,0.0472,98.52,1.0,0.985,0.2781,91.63,0.992,0.888
37,0.10135131427771195,0.0457,98.56,1.0,0.985,0.2867,92.69,0.99,0.902
38,0.0992611321523839,0.0422,98.7,1.0,0.987,0.2693,92.45,0.99,0.894
39,0.09135142483458084,0.043,98.66,1.0,0.986,0.2295,93.07,0.992,0.909
40,0.08902032155122969,0.0436,98.62,1.0,0.986,0.2734,92.78,0.989,0.9
41,0.08414131301491919,0.0423,98.71,1.0,0.987,0.3281,91.82,0.987,0.896
42,0.08355326179121238,0.0391,98.75,1.0,0.987,0.2615,92.83,0.992,0.905
43,0.08101160665239644,0.0401,98.73,1.0,0.987,0.2912,92.03,0.99,0.894
44,0.07538454343921983,0.0374,98.85,1.0,0.988,0.3062,91.76,0.99,0.895
45,0.07354187117856142,0.0378,98.78,1.0,0.988,0.2535,93.3,0.992,0.909
46,0.07535462690296993,0.0371,98.84,1.0,0.988,0.2635,93.12,0.991,0.907
47,0.07141063730716438,0.0362,98.85,1.0,0.988,0.2644,92.91,0.991,0.905
48,0.07165190933011872,0.0361,98.86,1.0,0.988,0.2703,92.99,0.991,0.907
49,0.0700134420884259,0.0358,98.89,1.0,0.989,0.2674,93.0,0.991,0.907
