epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8266421421881645,0.9823,64.88,0.927,0.626,1.8349,35.31,0.768,0.346
1,1.9240502877474686,1.2179,50.9,0.872,0.453,1.497,45.44,0.821,0.386
2,1.2263108308170003,0.6923,74.57,0.964,0.729,0.9302,64.16,0.927,0.588
3,0.5212575153157275,0.2684,91.13,0.993,0.911,0.4559,85.24,0.981,0.787
4,0.3226763099618924,0.2573,91.54,0.994,0.916,0.5075,83.42,0.98,0.777
5,0.24410739682588098,0.2028,93.51,0.996,0.934,0.398,86.26,0.986,0.807
6,0.21042663614702908,0.1592,95.04,0.998,0.948,0.2906,88.99,0.995,0.851
7,0.18265785570640292,0.1038,96.95,0.999,0.969,0.269,91.63,0.992,0.886
8,0.16526306881218827,0.1711,94.9,0.997,0.949,0.2315,91.9,0.993,0.889
9,0.14997993065144427,0.1048,96.66,0.999,0.966,0.2282,91.93,0.996,0.884
10,0.1427666701002574,0.1253,95.87,0.999,0.959,0.475,86.86,0.99,0.804
11,0.13413105733479008,0.1148,96.31,0.999,0.964,0.4199,87.68,0.989,0.849
12,0.12838550889363853,0.1302,95.82,0.998,0.957,0.451,85.43,0.989,0.835
13,0.1212154340339444,0.0847,97.57,0.999,0.976,0.3174,89.36,0.989,0.861
14,0.1276978425628182,0.089,97.42,0.999,0.974,0.195,92.39,0.996,0.888
15,0.11461568895834215,0.0889,97.18,0.999,0.971,0.2428,91.73,0.994,0.892
16,0.10964263787352911,0.0826,97.39,0.999,0.974,0.2315,91.54,0.996,0.879
17,0.09942052161361101,0.0784,97.56,0.999,0.976,0.3551,88.09,0.992,0.833
18,0.09944826137528197,0.1091,96.45,0.999,0.964,0.2468,91.44,0.993,0.894
19,0.09786624640333183,0.0658,97.93,1.0,0.979,0.2539,91.68,0.993,0.887
20,0.09107404159662384,0.0998,96.58,0.999,0.966,0.5251,81.13,0.986,0.795
21,0.08781535498711103,0.0666,97.9,1.0,0.979,0.1968,93.73,0.994,0.917
22,0.08437462190606741,0.0589,98.13,1.0,0.981,0.2262,92.17,0.995,0.885
23,0.08430604915398317,0.059,98.21,1.0,0.982,0.2499,93.13,0.993,0.907
24,0.0775203804041536,0.0519,98.4,1.0,0.984,0.2269,92.94,0.994,0.899
25,0.07373691312334497,0.0499,98.54,1.0,0.985,0.2117,92.55,0.995,0.897
26,0.07626253449755277,0.0579,98.18,1.0,0.982,0.1888,93.7,0.995,0.91
27,0.06841122814350659,0.056,98.18,1.0,0.982,0.2246,92.88,0.994,0.901
28,0.06579043659444991,0.0475,98.58,1.0,0.985,0.2465,92.36,0.992,0.897
29,0.06534962741304255,0.0517,98.32,1.0,0.983,0.2367,92.72,0.995,0.904
30,0.06439380202522521,0.048,98.45,1.0,0.984,0.261,91.74,0.992,0.887
31,0.05832530607012064,0.0446,98.54,1.0,0.985,0.239,92.44,0.994,0.897
32,0.05571191931497239,0.0426,98.67,1.0,0.987,0.255,91.88,0.993,0.885
33,0.05292838171631845,0.0518,98.38,1.0,0.984,0.2766,90.9,0.992,0.872
34,0.05304351815867061,0.0448,98.6,1.0,0.986,0.1629,93.73,0.997,0.908
35,0.04687489374410561,0.0355,98.89,1.0,0.989,0.2366,92.8,0.994,0.905
36,0.045584000044545714,0.0393,98.79,1.0,0.988,0.2631,92.25,0.993,0.908
37,0.043463346746993856,0.0328,99.0,1.0,0.99,0.228,91.77,0.996,0.884
38,0.039434682682997754,0.0313,99.07,1.0,0.991,0.219,93.75,0.995,0.918
39,0.036680137421468466,0.0325,98.97,1.0,0.989,0.1805,94.52,0.996,0.929
40,0.033885504626485395,0.0277,99.13,1.0,0.991,0.187,94.06,0.996,0.921
41,0.03341228938511302,0.0288,99.07,1.0,0.991,0.2034,93.83,0.995,0.921
42,0.03264351968076013,0.0255,99.18,1.0,0.992,0.2077,93.92,0.996,0.921
43,0.03054694926673313,0.0253,99.21,1.0,0.992,0.2078,93.75,0.997,0.927
44,0.028461453755215933,0.0247,99.16,1.0,0.991,0.2205,93.49,0.996,0.923
45,0.026156817549525837,0.0241,99.22,1.0,0.992,0.2175,93.65,0.996,0.922
46,0.026396793520285025,0.0232,99.24,1.0,0.992,0.2141,94.03,0.996,0.928
47,0.02466491269828972,0.0228,99.22,1.0,0.992,0.2139,93.95,0.996,0.926
48,0.024876612594090804,0.0228,99.26,1.0,0.992,0.2047,94.03,0.996,0.926
49,0.024512055173089,0.0224,99.25,1.0,0.992,0.2099,94.0,0.996,0.926
