epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.499889317379203,1.7506,32.47,0.772,0.26,1.7327,37.0,0.757,0.306
1,2.126206032050553,1.6871,32.69,0.747,0.261,1.3434,46.49,0.809,0.338
2,1.2680246517008777,0.8391,71.21,0.95,0.703,0.9362,68.88,0.948,0.642
3,0.7740140611232396,0.68,73.23,0.968,0.712,0.6397,75.21,0.967,0.736
4,0.5547074401036813,0.4268,85.16,0.985,0.852,0.4692,81.62,0.982,0.763
5,0.45824337323399855,0.3182,88.93,0.991,0.884,0.5289,79.68,0.98,0.76
6,0.3955857736128633,0.2712,90.99,0.994,0.909,0.4445,83.94,0.982,0.806
7,0.3584203475345207,0.232,91.83,0.995,0.917,0.3162,87.95,0.989,0.84
8,0.3267770812022216,0.3819,88.12,0.99,0.875,0.6635,77.14,0.972,0.738
9,0.3073779933929016,0.3142,88.81,0.993,0.888,0.4878,82.46,0.978,0.766
10,0.29159128887572167,0.1718,94.82,0.997,0.948,0.3389,87.7,0.986,0.833
11,0.2737884936473703,0.1621,94.89,0.997,0.949,0.3087,89.53,0.988,0.865
12,0.26093778042222865,0.1786,94.33,0.997,0.942,0.4146,85.68,0.986,0.838
13,0.2518212812749075,0.1583,94.82,0.997,0.948,0.3517,87.81,0.986,0.85
14,0.2357430977873691,0.1734,94.44,0.997,0.944,0.3674,87.15,0.99,0.83
15,0.23097741028367405,0.1728,94.16,0.997,0.941,0.3207,88.41,0.989,0.856
16,0.2233826547033257,0.2203,92.29,0.997,0.924,0.4663,83.85,0.984,0.796
17,0.21615857883994083,0.1687,94.47,0.997,0.944,0.3776,86.86,0.989,0.823
18,0.21115874547150829,0.1722,94.54,0.997,0.945,0.3965,85.79,0.984,0.81
19,0.20407325856547842,0.1305,95.78,0.998,0.957,0.3161,89.14,0.987,0.861
20,0.19691888122789322,0.1653,94.75,0.998,0.946,0.4754,84.43,0.984,0.824
21,0.19460397867959886,0.1313,95.77,0.998,0.958,0.3557,87.3,0.986,0.851
22,0.186903802043755,0.1279,95.86,0.998,0.959,0.4372,83.56,0.985,0.798
23,0.18225601673339858,0.1083,96.33,0.999,0.963,0.255,90.72,0.991,0.879
24,0.17669091324946146,0.13,95.72,0.998,0.956,0.366,86.23,0.989,0.833
25,0.17214592333255488,0.1018,96.79,0.999,0.968,0.3232,88.63,0.99,0.849
26,0.16872546598181715,0.0926,97.11,0.999,0.971,0.2777,91.05,0.99,0.883
27,0.15840019262312346,0.094,97.05,0.999,0.97,0.359,87.08,0.986,0.834
28,0.15531116668602257,0.0856,97.27,0.999,0.973,0.3,89.91,0.988,0.863
29,0.15112011069198236,0.1,96.78,0.999,0.967,0.3348,89.47,0.988,0.86
30,0.1488271763274533,0.1074,96.57,0.999,0.966,0.4422,85.55,0.982,0.825
31,0.13994516984402705,0.0979,96.59,0.999,0.965,0.3352,88.49,0.987,0.848
32,0.1359632568714279,0.0853,97.17,0.999,0.972,0.3748,87.21,0.985,0.834
33,0.1298144789926681,0.0773,97.62,0.999,0.976,0.3063,90.1,0.988,0.875
34,0.12579146665804702,0.0792,97.56,0.999,0.976,0.2843,89.61,0.99,0.86
35,0.12256919875353789,0.0796,97.48,0.999,0.975,0.29,89.75,0.99,0.863
36,0.11332658767753605,0.0743,97.7,0.999,0.977,0.2607,90.46,0.992,0.879
37,0.11145734352370103,0.0733,97.66,0.999,0.976,0.3117,90.04,0.988,0.87
38,0.107630094917204,0.0653,97.89,0.999,0.979,0.2978,90.78,0.988,0.883
39,0.10288651715162941,0.067,97.76,1.0,0.978,0.2717,90.94,0.99,0.879
40,0.10020733903759696,0.061,98.06,1.0,0.98,0.3088,89.88,0.989,0.869
41,0.09378620535869646,0.0612,98.11,1.0,0.981,0.2888,91.22,0.989,0.885
42,0.0918063913074766,0.0656,97.84,1.0,0.978,0.2589,91.65,0.991,0.89
43,0.0871588844492177,0.0587,98.0,1.0,0.98,0.2874,90.86,0.99,0.881
44,0.08468027501517246,0.0558,98.19,1.0,0.982,0.3192,90.08,0.988,0.869
45,0.08267693077197372,0.0544,98.23,1.0,0.982,0.2978,90.54,0.989,0.878
46,0.08113596760283982,0.0569,98.1,1.0,0.981,0.2855,90.78,0.99,0.879
47,0.07890933765078424,0.0552,98.13,1.0,0.981,0.2969,90.48,0.989,0.876
48,0.07952539586398658,0.055,98.19,1.0,0.982,0.3028,90.19,0.989,0.873
49,0.07891625282771912,0.0546,98.18,1.0,0.982,0.2953,90.49,0.989,0.876
