epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8005645087115654,1.0802,64.53,0.915,0.636,1.2806,56.83,0.845,0.485
1,2.113957924227561,1.4866,39.54,0.841,0.316,1.8624,27.81,0.765,0.199
2,1.196707619454271,0.4444,84.26,0.983,0.839,0.9017,65.88,0.943,0.59
3,0.5513107318391082,0.4776,85.83,0.983,0.858,0.6423,78.95,0.964,0.743
4,0.344345354611942,0.2088,93.27,0.995,0.932,0.4052,87.56,0.985,0.823
5,0.2562705713147331,0.1795,94.12,0.997,0.94,0.3796,87.59,0.985,0.815
6,0.22144456453434455,0.1287,96.2,0.998,0.962,0.4984,84.48,0.979,0.796
7,0.1942909377824021,0.1079,96.63,0.999,0.966,0.3035,89.77,0.989,0.86
8,0.17834817128102412,0.1522,95.05,0.998,0.951,0.3706,87.27,0.989,0.829
9,0.16491214417615457,0.1488,95.23,0.998,0.952,0.3228,88.85,0.991,0.855
10,0.15348621691480333,0.1097,96.53,0.999,0.966,0.3535,89.36,0.984,0.846
11,0.14464096181548625,0.1148,96.42,0.999,0.964,0.3851,86.91,0.986,0.829
12,0.13865655557148987,0.101,96.76,0.999,0.967,0.2978,90.64,0.991,0.87
13,0.13324847044990695,0.0906,97.25,0.999,0.972,0.279,91.47,0.989,0.885
14,0.12982988962736716,0.0753,97.66,0.999,0.976,0.3224,88.39,0.991,0.854
15,0.1253214379552231,0.0888,97.28,0.999,0.973,0.3897,86.52,0.987,0.834
16,0.12217239917699901,0.11,96.25,0.999,0.963,0.3251,90.18,0.991,0.879
17,0.11522285393889874,0.0829,97.5,0.999,0.974,0.365,89.52,0.99,0.873
18,0.11031530984747474,0.0798,97.61,0.999,0.976,0.2773,90.57,0.993,0.869
19,0.10866990162720604,0.0776,97.6,0.999,0.976,0.3359,89.03,0.99,0.859
20,0.10128158884703793,0.0793,97.46,0.999,0.974,0.3715,89.42,0.989,0.876
21,0.10101873890954106,0.07,97.74,0.999,0.977,0.2141,92.4,0.996,0.901
22,0.0953390131734552,0.0648,97.94,1.0,0.979,0.2761,90.7,0.994,0.887
23,0.09039407310586783,0.0637,97.99,0.999,0.98,0.3307,89.97,0.988,0.865
24,0.08850221356250158,0.0688,97.94,0.999,0.979,0.3294,90.07,0.991,0.874
25,0.0808310641116032,0.0582,98.28,1.0,0.982,0.3123,89.88,0.992,0.87
26,0.08200859123220046,0.0511,98.28,1.0,0.983,0.2772,92.09,0.991,0.902
27,0.07617709476093505,0.0626,97.99,1.0,0.98,0.2196,93.16,0.994,0.901
28,0.07155041467051246,0.0568,98.32,1.0,0.983,0.3551,90.21,0.99,0.887
29,0.07183891622596637,0.0551,98.33,1.0,0.983,0.3045,90.08,0.992,0.874
30,0.06917454023581786,0.0465,98.56,1.0,0.985,0.2345,92.52,0.995,0.903
31,0.06344125864653444,0.052,98.28,1.0,0.983,0.2897,90.29,0.993,0.873
32,0.05848273389895971,0.0423,98.71,1.0,0.987,0.2606,92.44,0.994,0.908
33,0.05792924936520316,0.0432,98.64,1.0,0.986,0.2566,90.95,0.994,0.866
34,0.05648299425633417,0.0454,98.63,1.0,0.986,0.2054,92.94,0.996,0.9
35,0.05157634325986428,0.0394,98.64,1.0,0.986,0.2689,91.03,0.994,0.881
36,0.0477846913660566,0.0382,98.81,1.0,0.988,0.2524,91.36,0.995,0.879
37,0.04697866717981021,0.0362,98.96,1.0,0.989,0.2842,90.59,0.995,0.882
38,0.04205642145888139,0.0346,98.95,1.0,0.989,0.2472,92.56,0.994,0.906
39,0.03916716762387785,0.0366,98.76,1.0,0.987,0.2079,93.84,0.996,0.92
40,0.0375168085478807,0.0326,99.09,1.0,0.991,0.2571,91.63,0.994,0.895
41,0.03510979226853792,0.0307,99.12,1.0,0.991,0.2665,91.84,0.992,0.888
42,0.03527167667117384,0.0292,99.13,1.0,0.991,0.2213,93.21,0.995,0.916
43,0.031998068810270355,0.03,99.12,1.0,0.991,0.2415,92.36,0.995,0.901
44,0.029831877048377708,0.0273,99.21,1.0,0.992,0.2404,92.55,0.994,0.905
45,0.027360801072624313,0.0276,99.19,1.0,0.992,0.2521,92.03,0.994,0.895
46,0.027493942644126634,0.0276,99.16,1.0,0.992,0.2453,92.82,0.995,0.908
47,0.027224405087851067,0.0271,99.23,1.0,0.992,0.2359,92.77,0.995,0.906
48,0.02723136505839752,0.027,99.19,1.0,0.992,0.2261,93.04,0.995,0.91
49,0.02580615287266111,0.0267,99.22,1.0,0.992,0.2272,92.8,0.995,0.907
