epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7105538146470183,0.9363,64.67,0.929,0.638,3.0476,40.14,0.768,0.392
1,1.9404544947822462,1.1723,53.95,0.891,0.507,1.393,47.48,0.856,0.37
2,0.9548372937680145,1.4288,54.76,0.899,0.538,1.4145,54.13,0.878,0.486
3,0.6599869446889046,0.2766,90.77,0.993,0.905,0.7181,77.85,0.938,0.699
4,0.31879555417965816,0.1832,93.97,0.997,0.939,0.4822,86.78,0.959,0.812
5,0.25562035918609644,0.2259,92.0,0.996,0.918,0.4234,86.83,0.978,0.814
6,0.22063470133797242,0.194,93.66,0.997,0.937,0.5486,83.25,0.976,0.77
7,0.19385548114215814,0.1234,96.15,0.998,0.961,0.326,88.71,0.987,0.837
8,0.1766135169386757,0.1728,94.27,0.997,0.942,0.5387,86.69,0.963,0.803
9,0.16514142952512242,0.1289,95.96,0.998,0.959,0.2975,89.66,0.989,0.842
10,0.15159718457302312,0.1083,96.74,0.999,0.967,0.5578,87.12,0.957,0.815
11,0.16189359115790508,0.1218,96.2,0.999,0.962,0.615,83.86,0.965,0.787
12,0.13446019494432063,0.1064,96.52,0.999,0.965,0.3986,89.66,0.982,0.855
13,0.12756243339442652,0.0923,97.18,0.999,0.971,0.4138,89.12,0.976,0.847
14,0.12204939608318617,0.0895,97.08,0.999,0.97,0.3824,88.11,0.984,0.831
15,0.118140318060434,0.0829,97.44,0.999,0.974,0.4331,88.36,0.976,0.837
16,0.1124781755243151,0.0811,97.46,0.999,0.974,0.2948,90.6,0.99,0.868
17,0.10290932926052253,0.0848,97.27,0.999,0.972,0.4215,86.1,0.981,0.811
18,0.10237598168500114,0.089,97.14,0.999,0.971,0.4588,87.68,0.977,0.824
19,0.09769092689144783,0.0674,97.94,0.999,0.979,0.4281,85.58,0.982,0.815
20,0.09169777799698134,0.0919,96.8,0.999,0.967,0.4618,84.27,0.99,0.825
21,0.09226747687178327,0.0579,98.27,1.0,0.983,0.235,92.07,0.993,0.88
22,0.0874436073619405,0.0658,97.94,0.999,0.979,0.262,90.16,0.991,0.856
23,0.0839558961988163,0.0616,98.05,1.0,0.98,0.3262,90.4,0.989,0.861
24,0.08335085143251712,0.0521,98.42,1.0,0.984,0.4017,86.06,0.984,0.811
25,0.0730302981668449,0.0559,98.37,1.0,0.983,0.3881,88.63,0.985,0.831
26,0.07457153174331858,0.057,98.19,1.0,0.982,0.3299,92.14,0.986,0.876
27,0.07039991305894001,0.0552,98.37,1.0,0.984,0.3601,89.75,0.985,0.848
28,0.06556799479069249,0.0495,98.47,1.0,0.985,0.4015,88.35,0.984,0.827
29,0.06438770303736344,0.0526,98.44,1.0,0.984,0.383,90.02,0.984,0.852
30,0.06344164764728918,0.0448,98.65,1.0,0.986,0.2845,91.73,0.992,0.877
31,0.056396441397300545,0.0466,98.51,1.0,0.985,0.3604,88.79,0.987,0.839
32,0.053747653937815124,0.0425,98.67,1.0,0.987,0.3976,88.17,0.99,0.845
33,0.052576151866746204,0.0467,98.6,1.0,0.986,0.2598,91.63,0.992,0.868
34,0.050941717318562944,0.0473,98.62,1.0,0.986,0.3812,89.85,0.984,0.848
35,0.046283289723392025,0.0471,98.46,1.0,0.984,0.3793,89.59,0.986,0.85
36,0.04488971517304473,0.0355,98.92,1.0,0.989,0.294,92.12,0.989,0.878
37,0.04123377398083714,0.0329,99.0,1.0,0.99,0.306,91.28,0.991,0.871
38,0.0397843013444121,0.0716,98.63,0.999,0.986,0.3427,91.0,0.989,0.871
39,0.03800824468481391,0.0378,98.89,1.0,0.989,0.2851,91.55,0.991,0.876
40,0.03517115253481119,0.0301,99.04,1.0,0.99,0.3152,91.27,0.99,0.871
41,0.033927601707037736,0.0385,98.98,1.0,0.99,0.368,91.88,0.982,0.876
42,0.03152990622085429,0.0302,99.11,1.0,0.991,0.3797,90.84,0.983,0.862
43,0.030542724470417667,0.1127,98.72,0.998,0.987,0.3466,91.93,0.985,0.879
44,0.027599353027800397,0.0275,99.17,1.0,0.992,0.374,91.2,0.985,0.87
45,0.026757477024923943,0.0928,98.87,0.998,0.989,0.3809,90.65,0.985,0.863
46,0.025699880858716356,0.0868,98.83,0.998,0.988,0.3637,91.27,0.986,0.871
47,0.025492292451655567,0.067,98.85,0.999,0.988,0.3677,91.62,0.985,0.877
48,0.02555890627852958,0.0386,99.02,1.0,0.99,0.3557,91.54,0.985,0.872
49,0.025069237631615452,0.0277,99.16,1.0,0.991,0.3629,91.25,0.985,0.869
